Key*,total,data
1,19.68778992,2018-09-10
2,21.56552105,2018-11-05
3,21.2306288,2018-11-09
4,25.9416599,2018-12-03
5,24.0265916,2018-12-11
6,23.85086335,2019-01-04
7,26.35290134,2019-03-09
8,25.14397791,2019-07-03
9,23.94602901,2019-08-12
10,25.97077071,2019-09-05
11,22.39280334,2019-10-07
12,24.14224108,2019-10-11
13,23.41747248,2019-11-04
14,24.38353688,2020-01-03
15,25.51562168,2020-01-09
16,23.62672104,2020-02-04
17,26.45453647,2020-03-03
18,22.95272118,2020-03-09
19,25.37546962,2020-04-02
20,24.14821992,2020-04-08
21,21.96911508,2020-06-01
22,22.23903063,2020-07-01
23,21.81798699,2020-11-10
24,26.7414033,2020-12-04
25,25.1419187,2020-12-10
26,25.49180655,2021-01-15
27,26.59821398,2021-01-21
28,26.30429137,2021-01-27
29,21.01824469,2021-02-22
30,24.29219152,2021-02-26
31,26.2759647,2021-03-04
32,27.4596041,2021-03-10
33,26.55440632,2021-03-16
34,25.06694107,2021-03-22
35,24.16723244,2021-03-28
36,24.62433978,2021-04-03
37,26.66760438,2021-04-09
38,23.70679164,2021-04-15
39,22.01792354,2021-04-21
40,24.21692186,2021-04-27
41,24.92835961,2021-05-03
42,23.65739638,2021-05-05
43,23.01760279,2021-05-09
44,23.38395444,2021-05-15
45,22.06790745,2021-05-27
46,23.09257699,2021-06-02
47,21.31814849,2021-06-08
48,23.66406004,2021-06-14
49,23.89702425,2021-06-20
50,23.49362546,2021-06-22
51,23.31750469,2021-06-26
52,18.91892023,2021-07-02
53,20.29338023,2021-07-08
54,20.84467327,2021-07-14
55,23.83478962,2021-07-20
56,26.49510976,2021-07-26
57,25.45612975,2021-07-28
58,25.95724513,2021-08-01
59,19.14384815,2021-08-07
60,21.09322153,2021-08-13
61,19.79363879,2021-08-25
62,18.94391261,2021-08-31
63,17.44439525,2021-09-02
64,18.70026497,2021-09-06
65,26.16658761,2021-09-12
66,25.02744503,2021-09-18
67,24.28278309,2021-09-24
68,24.81702308,2021-09-30
69,24.27347235,2021-10-06
70,24.77948637,2021-10-12
71,25.34185408,2021-10-18
72,25.31372532,2021-10-24
73,24.21721532,2021-10-30
74,23.90447493,2021-11-01
75,24.46713555,2021-11-17
76,24.71411505,2021-11-23
77,24.86700806,2021-11-25
78,24.84201447,2021-11-29
79,25.16691026,2021-12-05
80,24.98755639,2021-12-07
81,27.31621871,2021-12-11
82,23.84233675,2021-12-17
83,21.76800422,2021-12-19
84,24.3421757,2021-12-23
85,23.06758586,2021-12-31
86,24.4671361,2022-01-04
87,23.31750681,2022-01-12
88,24.24936195,2022-01-16
89,22.61773116,2022-01-24
90,25.46681388,2022-01-28
91,24.5171186,2022-02-09
