Key*,total,data
1,74.79867436,2018-11-09
2,74.79867436,2018-11-09
3,90.94216391,2018-12-11
4,90.66509615,2019-01-04
5,90.61809728,2019-01-08
6,89.60585439,2019-02-01
7,86.41434963,2019-03-09
8,58.24855474,2019-05-08
9,75.4826936,2019-09-05
10,75.74282141,2019-10-07
11,63.70081167,2019-11-04
12,73.53112387,2020-01-09
13,76.87506227,2020-03-03
14,66.01966133,2020-03-09
15,76.99319532,2020-04-02
16,51.58195118,2020-05-02
17,66.23518899,2020-05-08
18,62.5713549,2020-06-01
19,86.99679611,2021-03-10
20,83.9304059,2021-03-16
21,70.43357908,2021-03-28
22,70.97443987,2021-04-03
23,77.84391234,2021-04-09
24,59.61937848,2021-04-15
25,51.74883608,2021-04-21
26,62.71562816,2021-04-27
27,72.50691843,2021-05-03
28,83.63996147,2021-05-05
29,50.61577239,2021-05-09
30,48.07244122,2021-05-15
31,51.48527827,2021-05-27
32,55.03000035,2021-06-02
33,55.2315442,2021-06-08
34,59.63526517,2021-06-14
35,68.61622201,2021-06-22
36,65.84985695,2021-07-26
37,83.28093948,2021-07-28
38,72.54722283,2021-08-01
39,73.09469024,2021-10-30
40,75.6626571,2021-11-01
41,72.67539793,2021-11-13
42,81.53334084,2021-11-17
43,84.30610266,2021-11-23
44,87.46362169,2021-11-25
45,89.68201267,2021-11-29
46,88.72253669,2021-12-05
47,97.09157233,2021-12-07
48,91.4653737,2021-12-11
49,75.10265596,2021-12-17
50,87.27217638,2021-12-19
51,81.09139935,2021-12-23
52,77.71743427,2021-12-31
53,86.87300149,2022-01-04
54,89.58619119,2022-01-12
55,84.55897414,2022-01-16
56,83.54890673,2022-01-24
57,87.13339363,2022-01-28
58,83.14793645,2022-02-09
