Key*,total,data
1,23.98774633,2018-09-06
2,22.48575579,2018-09-18
3,35.21271204,2018-09-22
4,32.24836622,2018-10-04
5,33.49380641,2018-10-12
6,51.36207618,2018-10-16
7,60.5060125,2018-11-21
8,53.19758071,2018-11-29
9,67.39900476,2018-12-03
10,78.1734303,2018-12-11
11,60.75944996,2018-12-15
12,58.80458097,2018-12-27
13,66.04910433,2019-01-04
14,81.03335183,2019-01-28
15,81.8640204,2019-02-25
16,67.24325779,2019-03-21
17,67.35968535,2019-04-02
18,65.63834561,2019-05-08
19,55.02830152,2019-07-19
20,80.79877892,2019-07-31
21,74.01973179,2019-08-12
22,71.03338812,2019-09-05
23,61.13740029,2019-09-25
24,58.5797801,2019-10-07
25,67.66668832,2019-10-11
26,54.99754324,2019-10-23
27,69.18973047,2019-11-22
28,69.76617036,2019-12-18
29,66.59093925,2020-01-03
30,73.05010058,2020-01-09
31,54.32949907,2020-03-27
32,57.09279752,2020-06-01
33,51.20428628,2020-11-10
34,65.45101711,2020-11-16
35,70.69060769,2020-12-04
36,62.58795627,2020-12-10
37,78.35864254,2021-01-15
38,79.01884961,2021-01-21
39,75.70152525,2021-01-27
40,76.82009695,2021-03-10
41,72.28041666,2021-03-16
42,59.15816482,2021-03-22
43,59.63432878,2021-03-28
44,67.26049611,2021-04-03
45,76.83275576,2021-04-09
46,63.12130448,2021-04-15
47,52.2347049,2021-04-27
48,79.71967669,2021-05-03
49,74.53494419,2021-05-05
50,60.49569416,2021-05-09
51,51.97344849,2021-05-15
52,56.91563599,2021-06-02
53,58.59114671,2021-06-08
54,64.87953318,2021-06-14
55,66.40989552,2021-06-20
56,70.42428651,2021-06-22
57,57.84928053,2021-06-26
58,68.13069455,2021-07-20
59,73.30075459,2021-07-26
60,73.47166787,2021-07-28
61,75.29314155,2021-08-01
62,60.58877398,2021-08-13
63,51.48415694,2021-08-25
64,49.28407194,2021-09-12
65,40.89640235,2021-09-30
66,36.58902986,2021-10-12
67,43.51339628,2021-10-18
68,36.07344097,2021-10-24
69,35.39248496,2021-10-30
70,38.34444561,2021-11-01
71,55.31422582,2021-11-17
72,50.70689753,2021-11-25
73,58.61597666,2021-11-29
74,63.03500811,2021-12-05
75,65.99061578,2021-12-07
76,71.49411386,2021-12-11
77,62.79983572,2021-12-23
78,59.53887306,2021-12-31
79,62.20068634,2022-01-04
80,56.90404366,2022-01-12
81,62.70214637,2022-01-16
82,63.05923134,2022-01-28
83,63.57631101,2022-02-09
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
