Key*,total,data
1,144.5768286,2018-12-03
2,154.2903384,2018-12-11
3,168.5602629,2018-12-15
4,159.2814122,2018-12-27
5,177.3708092,2019-01-04
6,161.9101864,2019-01-28
7,108.1634923,2019-02-21
8,139.3478793,2019-02-25
9,136.7536001,2019-03-09
10,118.7580118,2019-03-21
11,130.0274044,2019-06-25
12,110.9051356,2019-07-19
13,126.8972409,2019-07-31
14,120.0633313,2019-08-12
15,115.9580764,2019-08-20
16,155.2666614,2019-09-05
17,126.6513225,2019-09-17
18,121.6324574,2019-09-25
19,119.4131458,2019-10-07
20,115.3411184,2019-10-11
21,116.9217459,2019-10-23
22,110.8575967,2019-11-04
23,133.1851934,2019-11-22
24,117.6188576,2019-11-28
25,131.1809909,2020-01-03
26,125.4086163,2020-01-09
27,102.125646,2020-03-27
28,103.9740493,2020-06-01
29,100.8730524,2020-07-01
30,100.4298845,2020-07-13
31,116.4267372,2020-09-17
32,118.7223976,2020-11-10
33,118.257186,2021-01-15
34,115.6173876,2021-01-21
35,137.5352114,2021-01-27
36,123.4473063,2021-02-22
37,105.7792142,2021-02-26
38,123.0683667,2021-03-04
39,116.0012311,2021-03-10
40,107.8452038,2021-03-16
41,115.4802857,2021-03-22
42,117.7495009,2021-04-09
43,118.8900932,2021-05-05
44,139.5477548,2021-06-22
45,114.5890224,2021-07-26
46,121.362718,2021-08-01
47,118.6495135,2021-10-30
48,105.9767634,2021-11-01
49,105.7771411,2021-11-13
50,131.5965178,2021-11-17
51,129.8836915,2021-11-23
52,147.3860592,2021-11-25
53,152.7602033,2021-11-29
54,133.4158148,2021-12-05
55,154.6058538,2021-12-07
56,143.1459998,2021-12-11
57,119.2252138,2021-12-17
58,125.4672707,2021-12-19
59,110.241967,2021-12-23
60,113.9373958,2021-12-31
61,105.9353622,2022-01-04
62,100.3387764,2022-01-12
63,100.322875,2022-01-16
64,108.8619396,2022-01-24
65,103.2071861,2022-01-28
66,100.368811,2022-02-09
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
