Key*,total,data
1,2.98,2020-02-14
2,3.63,2020-02-21
3,3.52,2020-03-04
4,3.5,2020-03-16
5,2.69,2020-03-23
6,3.14,2020-04-09
7,3.54,2020-04-20
8,2.79,2020-05-10
9,2.55,2020-05-15
10,3.04,2020-05-22
11,2.78,2020-07-09
12,2.09,2020-08-31
13,1.67,2020-10-30
14,2.87,2021-01-15
15,3.31,2021-01-22
16,3.15,2021-03-16
17,3.14,2021-03-30
18,3.07,2021-04-16
19,3.36,2021-05-03
20,2.63,2021-05-17
21,2.1,2021-07-16
22,3.23,2021-07-20
23,3.53,2021-07-21
24,3.29,2021-07-26
25,2.84,2021-07-28
26,2.98,2021-08-01
27,3.48,2021-08-02
28,2.13,2021-08-07
29,2.67,2021-08-09
30,2.57,2021-08-13
31,3.32,2021-08-14
32,2.67,2021-08-21
33,2.56,2021-08-25
34,3.23,2021-08-26
35,2.38,2021-08-31
36,2.33,2021-09-02
37,2.41,2021-09-06
38,3.48,2021-09-07
39,2.71,2021-09-12
40,2.69,2021-09-14
41,2.65,2021-09-18
42,3.16,2021-09-19
43,2.38,2021-09-24
44,2.31,2021-09-26
45,2.36,2021-09-30
46,3.76,2021-10-01
47,2.39,2021-10-06
48,3.1,2021-10-08
49,2.57,2021-10-12
50,2.79,2021-10-13
51,2.42,2021-10-18
52,2.43,2021-10-20
53,2.57,2021-10-24
54,2.8,2021-10-25
55,2.17,2021-10-30
56,2.24,2021-11-01
57,2.87,2021-11-13
58,2.66,2021-11-17
59,2.58,2021-11-18
60,2.63,2021-11-23
61,2.7,2021-11-25
62,2.64,2021-11-29
63,2.65,2021-11-30
64,2.74,2021-12-05
65,2.61,2021-12-07
66,2.97,2021-12-11
67,2.9,2021-12-12
