Key*,total,data
1,93.05067344,30/3/2015
2,58.87411138,4/7/2015
3,41.62321541,28/7/2015
4,55.47783816,21/8/2015
5,56.28387799,14/9/2015
6,58.3437077,8/10/2015
7,86.64143753,25/11/2015
8,80.97002582,12/1/2016
9,86.16301904,29/2/2016
10,87.28423365,24/3/2016
11,56.48434085,5/4/2016
12,34.55633531,11/5/2016
13,35.49175747,23/5/2016
14,32.639635,4/6/2016
15,48.3691862,28/6/2016
16,45.39549579,10/7/2016
17,37.64133636,22/7/2016
18,51.76580344,3/8/2016
19,67.61682601,15/8/2016
20,56.6365735,8/9/2016
21,56.25185205,20/9/2016
22,66.39601121,14/10/2016
23,76.45953195,26/10/2016
24,73.93558066,7/11/2016
25,95.28088942,1/12/2016
26,76.2814302,13/12/2016
27,91.78478416,6/1/2017
28,96.48941855,18/1/2017
29,96.38360375,11/2/2017
30,77.89024248,23/2/2017
31,81.92817319,7/3/2017
32,74.22240806,20/3/2017
33,78.95662608,27/3/2017
34,66.53846999,8/4/2017
35,64.70126904,12/4/2017
36,62.01870613,20/4/2017
37,58.75763974,24/4/2017
38,74.3968478,25/4/2017
39,75.01015125,6/5/2017
40,65.62876764,7/5/2017
41,63.85076052,18/5/2017
42,69.00035682,26/5/2017
43,66.58520114,30/5/2017
44,69.40321961,31/5/2017
45,68.41626209,7/6/2017
46,70.63768828,12/6/2017
47,66.87069473,19/6/2017
48,68.78118173,23/6/2017
49,76.60073525,6/7/2017
50,79.38715069,17/7/2017
51,78.63068626,18/7/2017
52,81.00309463,25/7/2017
53,79.77860678,11/8/2017
54,79.4173318,22/8/2017
55,77.8305072,23/8/2017
56,68.24095821,30/8/2017
57,70.73562646,11/9/2017
58,73.72632062,27/9/2017
59,76.74855128,5/10/2017
60,61.19881952,10/10/2017
61,90.43278505,10/11/2017
62,82.84415053,14/11/2017
63,73.89963286,15/11/2017
64,82.8116341,22/11/2017
65,84.16983373,27/11/2017
66,109.1319551,4/12/2017
67,81.21873869,9/12/2017
68,87.24267362,21/12/2017
69,92.39358268,28/12/2017
70,78.60376614,2/1/2018
71,92.82394513,25/1/2018
72,79.11614718,26/1/2018
73,74.14428129,7/2/2018
74,90.22080211,26/2/2018
75,103.9684417,10/3/2018
76,91.12549061,22/3/2018
77,90.91438735,27/3/2018
78,100.1901102,7/4/2018
79,83.36223073,19/4/2018
80,83.49732055,20/4/2018
81,72.95100799,27/4/2018
82,71.6203126,1/5/2018
83,63.21582932,9/5/2018
84,67.14098966,25/5/2018
85,70.52450893,2/6/2018
86,76.45220836,7/6/2018
87,62.04949015,14/6/2018
88,77.42551109,18/6/2018
89,73.09751334,19/6/2018
90,55.2972762,8/7/2018
91,64.65272133,12/7/2018
92,70.43838805,13/7/2018
93,71.47474316,24/7/2018
94,73.17639346,25/7/2018
95,62.81905432,1/8/2018
96,67.00405472,5/8/2018
97,68.74273184,17/8/2018
98,73.04031513,29/8/2018
99,62.90257593,10/9/2018
100,64.04692236,11/9/2018
101,56.74504331,18/9/2018
102,81.23791267,4/10/2018
103,70.86980473,5/10/2018
104,73.95142081,12/10/2018
105,71.46821487,17/10/2018
106,65.62326246,24/10/2018
107,71.97739223,29/10/2018
108,79.26317589,9/11/2018
109,67.86681812,10/11/2018
110,89.39850719,21/11/2018
111,67.08779668,22/11/2018
112,69.90231426,29/11/2018
113,68.41478982,4/12/2018
114,98.13952406,11/12/2018
115,85.86203501,27/12/2018
116,90.77211104,4/1/2019
117,79.17772039,8/1/2019
118,73.76143778,16/1/2019
119,66.88455608,21/1/2019
120,84.33330822,28/1/2019
121,81.93803054,1/2/2019
122,79.69599316,13/2/2019
123,66.24406223,14/2/2019
124,74.54833654,21/2/2019
125,78.21771407,25/2/2019
126,74.68265175,26/2/2019
127,69.94537568,10/3/2019
128,73.71305435,21/3/2019
129,71.42139211,22/3/2019
130,70.4565904,29/3/2019
131,75.18151364,3/4/2019
132,65.12323064,10/4/2019
133,80.61494309,26/4/2019
134,73.37556107,8/5/2019
135,73.37556107,9/5/2019
136,72.99733288,20/5/2019
137,72.99733288,21/5/2019
138,55.8839923,28/5/2019
139,55.99546377,9/6/2019
140,63.56357234,13/6/2019
141,63.56357234,14/6/2019
142,68.58228113,25/6/2019
143,68.58228113,26/6/2019
144,56.82174716,8/7/2019
145,56.51518057,15/7/2019
146,60.89812856,19/7/2019
147,68.15971679,31/7/2019
148,68.15971679,1/8/2019
149,66.7959514,13/8/2019
150,55.83768338,20/8/2019
151,53.29153743,1/9/2019
152,64.77086496,5/9/2019
153,65.21083484,13/9/2019
154,63.53108427,17/9/2019
155,63.53108427,18/9/2019
156,71.49596119,30/9/2019
157,77.2280617,7/10/2019
158,75.00320789,12/10/2019
159,72.34955137,23/10/2019
160,72.34955137,24/10/2019
161,77.88522851,31/10/2019
162,77.66604005,4/11/2019
163,81.8588746,10/11/2019
164,83.38610634,12/11/2019
165,83.78754957,22/11/2019
166,91.94026673,28/11/2019
167,91.94026673,29/11/2019
168,92.23357823,4/12/2019
169,91.85320414,4/1/2020
170,92.08225936,9/2/2020
171,94.70963886,20/2/2020
172,94.70963886,21/2/2020
173,89.91118261,26/2/2020
174,80.20773207,3/3/2020
175,80.20773207,4/3/2020
176,79.1420445,16/3/2020
177,77.46210556,2/4/2020
178,86.71090265,20/4/2020
179,86.71090265,21/4/2020
180,59.87001125,2/5/2020
181,59.87001125,3/5/2020
182,61.43966668,8/5/2020
183,63.93393678,10/5/2020
184,55.5525922,14/5/2020
185,55.5525922,15/5/2020
186,54.71147011,20/5/2020
187,59.72075276,22/5/2020
188,53.32019634,26/5/2020
189,53.32019634,27/5/2020
190,49.55737887,1/6/2020
191,46.59212587,3/6/2020
192,55.85134114,8/6/2020
193,47.49890797,15/6/2020
194,41.6683559,25/6/2020
195,54.26051608,1/7/2020
196,54.26051608,2/7/2020
197,41.63234185,7/7/2020
198,50.05540762,9/7/2020
199,42.94232644,13/7/2020
200,42.94232644,14/7/2020
201,34.96289299,21/7/2020
202,58.87962288,31/7/2020
203,52.73702058,6/8/2020
204,52.73702058,7/8/2020
205,59.04535983,12/8/2020
206,55.18117736,14/8/2020
207,62.04112705,18/8/2020
208,62.04112705,19/8/2020
209,58.75312747,24/8/2020
210,63.39174114,26/8/2020
211,58.96482759,31/8/2020
212,59.20709562,7/9/2020
213,61.54131127,11/9/2020
214,61.54131127,12/9/2020
215,71.26263931,17/9/2020
216,64.04938076,23/9/2020
217,64.04938076,24/9/2020
218,64.10275178,29/9/2020
219,62.00083959,1/10/2020
220,73.24797648,6/10/2020
221,69.62667895,11/10/2020
222,64.09915185,13/10/2020
223,79.8200274,23/10/2020
224,71.08443869,29/10/2020
225,71.08443869,30/10/2020
226,63.16481607,6/11/2020
227,79.47132256,11/11/2020
228,71.25676611,12/11/2020
229,86.2320416,18/11/2020
230,87.36348692,23/11/2020
231,105.346823,30/11/2020
232,93.87338293,5/12/2020
233,86.07972471,10/12/2020
234,89.95015254,16/12/2020
235,89.95015254,17/12/2020
236,85.03608008,22/12/2020
237,89.47194345,24/12/2020
238,86.41656994,29/12/2020
239,91.91203808,9/1/2021
240,82.07840429,15/1/2021
241,85.8861625,21/1/2021
242,85.8861625,22/1/2021
243,89.74308001,27/1/2021
244,95.57888743,2/2/2021
245,95.57888743,3/2/2021
246,90.23161181,22/2/2021
247,70.33059437,6/3/2021
248,82.87369507,16/3/2021
249,89.86758189,22/3/2021
250,89.86758189,23/3/2021
251,69.72386215,30/3/2021
252,70.34529436,3/4/2021
253,65.31445744,15/4/2021
254,65.31445744,16/4/2021
255,59.88858698,21/4/2021
256,62.2685836,23/4/2021
257,70.65307087,27/4/2021
258,70.65307087,28/4/2021
259,76.79269967,3/5/2021
260,61.44866941,5/5/2021
261,60.69955333,17/5/2021
262,59.17217272,27/5/2021
263,63.32567778,8/6/2021
264,65.24037568,14/6/2021
265,65.24037568,15/6/2021
266,60.63999016,22/6/2021
267,52.5984685,4/7/2021
268,61.03868242,14/7/2021
269,71.46880701,20/7/2021
270,71.18178471,21/7/2021
271,76.2025654,26/7/2021
272,74.12027413,1/8/2021
273,74.12027413,2/8/2021
274,48.73860137,7/8/2021
275,60.88513726,9/8/2021
276,60.84309404,13/8/2021
277,56.59075275,25/8/2021
278,56.59075275,26/8/2021
279,55.24488854,31/8/2021
280,49.24160259,2/9/2021
281,51.02783401,6/9/2021
282,51.02783401,7/9/2021
283,64.22768617,12/9/2021
284,64.06576664,14/9/2021
285,63.3098596,18/9/2021
286,63.3098596,19/9/2021
287,59.91936049,24/9/2021
288,59.22726325,26/9/2021
289,60.94994339,30/9/2021
290,60.94994339,1/10/2021
291,67.47571782,6/10/2021
292,88.26680472,8/10/2021
293,75.88896176,12/10/2021
294,75.88896176,13/10/2021
295,74.08775956,18/10/2021
296,69.78277155,20/10/2021
297,76.55831444,24/10/2021
298,76.55831444,25/10/2021
299,78.18161646,30/10/2021
300,78.32433815,1/11/2021
301,107.0146122,13/11/2021
302,84.96136245,17/11/2021
303,84.96136245,18/11/2021
304,92.37392861,23/11/2021
305,98.803298,25/11/2021
306,87.67708033,29/11/2021
307,87.67708033,30/11/2021
308,94.14679675,5/12/2021
309,98.76907552,7/12/2021
310,98.51063693,11/12/2021
311,98.51063693,12/12/2021
312,95.42627164,23/12/2021
313,80.73248002,24/12/2021
314,99.14202041,31/12/2021
315,102.4980139,4/1/2022
316,102.4980139,5/1/2022
317,105.468713,28/1/2022
318,88.84823014,9/2/2022
319,90.33098315,21/2/2022
320,70.21157359,5/3/2022
321,71.55935507,14/3/2022
