Key*,total,data
1,2015-03-06,164.413
2,2015-03-30,114.343
3,2015-07-04,99.313
4,2015-07-28,127.841
5,2015-08-13,110.288
6,2015-08-21,149.020
7,2015-09-14,172.720
8,2015-10-08,173.949
9,2015-10-16,183.0847716
10,2015-11-17,183.5699812
11,2015-11-25,186.6937572
12,2016-01-04,187.336
13,2016-01-12,186.1454686
14,2016-01-20,186.2882434
15,2016-02-29,166.393
16,2016-03-08,162.714
17,2016-03-14,119.163
18,2016-04-03,108.373
19,2016-04-05,133.995
20,2016-05-23,81.939
21,2016-06-04,98.617
22,2016-06-28,86.133
23,2016-07-10,89.966
24,2016-08-03,88.900
25,2016-08-15,94.277
26,2016-08-31,86.023
27,2016-09-08,106.873
28,2016-09-20,91.961
29,2016-10-10,160.056
30,2016-10-14,175.839
31,2016-10-26,179.7631383
32,2016-11-07,182.289
33,2016-12-01,183.0340528
34,2016-12-13,183.4145326
35,2017-02-11,183.790
36,2017-02-23,179.538
37,2017-02-27,185.136
38,2017-03-20,166.180
39,2017-04-01,159.5136291
40,2017-04-12,151.6204617
41,2017-06-11,150.511
42,2017-06-12,156.9506166
43,2017-08-21,137.465
44,2017-08-22,149.350
45,2017-08-23,154.594
46,2017-08-30,149.371
47,2017-09-03,153.543
48,2017-09-11,163.357
49,2017-09-15,169.147
50,2017-09-27,181.3026129
51,2017-09-28,185.7900264
52,2017-10-10,166.977
53,2017-11-15,185.9314609
54,2017-11-27,188.8295896
55,2017-12-21,191.358607
56,2018-01-02,190.241108
57,2018-01-03,196.120
58,2018-01-08,176.489
59,2018-01-25,185.7492816
60,2018-01-26,190.8219066
61,2018-02-02,195.4098783
62,2018-02-07,195.550
63,2018-02-26,96.29578887
64,2018-02-27,93.85945263
65,2018-03-10,91.785
66,2018-03-14,94.226
67,2018-03-19,129.928
68,2018-03-26,162.389
69,2018-03-27,175.864
70,2018-04-07,160.419
71,2018-04-19,157.668
72,2018-04-20,169.369
73,2018-05-01,153.1803734
74,2018-05-02,162.6665019
75,2018-05-21,146.546
76,2018-05-25,143.785
77,2018-06-07,143.752
78,2018-06-14,123.452
79,2018-06-18,144.561
80,2018-06-19,153.126
81,2018-07-08,139.632
82,2018-07-12,146.8363091
83,2018-07-24,140.817
84,2018-07-25,144.998
85,2018-08-01,129.9011574
86,2018-08-05,135.727
87,2018-09-10,159.127
88,2018-09-11,166.1575818
89,2018-10-04,174.367
90,2018-10-05,177.858
91,2018-10-16,182.2078322
92,2018-10-17,185.6636615
93,2018-10-29,183.9729567
94,2018-11-10,187.171
95,2018-11-21,180.5975802
96,2018-11-22,184.968933
97,2018-12-03,183.179
98,2018-12-04,186.339
99,2018-12-28,185.7332754
100,2019-01-08,168.679
101,2019-01-21,188.341643
102,2019-02-01,176.2910981
103,2019-02-09,149.750
104,2019-02-14,173.423
105,2019-02-21,144.669
106,2019-02-25,146.046
107,2019-03-05,158.438
108,2019-03-09,152.134
109,2019-03-21,142.453
110,2019-03-29,127.186
111,2019-04-03,151.064
112,2019-04-10,130.225
113,2019-04-22,121.429
114,2019-04-26,114.729
115,2019-05-08,94.154
116,2019-05-09,105.999
117,2019-05-16,98.879
118,2019-05-20,107.413
119,2019-05-21,132.133
120,2019-05-28,109.255
121,2019-06-09,114.245
122,2019-06-13,110.827
123,2019-06-14,123.580
124,2019-06-21,110.956
125,2019-06-25,108.468
126,2019-06-26,116.495
127,2019-07-03,94.797
128,2019-07-08,115.663
129,2019-07-15,107.772
130,2019-07-19,108.547
131,2019-08-01,102.1639324
132,2019-08-08,117.488
133,2019-08-13,140.179
134,2019-08-20,143.615
135,2019-09-01,142.2727816
136,2019-09-05,137.733
137,2019-09-13,150.236
138,2019-09-17,158.070
139,2019-09-18,164.365
140,2019-09-30,182.7014312
141,2019-10-12,178.7116165
142,2019-10-23,175.734
143,2019-10-24,180.671
144,2019-10-31,178.5671273
145,2019-11-04,171.704
146,2019-11-12,178.4704263
147,2019-11-28,177.3396874
148,2019-11-29,182.7990187
149,2019-12-11,184.0173319
150,2019-12-23,184.1230228
151,2020-01-03,181.4558246
152,2020-01-04,185.6787145
153,2020-01-15,182.0121046
154,2020-01-16,186.4714563
155,2020-01-21,181.4228622
156,2020-01-27,184.9406017
157,2020-01-28,189.0094994
158,2020-02-02,181.8651163
159,2020-02-08,177.5753925
160,2020-02-09,185.2209511
161,2020-02-14,185.2306847
162,2020-02-20,184.8778407
163,2020-02-21,186.9748727
164,2020-03-04,179.1115277
165,2020-03-09,182.573714
166,2020-03-15,177.9817794
167,2020-03-16,184.129175
168,2020-03-21,178.3770855
169,2020-03-27,178.1589612
170,2020-03-28,183.5758912
171,2020-04-02,173.2896152
172,2020-04-08,173.5089461
173,2020-04-09,172.5704626
174,2020-04-14,171.0132894
175,2020-04-20,171.997831
176,2020-04-21,178.9500319
177,2020-04-26,170.7183488
178,2020-05-02,169.6035111
179,2020-05-03,176.4359085
180,2020-05-08,166.103107
181,2020-05-10,165.6491354
182,2020-05-14,162.0419172
183,2020-05-15,169.1067638
184,2020-05-20,156.1027349
185,2020-05-22,155.1852438
186,2020-05-26,152.7818363
187,2020-05-27,166.6323833
188,2020-06-01,160.3551304
189,2020-06-03,160.8134647
190,2020-06-08,172.4046252
191,2020-06-13,162.9773675
192,2020-06-20,169.2015548
193,2020-06-25,159.8403884
194,2020-06-27,160.4460123
195,2020-07-01,161.5201378
196,2020-07-02,166.743258
197,2020-07-07,161.3841084
198,2020-07-09,165.7772752
199,2020-07-13,162.1556986
200,2020-07-19,162.3132901
201,2020-07-21,155.9916501
202,2020-07-25,160.7591895
203,2020-07-26,167.4518322
204,2020-07-31,167.4632718
205,2020-08-02,150.3108499
206,2020-08-06,159.6566038
207,2020-08-07,164.0028309
208,2020-08-12,143.7228043
209,2020-08-14,138.0863461
210,2020-08-18,140.786825
211,2020-08-19,155.0279863
212,2020-08-24,144.5047887
213,2020-08-26,141.6518672
214,2020-08-30,144.1153294
215,2020-08-31,153.2294174
216,2020-09-05,146.41269
217,2020-09-07,151.2302301
218,2020-09-11,151.8289626
219,2020-09-12,158.725781
220,2020-09-19,160.6776236
221,2020-09-23,162.6100605
222,2020-09-24,169.6592852
223,2020-09-29,169.7427753
224,2020-10-01,160.9718997
225,2020-10-05,173.5988759
226,2020-10-06,178.0084029
227,2020-10-11,163.2520655
228,2020-10-13,164.913
229,2020-10-17,169.275
230,2020-10-18,173.877
231,2020-10-23,170.173
232,2020-10-25,169.153
233,2020-10-29,172.794
234,2020-10-30,171.121
235,2020-11-04,174.096
236,2020-11-06,167.742
237,2020-11-10,171.072
238,2020-11-16,176.631
239,2020-11-22,177.921
240,2020-11-23,183.071
241,2020-11-28,178.246
242,2020-11-30,179.209
243,2020-12-04,177.560
244,2020-12-05,183.450
245,2020-12-10,180.065
246,2020-12-16,182.637
247,2020-12-17,187.308
248,2020-12-22,181.865
249,2020-12-28,182.206
250,2020-12-29,185.684
251,2021-01-03,183.230
252,2021-01-10,187.937
253,2021-01-15,179.168
254,2021-01-22,185.504
255,2021-01-27,181.507
256,2021-02-02,181.469
257,2021-02-03,187.529
258,2021-02-10,179.637
259,2021-02-14,177.866
260,2021-02-15,186.252
261,2021-02-20,177.538
262,2021-02-26,179.685
263,2021-02-27,183.680
264,2021-03-04,177.598
265,2021-03-10,175.225
266,2021-03-11,177.169
267,2021-03-16,174.042
268,2021-03-22,172.479
269,2021-03-23,178.819
270,2021-03-28,172.925
271,2021-03-30,171.602
272,2021-04-03,168.405
273,2021-04-09,167.8243057
274,2021-04-15,167.074
275,2021-04-21,160.8744945
276,2021-04-23,166.179
277,2021-04-27,161.173
278,2021-05-03,157.5864181
279,2021-05-09,159.595
280,2021-05-15,159.2078569
281,2021-05-22,165.140
282,2021-05-27,148.9911853
283,2021-05-29,142.937
284,2021-06-02,153.937
285,2021-06-03,166.426
286,2021-06-08,148.5572047
287,2021-06-14,150.834
288,2021-06-15,159.311
289,2021-06-20,151.4853861
290,2021-06-22,144.342
291,2021-06-26,150.377
292,2021-07-02,151.7431408
293,2021-07-04,146.179
294,2021-07-08,146.731
295,2021-07-09,153.914
296,2021-07-14,147.6807681
297,2021-07-16,147.248
298,2021-07-20,149.340
299,2021-07-21,153.208
300,2021-07-26,149.1096664
301,2021-08-01,149.697
302,2021-08-02,153.551
303,2021-08-07,147.450513
304,2021-08-09,146.676
305,2021-08-13,147.555
306,2021-08-14,153.740
307,2021-08-21,148.460
308,2021-08-25,147.658
309,2021-08-26,147.824
310,2021-08-31,149.2378371
311,2021-09-06,150.643
312,2021-09-07,154.829
313,2021-09-12,150.1435912
314,2021-09-14,157.062
315,2021-09-18,164.809
316,2021-09-19,168.874
317,2021-09-24,171.228
318,2021-09-30,172.947
319,2021-10-01,176.059
320,2021-10-06,174.090
321,2021-10-13,175.124
322,2021-10-18,176.433
323,2021-10-25,176.553
324,2021-11-18,182.050
325,2021-11-30,181.041
326,2021-12-12,185.646
327,2021-12-17,182.771
328,2021-12-19,183.967
329,2021-12-24,185.483
330,2022-01-04,182.259
331,2022-01-05,186.547
332,2022-01-17,186.011
