Key*,total,data
1,5.215526984,2018-09-06
2,14.31657707,2018-09-10
3,2.108766416,2018-09-18
4,3.627876938,2018-09-22
5,0.489713474,2018-09-30
6,4.206557473,2018-10-04
7,4.25997524,2018-10-12
8,7.974067292,2018-10-16
9,2.058795927,2018-10-24
10,15.12869354,2018-10-28
11,23.65279737,2018-11-05
12,7.160858599,2018-11-09
13,2.048801656,2018-11-17
14,26.74724815,2018-11-21
15,27.44366278,2018-11-29
16,32.21599303,2018-12-03
17,35.41499224,2018-12-11
18,31.04597717,2018-12-15
19,27.98734322,2018-12-23
20,30.41959679,2018-12-27
21,30.6757246,2019-01-04
22,37.32070787,2019-01-28
23,26.87599953,2019-02-21
24,32.78390722,2019-02-25
25,18.74104828,2019-03-05
26,30.43454507,2019-03-09
27,25.78096087,2019-03-17
28,21.1960406,2019-03-21
29,13.99752037,2019-03-29
30,20.76616998,2019-04-02
31,13.97177201,2019-04-10
32,11.48307533,2019-04-22
33,12.71305606,2019-05-04
34,20.69550595,2019-05-08
35,10.19626231,2019-05-16
36,18.19474181,2019-05-20
37,10.76608561,2019-05-28
38,3.497920638,2019-06-09
39,20.68876916,2019-06-25
40,19.03958464,2019-07-03
41,3.128169482,2019-07-15
42,15.4302846,2019-07-19
43,22.76464899,2019-07-31
44,17.98796527,2019-08-08
45,20.98028474,2019-08-12
46,11.15957813,2019-08-20
47,10.26398672,2019-09-01
48,23.89300478,2019-09-05
49,18.53038799,2019-09-17
50,26.59934252,2019-09-25
51,31.42568103,2019-10-07
52,32.12382321,2019-10-11
53,29.99659558,2019-10-23
54,26.80423609,2019-10-31
55,29.43014121,2019-11-04
56,25.11526446,2019-11-12
57,32.49320768,2019-11-22
58,35.15972672,2019-11-28
59,38.36664685,2019-12-18
60,26.30688587,2019-12-30
61,37.03875259,2020-01-03
62,38.75872258,2020-01-09
63,40.29691361,2020-02-04
64,37.31338004,2020-02-26
65,37.1451243,2020-02-28
66,33.32626379,2020-03-03
67,29.86903144,2020-03-09
68,18.0767747,2020-03-11
69,15.50973257,2020-03-23
70,23.25035922,2020-04-02
71,23.99858972,2020-04-08
72,25.76676843,2020-04-14
73,22.24369773,2020-04-20
74,15.5829746,2020-05-26
75,12.38139975,2020-06-01
76,7.282039274,2020-06-03
77,6.0763923,2020-06-25
78,9.781993219,2020-07-01
79,7.545580027,2020-07-07
80,9.334528338,2020-07-13
81,6.203308225,2020-07-21
82,5.996489559,2020-08-12
83,5.24963272,2020-08-14
84,16.33257795,2020-08-18
85,11.45571419,2020-08-24
86,6.703483545,2020-09-07
87,18.64404714,2020-09-17
88,7.82694179,2020-09-23
89,3.427994733,2020-10-01
90,11.15816774,2020-10-05
91,30.54948091,2020-10-29
92,26.06145053,2020-11-04
93,30.27944433,2020-11-10
94,32.70041654,2020-11-16
95,33.07419518,2020-12-04
96,31.22214439,2020-12-10
97,34.48447716,2021-01-15
98,33.16917309,2021-01-21
99,33.00715398,2021-01-27
100,13.32752417,2021-02-22
101,14.67140108,2021-02-26
102,22.00607105,2021-03-04
103,11.91231275,2021-03-06
104,24.9724491,2021-03-10
105,22.2405607,2021-03-16
106,11.79555819,2021-03-18
107,25.02516338,2021-03-22
108,20.99799597,2021-03-28
109,11.85771292,2021-03-30
110,20.49154953,2021-04-03
111,24.7296893,2021-04-09
112,13.01464137,2021-04-11
113,18.77181318,2021-04-15
114,9.937904428,2021-04-21
115,7.415932538,2021-04-23
116,12.37933339,2021-04-27
117,22.40956193,2021-05-03
118,24.49723825,2021-05-05
119,17.10263505,2021-05-09
120,20.08089053,2021-05-15
121,7.553421486,2021-05-17
122,8.351305656,2021-05-27
123,4.577321371,2021-05-29
124,12.59720639,2021-06-02
125,8.622480338,2021-06-08
126,6.64360132,2021-06-10
127,14.78905277,2021-06-14
128,17.58087003,2021-06-20
129,24.58303986,2021-06-22
130,14.7571508,2021-06-26
131,8.735823376,2021-07-02
132,6.527512627,2021-07-04
133,7.879344973,2021-07-08
134,6.207346435,2021-07-14
135,4.766698892,2021-07-16
136,20.15367487,2021-07-20
137,23.28336537,2021-07-26
138,29.08068281,2021-07-28
139,26.47667455,2021-08-01
140,7.939381027,2021-08-07
141,7.884672938,2021-08-13
142,9.167094319,2021-08-21
143,13.18364018,2021-08-25
144,8.0015862,2021-08-31
145,8.784849344,2021-09-02
146,5.533152348,2021-09-06
147,13.49652171,2021-09-12
148,16.5162354,2021-09-18
149,8.525007143,2021-09-24
150,6.676092625,2021-09-26
151,15.33830011,2021-09-30
152,11.62256093,2021-10-06
153,8.904744995,2021-10-08
154,13.47198747,2021-10-12
155,14.68347286,2021-10-18
156,8.465042899,2021-10-20
157,15.54457229,2021-10-24
158,14.62323242,2021-10-30
159,21.67426957,2021-11-01
160,22.67975624,2021-11-13
161,27.75834217,2021-11-17
162,27.78836577,2021-11-23
163,29.01933452,2021-11-25
164,27.3031192,2021-11-29
165,27.41579663,2021-12-05
166,28.34948954,2021-12-07
167,26.79631694,2021-12-11
