Key*,total,data
1,63.40635729,2015-02-22
2,70.05704467,2015-03-30
3,21.86834242,2015-05-17
4,62.0605521,2015-07-04
5,14.99330796,2015-07-28
6,32.68321007,2015-08-21
7,36.31158667,2015-09-14
8,44.22430376,2015-10-08
9,54.80918501,2015-11-01
10,98.24649174,2015-11-25
11,103.1963933,2015-12-19
12,111.2379767,2016-01-12
13,102.9717631,2016-02-05
14,91.26056331,2016-02-29
15,96.75220881,2016-03-24
16,52.71480075,2016-04-17
17,53.92868013,2016-04-29
18,51.94622125,2016-05-11
19,43.90790507,2016-05-23
20,30.8127292,2016-06-04
21,56.38137464,2016-06-28
22,63.53743059,2016-07-10
23,36.23971012,2016-07-22
24,78.48322669,2016-08-03
25,88.31293711,2016-08-15
26,62.32624414,2016-08-27
27,76.17053428,2016-09-08
28,67.69945382,2016-09-20
29,100.9416832,2016-10-02
30,99.69460298,2016-10-14
31,107.7050535,2016-10-26
32,106.1325268,2016-11-07
33,106.2093526,2016-11-19
34,111.46848,2016-12-01
35,87.77875869,2017-03-27
36,107.3125407,2017-03-31
37,75.13819159,2017-04-08
38,92.40941092,2017-04-12
39,78.99158092,2017-04-20
40,81.0503164,2017-04-24
41,65.47355766,2017-05-02
42,92.36308031,2017-05-06
43,30.72289032,2017-05-14
44,73.79602431,2017-05-18
45,51.13168836,2017-05-26
46,100.8444396,2017-05-30
47,66.82284335,2017-06-07
48,101.7490556,2017-06-11
49,76.16761144,2017-06-19
50,96.87254232,2017-06-23
51,89.05033254,2017-07-01
52,93.4962977,2017-07-05
53,97.18772691,2017-07-13
54,113.982396,2017-07-17
55,89.70012552,2017-08-18
56,102.2233256,2017-08-22
57,94.86964674,2017-08-30
58,111.1955194,2017-09-03
59,70.88066555,2017-09-11
60,99.51726288,2017-09-15
61,98.65023974,2017-09-23
62,98.48437018,2017-09-27
63,92.9361575,2017-10-05
64,104.9266181,2017-10-09
65,109.4928199,2017-10-21
66,113.0185668,2017-10-29
67,113.6348008,2017-11-02
68,101.8747075,2017-11-22
69,119.6825191,2017-11-26
70,116.080702,2017-12-04
71,117.183647,2017-12-08
72,114.8829945,2018-02-02
73,110.4671243,2018-02-06
74,110.8263249,2018-02-14
75,112.3833247,2018-02-18
76,109.022931,2018-02-26
77,97.66567837,2018-03-02
78,106.835458,2018-03-10
79,1.998900114,2018-03-14
80,102.6224575,2018-03-22
81,97.01659122,2018-03-26
82,90.90397251,2018-04-03
83,96.72945526,2018-04-07
84,51.05003228,2018-04-15
85,78.13356579,2018-04-19
86,54.78306106,2018-04-27
87,71.79190878,2018-05-01
88,40.12082011,2018-05-09
89,71.25453954,2018-05-13
90,14.0869585,2018-05-21
91,56.31906403,2018-05-25
92,47.39410236,2018-06-02
93,45.83675842,2018-06-06
94,23.29198739,2018-06-14
95,51.38798529,2018-06-18
96,23.92509903,2018-06-26
97,31.92793835,2018-06-30
98,29.74830806,2018-07-08
99,53.90567246,2018-07-12
100,24.48756015,2018-07-20
101,61.88523361,2018-07-24
102,30.73888991,2018-08-01
103,41.98906834,2018-08-05
104,43.63014,2018-08-17
105,25.92089844,2018-08-25
106,65.44832571,2018-08-29
107,25.99540397,2018-09-06
108,32.58657033,2018-09-10
109,92.8679174,2018-09-18
110,104.7600934,2018-09-22
111,0.839534355,2018-09-30
112,108.54923,2018-10-04
113,101.9372017,2018-10-12
114,110.2473032,2018-10-16
115,97.66750897,2018-10-24
116,114.2782105,2018-10-28
117,115.9100361,2018-11-05
118,121.2312891,2018-11-09
119,103.3225515,2018-11-17
120,122.3560359,2018-11-21
121,106.3172289,2018-11-29
122,121.1757918,2018-12-03
123,118.8926297,2018-12-11
124,119.8735653,2018-12-15
125,110.3871243,2018-12-23
126,119.9461698,2018-12-27
127,119.5275391,2019-01-04
128,118.8253483,2019-01-08
129,107.2671737,2019-01-16
130,117.1689363,2019-01-20
131,116.3718925,2019-01-28
132,115.3147816,2019-02-01
133,96.6615068,2019-02-09
134,111.2035871,2019-02-13
135,96.10021792,2019-02-21
136,113.8692227,2019-02-25
137,70.89354816,2019-03-05
138,112.6058691,2019-03-09
139,110.9861247,2019-03-17
140,105.2792525,2019-03-21
141,80.75872683,2019-03-29
142,104.2244062,2019-04-02
143,70.72436699,2019-04-10
144,97.6262868,2019-04-14
145,74.60854414,2019-04-22
146,100.6629171,2019-04-26
147,74.41862943,2019-05-04
148,96.38222189,2019-05-08
149,68.84267305,2019-05-16
150,91.42929637,2019-05-20
151,84.16162351,2019-05-28
152,102.1199243,2019-06-01
153,77.87706548,2019-06-09
154,99.46388015,2019-06-13
155,72.80955596,2019-06-21
156,104.6077105,2019-06-25
157,104.4894276,2019-07-03
158,97.02336095,2019-07-07
159,81.13510129,2019-07-15
160,95.82261413,2019-07-19
161,81.6145933,2019-07-27
162,106.9372418,2019-07-31
163,79.42577775,2019-08-08
164,95.64831683,2019-08-12
165,69.62737296,2019-08-20
166,87.70498666,2019-08-24
167,67.19760126,2019-09-01
168,94.63520766,2019-09-05
169,59.15823329,2019-09-13
170,87.64184047,2019-09-17
171,107.445168,2019-09-25
172,104.6116853,2019-09-29
173,101.2125569,2019-10-07
174,98.19507297,2019-10-11
175,90.2749824,2019-10-19
176,88.70991632,2019-10-23
177,62.43388,2019-10-31
178,73.2439269,2019-11-04
179,82.08035168,2019-11-10
180,67.49170677,2019-11-12
181,89.73827543,2019-11-16
182,83.98955464,2019-11-22
183,98.80038973,2019-11-24
184,90.68422088,2019-11-28
185,85.05691263,2019-12-04
186,96.58123656,2019-12-06
187,84.89662212,2019-12-10
188,84.23989182,2019-12-16
189,80.92329289,2019-12-18
190,86.15760816,2019-12-22
191,83.48698224,2019-12-28
192,48.80770898,2019-12-30
193,86.70138385,2020-01-03
194,80.45659918,2020-01-09
195,85.82806416,2020-01-11
196,81.98772579,2020-01-15
197,77.4026512,2020-01-21
198,37.58451845,2020-01-23
199,77.88035014,2020-01-27
200,72.55063616,2020-02-02
201,84.08290184,2020-02-04
202,78.41305397,2020-02-08
203,52.82959456,2020-02-14
204,29.63390855,2020-02-16
205,79.9427818,2020-02-20
206,74.96330076,2020-02-26
207,75.87670077,2020-02-28
208,68.29439554,2020-03-03
209,52.6841986,2020-03-09
210,25.29764901,2020-03-11
211,70.03865127,2020-03-15
212,62.36561112,2020-03-21
213,21.35567445,2020-03-23
214,40.76597136,2020-03-27
215,64.70219667,2020-04-02
216,77.54954514,2020-04-04
217,66.19116405,2020-04-08
218,76.12962882,2020-04-14
219,24.23823974,2020-04-16
220,65.14597955,2020-04-20
221,62.37128842,2020-04-26
222,74.25992873,2020-04-28
223,21.78171234,2020-05-02
224,37.98221746,2020-05-08
225,13.03205123,2020-05-10
226,23.81717472,2020-05-14
227,40.10556701,2020-05-20
228,9.161949993,2020-05-22
229,29.86654193,2020-05-26
230,23.14219807,2020-06-01
231,12.65703154,2020-06-03
232,33.35600499,2020-06-13
233,7.848050692,2020-06-15
234,25.13361615,2020-06-25
235,16.98907679,2020-06-27
236,42.39846847,2020-07-01
237,27.72355107,2020-07-07
238,11.60549702,2020-07-09
239,32.38019757,2020-07-13
240,28.43829614,2020-07-19
241,21.75764605,2020-07-21
242,34.06787843,2020-07-25
243,33.05084547,2020-07-31
244,39.91337235,2020-08-02
245,44.76022972,2020-08-06
246,56.24493064,2020-08-12
247,38.09501234,2020-08-14
248,51.90272834,2020-08-18
249,54.63880868,2020-08-24
250,0.349805895,2020-08-26
251,59.68693649,2020-08-30
252,64.7911592,2020-09-05
253,48.32049846,2020-09-07
254,85.02548159,2020-09-11
255,92.52746567,2020-09-17
256,72.26972512,2020-09-19
257,81.06034447,2020-09-23
258,88.15030296,2020-09-29
259,76.69114974,2020-10-01
260,105.3482366,2020-10-05
261,107.0653001,2020-10-11
262,96.24623196,2020-10-13
263,111.0464612,2020-10-17
264,109.2460971,2020-10-23
265,98.31120298,2020-10-25
266,109.0101507,2020-10-29
267,41.76474962,2020-10-31
268,102.7423717,2020-11-04
269,106.0407672,2020-11-06
270,112.3274174,2020-11-10
271,111.6306738,2020-11-12
272,115.047581,2020-11-16
273,97.20506389,2020-11-18
274,118.2748978,2020-11-22
275,114.985442,2020-11-28
276,117.1555032,2020-11-30
277,120.9995797,2020-12-10
278,111.5795251,2020-12-12
279,120.8819946,2020-12-16
280,118.710847,2020-12-22
281,120.5653104,2020-12-24
282,122.5563243,2021-01-03
283,122.7367415,2021-01-05
284,120.8715189,2021-01-09
285,121.4290229,2021-01-15
286,122.6188067,2021-01-17
287,122.5394225,2021-01-27
288,122.0280446,2021-01-29
289,121.7289906,2021-02-14
290,117.3993779,2021-02-20
291,101.5392509,2021-02-22
292,109.3261512,2021-02-26
293,116.1208275,2021-03-04
294,95.28812235,2021-03-06
295,118.5086376,2021-03-10
296,116.0219041,2021-03-16
297,77.01657659,2021-03-18
298,113.618666,2021-03-22
299,106.4390327,2021-03-28
300,80.93951503,2021-03-30
301,107.8446036,2021-04-03
302,106.9553443,2021-04-09
303,91.46228826,2021-04-11
304,104.2525416,2021-04-15
305,99.86764742,2021-04-21
306,87.26996471,2021-04-23
307,107.9424199,2021-04-27
308,110.3241915,2021-05-03
309,112.0624713,2021-05-05
310,106.3045894,2021-05-09
311,107.2374907,2021-05-15
312,95.56046024,2021-05-17
313,107.3380841,2021-05-27
314,94.67710432,2021-05-29
315,111.2975668,2021-06-02
316,111.480605,2021-06-08
317,96.10840112,2021-06-10
318,112.8309544,2021-06-14
319,111.5533522,2021-06-20
320,113.7068485,2021-06-22
321,107.7210762,2021-06-26
322,98.83078535,2021-07-02
323,90.69461991,2021-07-04
324,100.9887549,2021-07-08
325,101.0570744,2021-07-14
326,64.39233274,2021-07-16
327,110.1117713,2021-07-20
328,113.294293,2021-07-26
329,111.5373172,2021-07-28
330,112.0039129,2021-08-01
331,93.061904,2021-08-07
332,46.66020993,2021-08-09
333,99.77317545,2021-08-13
334,62.88055432,2021-08-21
335,93.46035502,2021-08-25
336,96.5947494,2021-08-31
337,95.81812151,2021-09-02
338,100.7946356,2021-09-06
339,106.5289888,2021-09-12
340,104.803978,2021-09-18
341,103.561815,2021-09-24
342,97.22978853,2021-09-26
343,105.0041448,2021-09-30
344,108.5800998,2021-10-06
345,64.93390347,2021-10-08
346,112.2698311,2021-10-12
347,113.8891827,2021-10-18
348,103.194603,2021-10-20
349,113.9004531,2021-10-24
350,109.259756,2021-10-30
351,117.7321252,2021-11-01
352,103.8127067,2021-11-13
353,120.6862872,2021-11-17
354,115.1446836,2021-11-23
355,120.506316,2021-11-25
356,119.9251762,2021-11-29
357,119.5305729,2021-12-05
358,121.7180433,2021-12-07
359,122.9875883,2021-12-11
