Key*,total,data
1,172.604207,2015-03-30
2,138.6209413,2015-07-04
3,128.3866499,2015-07-28
4,147.0942036,2015-08-21
5,146.8860356,2015-09-14
6,149.5572026,2015-10-08
7,170.2074249,2015-11-25
8,162.4766034,2016-04-05
9,119.1232867,2016-05-11
10,113.0699449,2016-05-23
11,126.8751269,2016-06-04
12,172.1857518,2016-06-28
13,164.707069,2016-07-10
14,151.7191499,2016-07-22
15,166.3474457,2016-08-03
16,168.9778073,2016-09-08
17,174.1212573,2016-10-26
18,165.7818196,2016-11-07
19,176.4054529,2016-12-01
20,162.9733103,2016-12-13
21,172.2203104,2017-01-06
22,175.3928398,2017-01-18
23,171.3968499,2017-02-23
24,157.4523463,2017-04-13
25,172.8479033,2017-04-25
26,154.3920421,2017-05-19
27,171.9837943,2017-06-11
28,172.4235678,2017-06-12
29,175.1356997,2017-07-17
30,177.2047581,2017-07-18
31,175.3277523,2017-08-22
32,174.2563906,2017-09-03
33,176.3477262,2017-09-15
34,173.1998048,2017-10-10
35,177.2389459,2017-11-14
36,182.8389985,2017-12-21
37,183.8475575,2018-01-02
38,193.8782396,2018-01-25
39,199.6141521,2018-02-07
40,203.8281426,2018-03-26
41,164.4865321,2018-04-19
42,165.7928453,2018-04-20
43,144.4962175,2018-05-02
44,144.9222272,2018-05-14
45,152.5841766,2018-06-18
46,143.1293805,2018-06-19
47,170.2736556,2018-07-12
48,172.9174973,2018-07-13
49,178.6839144,2018-07-25
50,173.6508213,2018-08-05
51,173.2156195,2018-09-11
52,179.327801,2018-10-04
53,172.5880994,2018-10-05
54,170.4033555,2018-10-16
55,173.2269132,2018-10-17
56,173.075907,2018-10-29
57,179.6936802,2018-11-09
58,179.6686014,2018-11-21
59,168.0756848,2018-11-22
60,168.9537667,2018-12-04
61,171.4797199,2018-12-27
62,170.3089453,2018-12-28
63,192.3586747,2019-01-08
64,166.3651069,2019-01-21
65,193.4773544,2019-02-01
66,207.127098,2019-02-13
67,201.0925867,2019-02-25
68,195.2368475,2019-03-09
69,169.8352526,2019-03-10
70,174.1626163,2019-03-21
71,171.9045203,2019-03-22
72,155.0066241,2019-05-20
73,162.4968541,2019-06-13
74,170.1406177,2019-06-14
75,169.6453374,2019-06-26
76,175.2769588,2019-08-13
77,177.7489464,2019-09-05
78,175.0937065,2019-09-17
79,178.47427,2019-09-18
80,177.533387,2019-09-30
81,173.6625206,2019-10-23
82,176.2096526,2019-11-04
83,176.0285525,2019-11-22
84,178.0967164,2019-11-29
85,178.9243765,2019-12-04
86,171.3191731,2019-12-11
87,179.9973038,2019-12-16
88,167.3185605,2019-12-23
89,183.9064674,2020-01-04
90,182.6199978,2020-01-09
91,187.8294362,2020-01-15
92,184.2178931,2020-01-21
93,205.2969042,2020-02-20
94,198.8115583,2020-02-26
95,192.839206,2020-03-04
96,179.9898533,2020-03-16
97,156.7616519,2020-03-27
98,166.9698072,2020-04-09
99,137.2051578,2020-05-02
100,167.771666,2020-05-03
101,135.4174554,2020-05-14
102,153.7398964,2020-05-27
103,127.6109727,2020-06-25
104,132.1586175,2020-07-07
105,135.8456506,2020-07-13
106,175.7263505,2020-07-14
107,169.0516701,2020-07-31
108,171.9476024,2020-08-06
109,171.4992047,2020-08-07
110,173.8172773,2020-08-12
111,174.2076285,2020-08-18
112,178.9904643,2020-08-19
113,181.213187,2020-08-31
114,177.7936691,2020-09-12
115,172.1274037,2020-09-23
116,176.904273,2020-09-24
117,173.2924047,2020-09-29
118,170.4399189,2020-10-06
119,177.0473258,2020-10-23
120,178.2535508,2020-12-05
121,182.2518782,2020-12-16
122,182.7676637,2020-12-17
123,183.3353624,2020-12-28
124,185.8844234,2021-01-09
125,189.6499808,2021-01-27
126,185.5271644,2021-02-03
127,153.9477244,2021-02-26
128,196.4026839,2021-03-16
129,217.1982962,2021-03-22
130,214.9861326,2021-03-23
131,178.8892759,2021-04-03
132,170.8699278,2021-04-15
133,152.9054007,2021-04-16
134,117.9667992,2021-04-21
135,164.9788927,2021-04-27
136,178.7874742,2021-04-28
137,91.86582492,2021-05-27
138,110.5415162,2021-06-08
139,121.273094,2021-07-14
140,154.0711646,2021-07-21
141,163.3289351,2021-08-02
142,128.8008944,2021-08-07
143,139.0686533,2021-08-13
144,170.035021,2021-08-26
145,155.5969513,2021-08-31
