Key*,total,data
1,20.18001359,22/2/2015
2,33.41611184,30/3/2015
3,32.97831162,17/5/2015
4,32.39356664,4/7/2015
5,30.77264462,28/7/2015
6,29.23704682,21/8/2015
7,27.12766532,14/9/2015
8,28.26581353,8/10/2015
9,28.11099901,1/11/2015
10,28.01044703,25/11/2015
11,29.56398694,19/12/2015
12,30.53980727,12/1/2016
13,32.5966482,5/2/2016
14,33.48581693,29/2/2016
15,30.64001357,24/3/2016
16,33.97928584,5/4/2016
17,29.4162696,17/4/2016
18,31.80609735,29/4/2016
19,28.2304879,11/5/2016
20,26.89909785,23/5/2016
21,26.47304665,4/6/2016
22,27.00341728,28/6/2016
23,27.45093772,10/7/2016
24,28.35024912,22/7/2016
25,26.45639713,3/8/2016
26,29.14637178,15/8/2016
27,31.38878972,27/8/2016
28,29.58123198,8/9/2016
29,26.27674534,20/9/2016
30,28.55762181,2/10/2016
31,29.08853935,14/10/2016
32,30.28039853,26/10/2016
33,33.21429797,7/11/2016
34,31.02790397,19/11/2016
35,29.94773308,1/12/2016
36,32.10615917,13/12/2016
37,31.78931919,25/12/2016
38,33.63697967,6/1/2017
39,33.61233931,18/1/2017
40,34.57279673,30/1/2017
41,34.42930168,11/2/2017
42,35.62335318,23/2/2017
43,35.83900782,7/3/2017
44,35.33656373,27/3/2017
45,34.90181548,31/3/2017
46,34.63547911,8/4/2017
47,35.09438838,24/4/2017
48,34.67613558,2/5/2017
49,34.1073783,18/5/2017
50,34.77293413,30/5/2017
51,38.17101056,7/6/2017
52,37.71064557,19/6/2017
53,37.01809213,23/6/2017
54,37.59950715,1/7/2017
55,37.33735074,13/7/2017
56,35.74247952,17/7/2017
57,34.99755769,29/7/2017
58,36.56214795,6/8/2017
59,36.50186167,10/8/2017
60,36.40945263,22/8/2017
61,37.95868516,11/9/2017
62,37.43238868,15/9/2017
63,35.80135834,23/9/2017
64,36.29423996,27/9/2017
65,36.01540318,5/10/2017
66,36.87212941,9/10/2017
67,36.18192963,21/10/2017
68,36.41297897,29/10/2017
69,34.9973198,2/11/2017
70,33.67995397,10/11/2017
71,34.15473837,14/11/2017
72,35.60592349,22/11/2017
73,35.06798979,26/11/2017
74,36.29071305,8/12/2017
75,37.28247025,16/12/2017
76,35.12988349,1/1/2018
77,36.93362955,9/1/2018
78,38.26055716,13/1/2018
79,36.78320435,21/1/2018
80,35.57881149,25/1/2018
81,36.7559772,2/2/2018
82,39.5259775,6/2/2018
83,39.3355906,14/2/2018
84,39.09933826,2/3/2018
85,38.10045136,22/3/2018
86,39.72536989,26/3/2018
87,35.51793681,3/4/2018
88,36.49802009,15/4/2018
89,39.17757009,19/4/2018
90,35.56878958,27/4/2018
91,36.54184889,1/5/2018
92,37.52891251,13/5/2018
93,39.13055968,21/5/2018
94,36.33211743,25/5/2018
95,37.43873923,6/6/2018
96,37.27432372,18/6/2018
97,37.9665965,30/6/2018
98,37.0495458,8/7/2018
99,38.07808191,12/7/2018
100,38.1245055,24/7/2018
101,37.41354146,1/8/2018
102,36.72612323,17/8/2018
103,37.43426069,25/8/2018
104,38.38376021,29/8/2018
105,39.45722428,6/9/2018
106,35.48369856,10/9/2018
107,35.53576126,18/9/2018
108,34.94686669,22/9/2018
109,39.08735339,30/9/2018
110,38.83738271,12/10/2018
111,37.42149395,16/10/2018
112,36.85461431,28/10/2018
113,38.92560646,5/11/2018
114,36.87138431,17/11/2018
115,36.87111472,21/11/2018
116,38.85070848,29/11/2018
117,36.87169888,3/12/2018
118,37.03873505,11/12/2018
119,34.44412104,15/12/2018
120,34.20511264,27/12/2018
121,33.02465712,4/1/2019
122,34.83721562,8/1/2019
123,37.87567123,20/1/2019
124,37.64932994,28/1/2019
125,36.82715704,9/2/2019
126,37.20286745,13/2/2019
127,37.99914675,9/3/2019
128,37.44390135,17/3/2019
129,37.43179649,2/4/2019
130,37.75106077,26/4/2019
131,38.27270224,4/5/2019
132,38.17382249,16/5/2019
133,37.66644883,20/5/2019
134,38.49242626,28/5/2019
135,39.30899344,9/6/2019
136,39.35478746,21/6/2019
137,38.90488183,7/7/2019
138,38.63704551,15/7/2019
139,38.91514273,19/7/2019
140,37.1988294,27/7/2019
141,33.3890908,31/7/2019
142,34.17561826,8/8/2019
143,35.86803364,12/8/2019
144,34.91858506,1/9/2019
