Key*,total,data
1,54.551,22/2/2015
2,41.067,30/3/2015
3,32.09,17/5/2015
4,31.182,4/7/2015
5,32.859,28/7/2015
6,32.929,21/8/2015
7,37.253,14/9/2015
8,44.012,8/10/2015
9,43.783,1/11/2015
10,52.319,25/11/2015
11,54.384,19/12/2015
12,51.915,12/1/2016
13,48.923,5/2/2016
14,41.646,29/2/2016
15,26.182,24/3/2016
16,27.456,5/4/2016
17,22.631,17/4/2016
18,19.572,29/4/2016
19,12.554,11/5/2016
20,15.506,23/5/2016
21,18.132,4/6/2016
22,19.741,28/6/2016
23,20.378,10/7/2016
24,22.775,22/7/2016
25,24.582,3/8/2016
26,26.09,15/8/2016
27,26.908,27/8/2016
28,31.621,8/9/2016
29,38.546,20/9/2016
30,44.102,2/10/2016
31,46.578,14/10/2016
32,48.335,26/10/2016
33,52.829,7/11/2016
34,53.737,19/11/2016
35,54.102,1/12/2016
36,56.583,13/12/2016
37,56.143,25/12/2016
38,54.982,6/1/2017
39,55.158,18/1/2017
40,56.172,30/1/2017
41,56.698,11/2/2017
42,54.762,23/2/2017
43,54.062,7/3/2017
44,52.659,19/3/2017
45,49.247,31/3/2017
46,43.888,8/4/2017
47,49.953,12/4/2017
48,46.506,20/4/2017
49,49.474,24/4/2017
50,43.403,2/5/2017
51,45.338,6/5/2017
52,42.974,14/5/2017
53,45.13,18/5/2017
54,40.612,26/5/2017
55,46.478,30/5/2017
56,47.136,7/6/2017
57,46.981,11/6/2017
58,45.04,19/6/2017
59,47.287,23/6/2017
60,48.846,1/7/2017
61,47.467,5/7/2017
62,46.239,13/7/2017
63,50.322,17/7/2017
64,45.814,25/7/2017
65,51.806,29/7/2017
66,51.91,6/8/2017
67,54.426,10/8/2017
68,54.596,18/8/2017
69,55.305,22/8/2017
70,56.842,3/9/2017
71,57.671,11/9/2017
72,57.162,15/9/2017
73,57.332,23/9/2017
74,56.66,27/9/2017
75,56.892,5/10/2017
76,56.872,9/10/2017
77,56.653,21/10/2017
78,54.666,29/10/2017
79,56.972,2/11/2017
80,56.842,14/11/2017
81,57.412,26/11/2017
82,57.53,8/12/2017
83,56.777,1/1/2018
84,57.186,13/1/2018
85,57.88,25/1/2018
86,58.505,6/2/2018
87,57.663,14/2/2018
88,57.815,2/3/2018
89,54.456,26/3/2018
90,47.159,3/4/2018
91,50.407,7/4/2018
92,49.25,19/4/2018
93,47.479,1/5/2018
94,47.513,13/5/2018
95,46.063,21/5/2018
96,47.314,25/5/2018
97,45.242,2/6/2018
98,46.497,6/6/2018
99,43.603,14/6/2018
100,48.018,18/6/2018
101,45.471,26/6/2018
102,48.047,30/6/2018
103,45.52,8/7/2018
104,48.266,12/7/2018
105,45.5,20/7/2018
106,51.81,24/7/2018
107,53.52,1/8/2018
108,54.221,5/8/2018
109,57.531,17/8/2018
110,56.323,25/8/2018
111,57.032,29/8/2018
112,58.061,6/9/2018
113,57.501,10/9/2018
114,57.382,18/9/2018
115,57.052,22/9/2018
116,57.132,4/10/2018
117,57.701,16/10/2018
118,57.258,28/10/2018
119,57.392,9/11/2018
120,54.294,17/11/2018
121,57.409,21/11/2018
122,58.011,3/12/2018
123,57.821,15/12/2018
124,57.127,27/12/2018
125,55.149,8/1/2019
126,56.057,20/1/2019
127,57.041,1/2/2019
128,53.314,9/2/2019
129,52.145,13/2/2019
130,48.509,21/2/2019
131,45.129,25/2/2019
132,52.577,5/3/2019
133,51.118,9/3/2019
134,47.934,21/3/2019
135,45.425,29/3/2019
136,48.275,2/4/2019
137,45.442,10/4/2019
138,42.597,14/4/2019
139,45.097,22/4/2019
140,43.742,26/4/2019
141,40.835,4/5/2019
142,37.772,8/5/2019
143,37.938,16/5/2019
144,41.876,20/5/2019
145,43.124,28/5/2019
146,41.17,1/6/2019
147,40.232,9/6/2019
148,40.321,13/6/2019
149,38.927,25/6/2019
150,33.658,3/7/2019
151,38.88,7/7/2019
152,37.173,15/7/2019
153,39.016,19/7/2019
154,37.223,27/7/2019
155,40.412,8/8/2019
156,45.32,12/8/2019
157,45.756,20/8/2019
158,47.671,24/8/2019
159,43.473,1/9/2019
160,47.856,5/9/2019
161,51.058,13/9/2019
162,55.25,17/9/2019
163,56.455,29/9/2019
164,56.822,11/10/2019
165,55.814,23/10/2019
166,57.606,31/10/2019
167,57.152,4/11/2019
168,55.589,10/11/2019
169,57.811,12/11/2019
170,56.596,16/11/2019
171,57.448,22/11/2019
172,53.837,28/11/2019
173,57.875,4/12/2019
174,55.634,10/12/2019
175,57.082,16/12/2019
176,56.899,22/12/2019
177,57.212,28/12/2019
178,58.205,3/1/2020
179,55.57,9/1/2020
180,51.738,11/1/2020
181,58.358,15/1/2020
182,56.831,21/1/2020
183,58.797,27/1/2020
184,57.983,2/2/2020
185,57.748,8/2/2020
186,58.457,14/2/2020
187,58.505,20/2/2020
188,51.463,26/2/2020
189,53.825,3/3/2020
190,56.18,9/3/2020
191,51.678,15/3/2020
192,53.071,21/3/2020
193,41.494,23/3/2020
194,53.406,27/3/2020
195,48.685,2/4/2020
196,49.874,8/4/2020
197,45.646,14/4/2020
198,45.52,20/4/2020
199,46.351,26/4/2020
200,44.651,2/5/2020
201,40.887,8/5/2020
202,39.306,10/5/2020
203,42.461,14/5/2020
204,36.044,20/5/2020
205,35.31,22/5/2020
206,36.259,26/5/2020
207,37.823,1/6/2020
208,38.917,3/6/2020
209,39.347,13/6/2020
210,35.206,15/6/2020
211,37.752,25/6/2020
212,37.188,27/6/2020
213,37.492,1/7/2020
214,37.332,7/7/2020
215,37.792,9/7/2020
216,37.492,13/7/2020
217,37.193,19/7/2020
218,35.385,21/7/2020
219,37.013,25/7/2020
220,37.911,31/7/2020
221,32.58,2/8/2020
222,39.219,6/8/2020
223,43.193,12/8/2020
224,41.246,14/8/2020
225,44.335,18/8/2020
226,44.931,24/8/2020
227,44.042,26/8/2020
228,46.219,30/8/2020
229,47.245,5/9/2020
230,47.733,7/9/2020
231,47.64,11/9/2020
232,49.773,19/9/2020
233,50.492,23/9/2020
234,51.59,29/9/2020
235,50.742,1/10/2020
236,52.599,5/10/2020
237,54.166,11/10/2020
238,53.927,13/10/2020
239,56.273,17/10/2020
240,56.782,23/10/2020
241,57.861,25/10/2020
242,55.961,29/10/2020
243,57.042,4/11/2020
244,57.052,6/11/2020
245,56.643,16/11/2020
246,56.688,22/11/2020
247,57.062,28/11/2020
248,57.279,4/12/2020
249,56.912,10/12/2020
250,57.484,16/12/2020
251,56.594,22/12/2020
252,58.483,28/12/2020
253,58.52,3/1/2021
254,57.719,15/1/2021
255,52.464,17/1/2021
256,58.952,21/1/2021
257,58.518,27/1/2021
258,56.019,2/2/2021
259,55.035,10/2/2021
260,56.212,14/2/2021
261,57.082,20/2/2021
262,58.622,26/2/2021
263,58.542,4/3/2021
264,53.798,6/3/2021
265,50.493,10/3/2021
266,56.097,16/3/2021
267,53.403,22/3/2021
268,53.352,28/3/2021
269,54.067,30/3/2021
270,46.533,3/4/2021
271,51.367,9/4/2021
272,50.362,15/4/2021
273,49.059,21/4/2021
274,49.613,23/4/2021
275,49.955,27/4/2021
276,48.465,3/5/2021
277,49.159,9/5/2021
278,49.479,15/5/2021
279,44.607,17/5/2021
280,48.246,27/5/2021
281,46.672,29/5/2021
282,49.414,2/6/2021
283,48.081,8/6/2021
284,48.652,14/6/2021
285,49.513,20/6/2021
286,48.228,22/6/2021
287,49.514,26/6/2021
288,49.105,2/7/2021
289,45.973,4/7/2021
290,47.741,8/7/2021
291,47.33,14/7/2021
292,46.319,16/7/2021
293,48.565,20/7/2021
294,48.35,26/7/2021
295,41.706,28/7/2021
296,48.352,1/8/2021
297,48.435,7/8/2021
298,44.042,9/8/2021
299,48.378,13/8/2021
300,49.034,21/8/2021
301,48.765,25/8/2021
302,50.023,31/8/2021
303,47.557,2/9/2021
304,50.356,6/9/2021
305,50.13,12/9/2021
306,51.354,14/9/2021
307,52.903,18/9/2021
308,54.556,24/9/2021
309,55.275,30/9/2021
310,54.676,6/10/2021
311,53.987,12/10/2021
312,56.303,18/10/2021
313,56.563,24/10/2021
314,55.614,30/10/2021
315,57.062,17/11/2021
316,55.934,23/11/2021
317,56.734,29/11/2021
318,57.35,5/12/2021
319,52.339,11/12/2021
320,57.124,17/12/2021
321,56.061,19/12/2021
322,55.653,23/12/2021
323,57.617,4/1/2022
324,57.147,16/1/2022
325,53.16548108,24/1/2022
326,33.71794685,17/2/2022
327,27.11385201,1/3/2022
328,55.71799093,5/3/2022
329,18.62678191,14/3/2022
