Key*,total,data
1,34.146,25-11-2015
2,27.613,29-02-2016
3,26.165,24-03-2016
4,13.542,22-07-2016
5,17.653,03-08-2016
6,25.644,15-08-2016
7,24.165,08-09-2016
8,28.071,20-09-2016
9,33.769,14-10-2016
10,41.869,07-11-2016
11,43.418,01-12-2016
12,43.418,01-12-2016
13,44.665,06-01-2017
14,43.598,18-01-2017
15,37.433,23-02-2017
16,37.709,07-03-2017
17,36.904,20-03-2017
18,30.602,12-04-2017
19,30.602,13-04-2017
20,30.575,20-04-2017
21,28.919,24-04-2017
22,33.887,06-05-2017
23,30.755,18-05-2017
24,30.755,19-05-2017
25,33.930,30-05-2017
26,36.105,11-06-2017
27,28.857,19-06-2017
28,33.839,13-07-2017
29,37.137,17-07-2017
30,37.137,18-07-2017
31,36.712,25-07-2017
32,35.106,06-08-2017
33,43.033,22-08-2017
34,43.033,23-08-2017
35,43.063,03-09-2017
36,42.559,28-09-2017
37,46.278,09-12-2017
38,40.609,28-12-2017
39,45.996,25-01-2018
40,31.438,02-02-2018
41,27.668,26-02-2018
42,29.126,10-03-2018
43,43.638,27-03-2018
44,35.705,20-04-2018
45,32.660,01-05-2018
46,32.660,02-05-2018
47,28.967,09-05-2018
48,30.670,25-05-2018
49,28.877,02-06-2018
50,29.363,07-06-2018
51,25.489,14-06-2018
52,24.149,12-07-2018
53,24.149,13-07-2018
54,23.675,01-08-2018
55,26.011,05-08-2018
56,29.578,17-08-2018
57,31.438,29-08-2018
58,37.024,18-09-2018
59,44.895,04-10-2018
60,44.068,09-11-2018
61,44.120,03-12-2018
62,39.907,08-01-2019
63,37.582,21-01-2019
64,32.735,13-02-2019
65,31.196,25-02-2019
66,31.196,26-02-2019
67,30.835,21-03-2019
68,30.835,22-03-2019
69,25.616,29-03-2019
70,30.403,03-04-2019
71,17.312,22-04-2019
72,15.879,04-05-2019
73,21.768,08-05-2019
74,13.823,28-05-2019
75,14.737,09-06-2019
76,17.262,13-06-2019
77,19.328,26-06-2019
78,18.740,03-07-2019
79,16.394,08-07-2019
80,16.829,01-08-2019
81,29.021,13-08-2019
82,41.866,04-11-2019
83,42.858,11-12-2019
84,25.991,30-12-2019
85,31.641,14-02-2020
86,33.246,20-02-2020
87,33.246,21-02-2020
88,28.277,26-02-2020
89,29.943,03-03-2020
90,29.193,09-03-2020
91,28.689,08-04-2020
92,29.181,14-04-2020
93,26.843,20-04-2020
94,26.843,21-04-2020
95,22.511,08-05-2020
96,19.341,10-05-2020
97,19.077,14-05-2020
98,21.576,20-05-2020
99,24.648,08-06-2020
100,20.167,15-06-2020
101,19.248,25-06-2020
102,23.050,01-07-2020
103,21.423,09-07-2020
104,19.636,21-07-2020
105,24.136,31-07-2020
106,24.124,06-08-2020
107,25.780,12-08-2020
108,23.180,14-08-2020
109,28.114,18-08-2020
110,28.114,19-08-2020
111,27.632,24-08-2020
112,26.210,26-08-2020
113,27.411,31-08-2020
114,28.689,07-09-2020
115,31.540,11-09-2020
116,34.208,17-09-2020
117,33.663,23-09-2020
118,33.663,24-09-2020
119,37.959,11-10-2020
120,34.823,13-10-2020
121,40.482,30-10-2020
122,38.822,06-11-2020
123,40.279,12-11-2020
124,38.727,18-11-2020
125,43.331,30-11-2020
126,41.368,10-12-2020
127,40.689,16-12-2020
128,40.383,03-01-2021
129,34.534,09-01-2021
130,38.954,15-01-2021
131,39.700,27-01-2021
132,37.595,29-01-2021
133,39.626,02-02-2021
134,31.137,22-02-2021
135,31.130,16-03-2021
136,26.872,30-03-2021
137,27.464,03-05-2021
138,15.638,17-05-2021
139,14.311,15-06-2021
140,15.852,14-07-2021
141,19.035,21-07-2021
142,19.565,01-08-2021
143,14.557,09-08-2021
144,16.592,13-08-2021
145,17.845,31-08-2021
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
