Key*,total,data
1,130.0109012,2015-03-30
2,107.6612033,2015-10-08
3,118.347191,2015-11-01
4,128.9924195,2015-11-25
5,137.3558714,2015-12-19
6,136.9640041,2016-01-12
7,117.2182945,2016-02-05
8,106.9361,2016-02-29
9,114.6051204,2016-04-05
10,105.6078982,2016-04-17
11,106.3278453,2016-04-29
12,107.1669582,2016-12-25
13,108.3905384,2017-01-06
14,114.2884953,2017-01-18
15,118.9986068,2017-01-30
16,121.9894012,2017-02-23
17,121.54062,2017-03-07
18,119.2687511,2017-03-19
19,112.2837125,2017-03-31
20,117.956747,2017-04-01
21,113.9668704,2017-04-12
22,109.82485,2017-04-20
23,107.7490772,2017-04-24
24,107.6855299,2017-04-25
25,104.547814,2017-05-06
26,106.7754753,2017-05-19
27,110.1418318,2017-05-31
28,107.1446767,2017-06-12
29,108.1590109,2017-07-06
30,107.5251811,2017-07-18
31,105.3817347,2017-07-29
32,105.1993522,2017-08-06
33,109.0224691,2017-08-10
34,113.9789925,2017-08-22
35,108.5146748,2017-08-30
36,115.9006466,2017-09-03
37,116.0637531,2017-09-11
38,118.0482528,2017-09-15
39,118.7883892,2017-09-23
40,119.2605674,2017-09-27
41,122.7671112,2017-10-05
42,125.3246163,2017-10-09
43,127.6051983,2017-10-21
44,129.1633021,2017-11-02
45,132.5756875,2017-11-14
46,129.8088508,2017-11-26
47,135.4881237,2017-12-08
48,142.510284,2017-12-21
49,135.6852653,2018-01-01
50,139.7615865,2018-01-14
51,130.5609104,2018-01-25
52,140.959427,2018-02-06
53,132.5282705,2018-02-14
54,135.3113049,2018-03-02
55,137.4053869,2018-03-14
56,132.9491706,2018-03-26
57,125.4467683,2018-04-19
58,122.9092693,2018-05-01
59,120.0096137,2018-05-13
60,119.4963296,2018-05-21
61,118.3102043,2018-05-25
62,114.326146,2018-06-02
63,119.164652,2018-06-06
64,120.531134,2018-06-18
65,117.8321042,2018-06-30
66,114.4394959,2018-07-01
67,117.0633316,2018-07-12
68,113.4945829,2018-07-20
69,118.0945858,2018-07-24
70,111.8419813,2018-08-01
71,117.1867743,2018-08-05
72,117.7258351,2018-08-17
73,118.6618905,2018-08-25
74,120.177461,2018-08-29
75,122.4022122,2018-09-06
76,121.1550816,2018-09-10
77,122.0479473,2018-09-18
78,127.6140877,2018-09-22
79,129.9264992,2018-09-23
80,132.6025553,2018-10-04
81,138.6983711,2018-10-05
82,137.4760805,2018-10-16
83,138.3575109,2018-10-28
84,140.0240276,2018-11-09
85,141.1669532,2018-11-21
86,141.2422357,2018-12-03
87,143.4861643,2018-12-16
88,141.9220288,2018-12-27
89,145.3043588,2019-01-09
90,144.1193972,2019-01-20
91,144.6415089,2019-02-01
92,143.4516312,2019-02-26
93,143.3144154,2019-03-05
94,142.5668365,2019-03-09
95,144.818764,2019-04-03
96,128.5947442,2019-04-10
97,130.0254252,2019-04-14
98,131.3964539,2019-04-22
99,130.724074,2019-04-26
100,122.8767755,2019-05-04
101,125.3422628,2019-05-08
102,121.730706,2019-05-16
103,120.7133242,2019-05-20
104,123.7461953,2019-05-28
105,122.5056826,2019-06-01
106,123.4104416,2019-06-09
107,120.7021199,2019-06-13
108,130.2735385,2019-06-26
109,126.8396502,2019-07-08
110,127.1928823,2019-07-20
111,111.473044,2019-07-27
112,111.4844634,2019-08-01
113,117.7909586,2019-08-08
114,122.1053027,2019-08-12
115,122.8998067,2019-08-20
116,123.9108532,2019-08-24
117,122.3576372,2019-09-01
118,123.6422781,2019-09-13
119,142.511439,2019-09-29
120,144.5296414,2019-10-11
121,145.2937589,2019-10-23
122,144.6734622,2019-10-24
123,147.1606013,2019-10-31
124,147.0348993,2019-11-04
125,145.3592954,2019-11-10
126,148.0335186,2019-11-12
127,146.440446,2019-11-16
128,148.2784506,2019-11-22
129,148.7407002,2019-11-29
130,147.03823,2019-12-04
131,149.8505886,2019-12-11
132,145.5364245,2019-12-16
133,152.1447924,2019-12-23
134,147.9282219,2019-12-28
135,150.8236465,2020-01-04
136,149.1960131,2020-01-09
137,147.4989053,2020-01-15
138,146.2892034,2020-01-21
139,147.6452237,2020-01-27
140,147.0438426,2020-02-02
141,146.4154133,2020-02-09
142,148.2995154,2020-02-14
143,149.033747,2020-02-21
144,147.7246719,2020-03-04
145,144.7791675,2020-03-09
146,143.2813571,2020-03-15
147,141.9202283,2020-03-21
148,140.6026086,2020-03-27
149,140.5144729,2020-04-02
150,139.9741689,2020-04-08
151,135.4061037,2020-04-14
152,134.9598972,2020-04-20
153,135.6301211,2020-05-02
154,128.504132,2020-05-10
155,131.2866182,2020-05-14
156,125.2926348,2020-05-20
157,127.0807649,2020-05-22
158,124.817073,2020-05-26
159,125.4369606,2020-06-01
160,126.0939803,2020-06-13
161,124.4953302,2020-06-15
162,125.6034315,2020-06-25
163,122.347778,2020-06-27
164,125.7434478,2020-07-01
165,127.1592288,2020-07-07
166,127.6830023,2020-07-09
167,127.3778948,2020-07-13
168,126.7520391,2020-07-19
169,125.8185041,2020-07-25
170,125.3956833,2020-07-31
171,125.3881685,2020-08-06
172,129.8453762,2020-08-07
173,127.5708529,2020-08-12
174,122.9603945,2020-08-14
175,127.0114717,2020-08-18
176,130.6584932,2020-08-19
177,128.8599789,2020-08-24
178,130.4564973,2020-08-30
179,129.975736,2020-09-05
180,131.6117177,2020-09-07
181,130.5055218,2020-09-11
182,130.4052577,2020-09-17
183,132.0839726,2020-09-19
184,132.9695762,2020-09-23
185,133.7227665,2020-09-29
186,134.9148952,2020-10-01
187,135.1281772,2020-10-05
188,137.1554255,2020-10-11
189,139.4163269,2020-10-17
190,143.2297734,2020-10-18
191,140.9636338,2020-10-23
192,141.7213599,2020-10-29
193,145.1614095,2020-10-30
194,143.3796169,2020-11-04
195,142.4294934,2020-11-10
196,141.9859325,2020-11-16
197,142.8509869,2020-11-22
198,143.1606392,2020-11-28
199,149.5886344,2020-12-05
200,145.8469117,2020-12-10
201,148.8318542,2020-12-17
202,149.3435434,2020-12-29
203,148.2543302,2021-01-10
204,144.6712477,2021-01-15
205,149.8586967,2021-01-22
206,149.7034826,2021-02-03
207,147.2362764,2021-02-14
208,145.0819033,2021-02-20
209,144.6574318,2021-02-26
210,144.3313249,2021-03-04
211,142.8326932,2021-03-16
212,142.9693875,2021-03-28
213,143.9059491,2021-03-30
214,142.3458475,2021-04-03
215,141.4200474,2021-04-04
216,139.8055773,2021-04-09
217,141.2398823,2021-04-15
218,137.5477076,2021-04-21
219,139.4794962,2021-04-27
220,140.5600535,2021-05-03
221,139.2829079,2021-05-09
222,141.5896725,2021-05-15
223,142.4990582,2021-05-17
224,138.6542161,2021-05-27
225,136.8684474,2021-05-29
226,139.9545078,2021-06-02
227,138.4289318,2021-06-08
228,139.4207211,2021-06-14
229,138.4090887,2021-06-20
230,138.2375772,2021-06-22
231,138.2963597,2021-06-26
232,138.4780329,2021-07-02
233,137.492537,2021-07-08
234,139.9127677,2021-07-14
235,139.3182673,2021-07-20
236,139.3575343,2021-07-26
237,139.5184922,2021-08-01
238,138.2585038,2021-08-07
239,138.7524732,2021-08-09
240,137.5728806,2021-08-13
241,142.5116817,2021-08-14
242,142.527449,2021-08-26
243,140.3141244,2021-09-07
244,141.5305347,2021-09-18
245,144.4443474,2021-09-19
246,140.9225959,2021-09-24
247,141.8377634,2021-09-30
248,148.2396166,2021-10-01
249,149.3108472,2021-10-13
250,150.9012585,2021-10-25
251,149.4895264,2021-11-18
252,146.9884467,2021-11-30
253,146.5487656,2021-12-12
254,148.4512439,2021-12-24
255,149.8626227,2022-01-05
256,150.8791173,2022-01-17
257,137.2093668,2022-01-24
258,151.7094856,2022-01-28
259,150.3462592,2022-01-29
261,150.569096,2022-02-09
262,151.8719924,2022-02-10
263,144.2505477,2022-03-05
264,152.1031487,2022-03-06
