Key*,total,data
1,13.93825884,2015-02-22
2,10.95116746,2015-03-30
3,4.85958445,2015-05-17
4,4.392219903,2015-07-04
5,8.309778673,2015-08-21
6,5.382905697,2015-09-14
7,9.911565519,2015-10-08
8,9.771759388,2015-11-01
9,10.59855987,2015-11-25
10,13.64725256,2015-12-19
11,14.44528399,2016-01-12
12,13.57949769,2016-02-05
13,13.16897519,2016-02-29
14,13.6926157,2016-03-24
15,14.49233643,2016-04-05
16,13.73948473,2016-04-17
17,12.72366681,2016-04-29
18,12.16214109,2016-05-11
19,9.579409846,2016-05-23
20,10.96075822,2016-06-04
21,10.71096909,2016-06-28
22,9.297063988,2016-07-10
23,10.13517853,2016-07-22
24,8.731381287,2016-08-03
25,10.47274532,2016-08-15
26,9.811215406,2016-08-27
27,7.378716241,2016-09-08
28,9.107610207,2016-09-20
29,7.136449161,2016-10-02
30,10.06151424,2016-10-14
31,11.1006424,2016-10-26
32,13.35874397,2016-11-07
33,13.05774353,2016-11-19
34,10.76089427,2016-12-01
35,13.34875164,2016-12-13
36,13.84457298,2016-12-25
37,13.36627004,2017-01-06
38,14.75878302,2017-01-18
39,14.86516555,2017-01-30
40,12.0310863,2017-02-11
41,15.11095884,2017-02-23
42,15.27090305,2017-03-07
43,16.29498196,2017-03-19
44,19.66066085,2017-03-27
45,20.85761481,2017-04-08
46,19.68789017,2017-04-20
47,18.59622199,2017-05-02
48,19.03189864,2017-05-14
49,13.81835716,2017-05-18
50,14.88491583,2017-05-26
51,14.46706727,2017-05-30
52,18.24679307,2017-06-07
53,13.6559846,2017-06-11
54,17.76754559,2017-06-19
55,15.24155104,2017-06-23
56,17.97400323,2017-07-01
57,15.16334559,2017-07-05
58,16.27123613,2017-07-13
59,14.23804438,2017-07-17
60,14.14913981,2017-07-25
61,14.38811603,2017-07-29
62,16.91019345,2017-08-06
63,14.27836353,2017-08-10
64,14.73304413,2017-08-18
65,15.1366234,2017-08-22
66,16.07771897,2017-08-30
67,13.83708705,2017-09-03
68,17.28129075,2017-09-11
69,15.98653621,2017-09-15
70,18.91082653,2017-09-23
71,14.90493479,2017-09-27
72,16.78449766,2017-10-05
73,15.51944174,2017-10-09
74,15.18215377,2017-10-21
75,17.29497217,2017-10-29
76,14.66043381,2017-11-02
77,13.57809492,2017-11-10
78,13.86580874,2017-11-14
79,14.51526795,2017-11-22
80,12.57807042,2017-11-26
81,13.59599986,2017-12-04
82,14.32041,2017-12-08
83,15.24218845,2017-12-16
84,14.4849042,2017-12-28
85,14.39873491,2018-01-01
86,17.30472044,2018-01-09
87,15.02350225,2018-01-13
88,16.89526715,2018-01-21
89,15.32575647,2018-01-25
90,17.40326909,2018-02-02
91,16.54927905,2018-02-06
92,19.16504132,2018-02-14
93,20.33657316,2018-02-26
94,19.05466426,2018-03-10
95,21.48485723,2018-03-22
96,21.47251721,2018-04-03
97,20.30321902,2018-04-15
98,21.87334769,2018-04-27
99,19.1007086,2018-05-21
100,16.07391673,2018-05-25
101,15.67863883,2018-06-06
102,16.66549926,2018-06-14
103,15.35291616,2018-06-18
104,16.8353977,2018-06-26
105,14.29282133,2018-06-30
106,14.01713623,2018-07-12
107,13.29859888,2018-07-24
108,13.69845541,2018-08-05
109,12.86453074,2018-08-17
110,15.15350889,2018-08-29
111,15.49635876,2018-09-06
112,14.60632369,2018-09-18
113,12.9696997,2018-10-16
114,13.94147284,2018-10-24
115,13.23841815,2018-10-28
116,12.83698838,2018-11-09
117,13.16377529,2018-11-17
118,13.88810322,2018-11-21
119,16.82814634,2018-11-29
120,12.95896483,2018-12-03
121,16.24844142,2018-12-11
122,13.39338774,2018-12-15
123,14.63806488,2018-12-23
124,13.0615057,2018-12-27
125,18.49573451,2019-01-04
126,18.74465598,2019-01-16
127,18.58549455,2019-01-28
128,18.99953372,2019-02-09
129,19.12570906,2019-02-21
130,18.80397707,2019-03-05
131,19.54021356,2019-03-17
132,19.20093118,2019-03-29
133,18.13845148,2019-04-10
134,18.11803868,2019-04-22
135,19.41366487,2019-05-04
136,16.88358728,2019-05-16
137,17.18502347,2019-05-28
138,17.5877805,2019-06-09
139,15.69443769,2019-06-13
140,14.08307929,2019-06-21
141,14.99732793,2019-06-25
142,14.58763288,2019-07-03
143,14.51499312,2019-07-07
144,13.46673264,2019-07-19
145,11.51841223,2019-07-31
146,12.85094268,2019-08-08
147,13.13035463,2019-08-12
148,11.52782411,2019-08-24
149,8.937443673,2019-09-01
150,8.840553011,2019-09-05
151,10.31123145,2019-09-13
152,8.755128228,2019-09-17
153,15.43410501,2019-09-25
154,14.14797297,2019-10-07
155,14.16956412,2019-10-19
156,14.44849644,2019-10-31
157,16.39514526,2019-11-12
158,15.33398774,2019-11-16
159,16.57662918,2019-11-22
160,18.5070127,2019-11-24
161,16.69179507,2019-12-04
162,20.14877418,2019-12-06
163,17.05446441,2019-12-10
164,19.33459308,2019-12-18
165,18.09179092,2019-12-22
166,18.26020198,2019-12-28
167,19.69793731,2019-12-30
168,16.84126815,2020-01-09
169,18.97473707,2020-01-11
170,18.05362168,2020-01-21
171,18.51794756,2020-01-23
172,16.57286469,2020-01-27
173,17.60059334,2020-02-02
174,19.97891849,2020-02-04
175,16.60939027,2020-02-08
176,16.99619835,2020-02-14
177,19.49085339,2020-02-16
178,17.4678021,2020-02-26
179,19.28964988,2020-02-28
180,18.51480641,2020-03-03
181,17.20162704,2020-03-09
182,20.36685933,2020-03-11
183,17.67107685,2020-03-15
184,17.97224351,2020-03-23
185,19.28576024,2020-04-04
186,18.60281359,2020-04-16
187,17.2844667,2020-04-26
188,15.06770241,2020-05-02
189,15.78924402,2020-05-08
190,15.20801412,2020-05-14
191,14.1610445,2020-05-20
192,10.9823475,2020-05-26
193,10.72327255,2020-06-01
194,13.05550489,2020-06-13
195,11.90988446,2020-06-15
196,11.25791956,2020-06-25
197,12.89862101,2020-06-27
198,12.80951971,2020-07-01
199,13.02392826,2020-07-07
200,11.44893929,2020-07-13
201,11.53047602,2020-07-19
202,10.79462678,2020-07-25
203,10.58323667,2020-07-31
204,10.80547928,2020-08-06
205,11.64661353,2020-08-12
206,11.16553204,2020-08-14
207,13.0631868,2020-08-18
208,12.63754203,2020-08-24
209,12.27945564,2020-08-30
210,11.20439901,2020-09-05
211,11.06937438,2020-09-11
212,10.8465025,2020-09-17
213,12.2802816,2020-09-19
214,11.51856487,2020-09-23
215,12.10360162,2020-09-29
216,12.12119653,2020-10-05
217,12.65467011,2020-10-11
218,13.46845896,2020-10-17
219,14.85137308,2020-10-23
220,14.55393703,2020-10-29
221,13.14634521,2020-10-31
222,13.9244263,2020-11-04
223,14.78370829,2020-11-06
224,14.83742997,2020-11-12
225,14.02128578,2020-11-16
226,16.20028248,2020-11-18
227,15.55129624,2020-11-22
228,14.26042429,2020-12-04
229,13.52934615,2020-12-10
230,13.59317561,2020-12-16
231,15.16311306,2020-12-24
232,14.81391581,2020-12-28
233,14.62403632,2021-01-03
234,15.21373659,2021-01-05
235,16.08359287,2021-01-15
236,16.46437168,2021-01-21
237,16.30196098,2021-01-27
238,17.14368852,2021-02-02
239,15.87918333,2021-02-10
240,16.58160787,2021-02-14
241,16.76956681,2021-02-20
242,16.02752649,2021-02-26
243,16.42593501,2021-03-04
244,15.40651409,2021-03-16
245,15.26322425,2021-03-22
246,16.1177959,2021-03-28
247,18.72713771,2021-04-03
248,18.68419534,2021-04-11
249,17.63412914,2021-04-15
250,17.48626144,2021-04-23
251,16.90604335,2021-04-27
252,16.12951427,2021-05-03
253,16.43133938,2021-05-09
254,15.84093577,2021-05-15
255,14.2446297,2021-05-27
256,16.4082633,2021-05-29
257,15.6109697,2021-06-02
258,14.33067994,2021-06-08
259,14.37244769,2021-06-10
260,15.83630612,2021-06-20
261,14.04063877,2021-06-26
262,13.77055538,2021-07-02
263,15.12047986,2021-07-04
264,15.11848282,2021-07-08
265,13.6353759,2021-07-14
266,15.64396399,2021-07-16
267,15.29849508,2021-07-20
268,15.09599449,2021-07-26
269,14.73735065,2021-08-01
270,13.91106298,2021-08-07
271,13.6987699,2021-08-09
272,14.85987136,2021-08-13
273,15.24144416,2021-08-21
274,10.75093532,2021-08-25
275,10.79732857,2021-08-31
276,12.90861579,2021-09-02
277,11.34482895,2021-09-06
278,12.13338068,2021-09-12
279,15.78255021,2021-09-14
280,11.3654403,2021-09-18
281,13.25295116,2021-09-24
282,14.58865355,2021-09-26
283,14.41413425,2021-09-30
284,11.7314884,2021-10-06
285,15.28391191,2021-10-08
286,14.39097874,2021-10-12
287,14.25195628,2021-10-18
288,13.50317423,2021-10-24
289,14.13307542,2021-10-30
290,14.00012545,2021-11-17
291,12.25085584,2021-11-23
292,16.0351677,2021-11-25
293,13.94950446,2021-11-29
294,15.70685064,2021-12-05
295,15.9779563,2021-12-11
296,13.21032416,2021-12-17
297,14.94744828,2021-12-19
298,15.61751527,2021-12-23
299,14.37401096,2022-01-04
300,16.4730737,2022-01-16
