Key*,total,data
1,132.4302329,2015-07-04
2,105.1804715,2016-05-23
3,111.2084162,2016-06-04
4,123.9551996,2016-07-10
5,121.1017973,2016-08-15
6,117.7361717,2016-09-08
7,193.7597113,2017-06-19
8,231.4593347,2017-09-11
9,233.1119726,2017-09-23
10,246.7167563,2017-10-05
11,246.7167563,2017-10-05
12,277.620994,2018-01-01
13,281.8517794,2018-01-02
14,2.525662293,2018-01-09
15,225.3666998,2018-01-13
16,281.1014361,2018-01-14
17,26.94353218,2018-01-21
18,268.9950754,2018-01-25
19,273.104221,2018-01-26
20,3.214460863,2018-02-02
21,247.9484989,2018-02-06
22,253.4248845,2018-02-06
23,276.1419484,2018-02-07
24,247.3937672,2018-02-14
25,223.8293191,2018-02-18
26,211.1711627,2018-02-19
27,1.986523401,2018-02-26
28,255.1642525,2018-03-02
29,266.1702051,2018-03-03
30,10.44196593,2018-03-10
31,248.0366667,2018-03-14
32,251.927592,2018-03-15
33,2.615459571,2018-03-22
34,205.0420601,2018-03-26
35,247.6957259,2018-03-27
36,111.9547258,2018-04-03
37,171.9895774,2018-04-07
38,234.2316737,2018-04-08
39,3.104643485,2018-04-15
40,196.7458022,2018-04-19
41,227.6745177,2018-04-20
42,35.89708102,2018-04-27
43,183.688546,2018-05-01
44,204.1197369,2018-05-02
45,161.9965288,2018-05-09
46,172.8475162,2018-05-13
47,201.4148775,2018-05-14
48,163.6636304,2018-05-21
49,169.3036944,2018-05-25
50,175.3048628,2018-05-26
51,162.9448203,2018-06-02
52,168.6747903,2018-06-06
53,174.7858648,2018-06-07
54,167.0675663,2018-06-14
55,174.1851266,2018-06-18
56,176.8744754,2018-06-18
57,176.7620985,2018-06-19
58,165.6101846,2018-06-26
59,168.0031229,2018-06-26
60,168.1057731,2018-06-30
61,12.95529887,2018-07-01
62,155.8172931,2018-07-08
63,167.3570839,2018-07-12
64,171.3923598,2018-07-13
65,168.7945797,2018-07-20
66,169.449492,2018-07-20
67,170.2719926,2018-07-24
68,171.9193286,2018-07-24
69,174.0073553,2018-07-25
70,163.9662112,2018-08-01
71,164.1726615,2018-08-01
72,167.297197,2018-08-05
73,170.8334234,2018-08-06
74,174.5944395,2018-08-17
75,177.1180014,2018-08-17
76,177.7701508,2018-08-18
77,176.5510371,2018-08-25
78,179.4659043,2018-08-29
79,182.7946846,2018-08-29
80,180.7444558,2018-08-30
81,176.6508768,2018-09-06
82,179.3937492,2018-09-06
83,187.6816072,2018-09-10
84,191.394051,2018-09-11
85,197.8838764,2018-09-18
86,218.3382459,2018-09-22
87,176.0428042,2018-09-23
88,224.4577452,2018-09-30
89,240.6495056,2018-10-04
90,245.1374414,2018-10-04
91,240.9586724,2018-10-05
92,33.3324135,2018-10-12
93,248.2262816,2018-10-16
94,248.2546703,2018-10-17
