Key*,total,data
1,10.683,22-02-2015
2,8.873,30-03-2015
3,7.934,17-05-2015
4,7.005,04-07-2015
5,6.895,28-07-2015
6,9.323,21-08-2015
7,8.574,14-09-2015
8,10.135,08-10-2015
9,9.043,01-11-2015
10,9.893,25-11-2015
11,10.013,19-12-2015
12,10.492,12-01-2016
13,9.513,05-02-2016
14,10.252,29-02-2016
15,9.653,24-03-2016
16,10.816,05-04-2016
17,10.722,17-04-2016
18,10.073,29-04-2016
19,9.686,11-05-2016
20,9.243,23-05-2016
21,9.643,04-06-2016
22,9.293,28-06-2016
23,8.813,22-07-2016
24,7.664,03-08-2016
25,7.964,15-08-2016
26,7.724,27-08-2016
27,7.584,08-09-2016
28,7.534,20-09-2016
29,7.881,02-10-2016
30,9.753,14-10-2016
31,9.783,26-10-2016
32,10.262,07-11-2016
33,10.222,19-11-2016
34,9.783,01-12-2016
35,10.053,13-12-2016
36,10.312,25-12-2016
37,10.212,06-01-2017
38,10.262,18-01-2017
39,10.362,30-01-2017
40,10.033,11-02-2017
41,10.342,23-02-2017
42,10.491,07-03-2017
43,10.394,19-03-2017
44,9.978,27-03-2017
45,10.162,31-03-2017
46,10.541,08-04-2017
47,10.552,12-04-2017
48,10.108,20-04-2017
49,10.062,24-04-2017
50,9.022,02-05-2017
51,9.567,06-05-2017
52,9.443,14-05-2017
53,9.653,18-05-2017
54,9.593,26-05-2017
55,10.063,30-05-2017
56,9.611,07-06-2017
57,9.123,11-06-2017
58,10.202,19-06-2017
59,10.043,23-06-2017
60,9.897,01-07-2017
61,9.163,05-07-2017
62,8.054,13-07-2017
63,8.494,17-07-2017
64,8.654,25-07-2017
65,9.933,29-07-2017
66,9.173,06-08-2017
67,9.935,10-08-2017
68,9.073,18-08-2017
69,9.828,22-08-2017
70,8.504,30-08-2017
71,9.043,03-09-2017
72,9.130,11-09-2017
73,9.363,15-09-2017
74,8.314,23-09-2017
75,9.123,27-09-2017
76,9.053,05-10-2017
77,9.173,09-10-2017
78,9.323,21-10-2017
79,8.584,29-10-2017
80,10.292,02-11-2017
81,9.703,10-11-2017
82,9.963,14-11-2017
83,9.583,22-11-2017
84,9.783,26-11-2017
85,9.373,04-12-2017
86,10.093,08-12-2017
87,9.823,16-12-2017
88,9.663,28-12-2017
89,10.102,01-01-2018
90,9.793,09-01-2018
91,10.053,13-01-2018
92,9.773,21-01-2018
93,10.222,25-01-2018
94,9.803,02-02-2018
95,10.242,06-02-2018
96,9.353,14-02-2018
97,9.023,18-02-2018
98,8.655,26-02-2018
99,9.279,02-03-2018
100,8.674,10-03-2018
101,9.513,14-03-2018
102,9.386,22-03-2018
103,9.293,26-03-2018
104,8.669,03-04-2018
105,7.984,07-04-2018
106,8.582,15-04-2018
107,9.076,19-04-2018
108,8.904,27-04-2018
109,9.269,01-05-2018
110,8.144,09-05-2018
111,8.534,13-05-2018
112,7.804,21-05-2018
113,8.533,25-05-2018
114,6.435,02-06-2018
115,7.584,06-06-2018
116,7.552,14-06-2018
117,8.713,18-06-2018
118,7.285,26-06-2018
119,7.096,30-06-2018
120,8.097,08-07-2018
121,7.874,12-07-2018
122,7.011,20-07-2018
123,8.074,24-07-2018
124,7.792,01-08-2018
125,8.288,05-08-2018
126,8.070,17-08-2018
127,7.578,25-08-2018
128,8.288,29-08-2018
129,7.195,10-09-2018
130,7.494,18-09-2018
131,7.385,22-09-2018
132,7.325,30-09-2018
133,7.694,04-10-2018
134,8.098,12-10-2018
135,7.644,16-10-2018
136,6.925,24-10-2018
137,7.984,28-10-2018
138,7.474,05-11-2018
139,8.054,09-11-2018
140,7.854,17-11-2018
141,10.093,21-11-2018
142,9.693,29-11-2018
143,9.553,03-12-2018
144,9.836,11-12-2018
145,9.533,15-12-2018
146,9.003,23-12-2018
147,9.643,27-12-2018
148,9.473,04-01-2019
149,9.623,08-01-2019
150,9.566,16-01-2019
151,9.823,20-01-2019
152,9.495,28-01-2019
153,9.431,01-02-2019
154,9.473,09-02-2019
155,10.011,13-02-2019
156,9.369,21-02-2019
157,8.577,25-02-2019
158,8.404,05-03-2019
159,8.301,09-03-2019
160,8.004,17-03-2019
161,8.214,21-03-2019
162,7.595,29-03-2019
163,7.694,02-04-2019
164,8.266,10-04-2019
165,8.363,14-04-2019
166,8.315,22-04-2019
167,8.765,26-04-2019
168,7.518,04-05-2019
169,6.095,08-05-2019
170,7.380,16-05-2019
171,7.844,20-05-2019
172,6.846,28-05-2019
173,7.712,01-06-2019
174,7.623,09-06-2019
175,7.514,13-06-2019
176,6.545,21-06-2019
177,6.723,25-06-2019
178,8.081,07-07-2019
179,7.558,15-07-2019
180,7.644,19-07-2019
181,6.319,27-07-2019
182,6.265,31-07-2019
183,5.756,08-08-2019
184,7.592,12-08-2019
185,7.305,20-08-2019
186,6.135,01-09-2019
187,6.735,13-09-2019
188,6.285,17-09-2019
189,7.014,25-09-2019
190,6.731,29-09-2019
191,6.768,07-10-2019
192,6.585,19-10-2019
193,7.424,23-10-2019
194,9.273,31-10-2019
195,9.423,04-11-2019
196,9.453,10-11-2019
197,8.953,12-11-2019
198,9.533,16-11-2019
199,9.713,22-11-2019
200,8.893,24-11-2019
201,9.353,28-11-2019
202,9.633,04-12-2019
203,10.179,06-12-2019
204,9.473,10-12-2019
205,9.143,16-12-2019
206,9.441,18-12-2019
207,9.283,22-12-2019
208,9.828,28-12-2019
209,9.731,30-12-2019
210,9.403,03-01-2020
211,9.763,09-01-2020
212,9.653,11-01-2020
213,9.561,15-01-2020
214,9.263,21-01-2020
215,9.173,23-01-2020
216,9.569,27-01-2020
217,9.990,02-02-2020
218,9.512,04-02-2020
219,9.337,08-02-2020
220,9.378,14-02-2020
221,8.657,16-02-2020
222,8.514,20-02-2020
223,9.049,26-02-2020
224,8.875,28-02-2020
225,9.028,03-03-2020
226,8.337,09-03-2020
227,8.250,11-03-2020
228,8.421,15-03-2020
229,7.937,21-03-2020
230,7.606,27-03-2020
231,7.887,02-04-2020
232,7.268,04-04-2020
233,7.878,08-04-2020
234,6.995,14-04-2020
235,7.213,16-04-2020
236,7.953,26-04-2020
237,7.961,28-04-2020
238,8.034,02-05-2020
239,8.452,08-05-2020
240,7.734,10-05-2020
241,8.239,14-05-2020
242,6.627,22-05-2020
243,6.169,26-05-2020
244,6.235,01-06-2020
245,6.850,03-06-2020
246,7.498,13-06-2020
247,6.345,25-06-2020
248,6.651,01-07-2020
249,7.045,07-07-2020
250,6.341,09-07-2020
251,6.006,13-07-2020
252,7.433,19-07-2020
253,6.405,21-07-2020
254,6.355,25-07-2020
255,6.308,31-07-2020
256,6.415,06-08-2020
257,6.346,12-08-2020
258,6.155,14-08-2020
259,6.170,18-08-2020
260,6.972,24-08-2020
261,6.585,30-08-2020
262,8.204,05-09-2020
263,8.032,11-09-2020
264,7.216,17-09-2020
265,7.275,19-09-2020
266,7.634,23-09-2020
267,7.494,29-09-2020
268,7.414,01-10-2020
269,8.833,05-10-2020
270,9.373,11-10-2020
271,9.033,13-10-2020
272,9.213,17-10-2020
273,9.283,23-10-2020
274,9.403,25-10-2020
275,9.553,29-10-2020
276,8.823,31-10-2020
277,9.393,04-11-2020
278,8.993,06-11-2020
279,9.726,10-11-2020
280,8.903,12-11-2020
281,9.193,16-11-2020
282,9.173,18-11-2020
283,9.848,22-11-2020
284,9.981,30-11-2020
285,9.173,04-12-2020
286,9.149,10-12-2020
287,9.323,12-12-2020
288,8.903,16-12-2020
289,8.853,22-12-2020
290,9.093,24-12-2020
291,9.333,28-12-2020
292,8.953,03-01-2021
293,9.063,05-01-2021
294,8.684,09-01-2021
295,9.173,15-01-2021
296,9.088,17-01-2021
297,9.479,21-01-2021
298,9.593,27-01-2021
299,9.523,29-01-2021
300,9.643,02-02-2021
301,8.933,10-02-2021
302,9.705,14-02-2021
303,9.773,20-02-2021
304,9.767,22-02-2021
305,9.633,26-02-2021
306,9.273,04-03-2021
307,9.698,06-03-2021
308,9.375,10-03-2021
309,9.723,16-03-2021
310,9.897,18-03-2021
311,10.236,22-03-2021
312,8.825,28-03-2021
313,8.818,30-03-2021
314,8.403,03-04-2021
315,8.211,09-04-2021
316,8.044,11-04-2021
317,7.916,15-04-2021
318,7.275,21-04-2021
319,7.684,23-04-2021
320,7.937,27-04-2021
321,7.988,03-05-2021
322,7.804,05-05-2021
323,7.824,09-05-2021
324,8.113,15-05-2021
325,7.516,17-05-2021
326,7.714,27-05-2021
327,7.684,29-05-2021
328,7.714,02-06-2021
329,7.254,08-06-2021
330,7.311,10-06-2021
331,8.116,14-06-2021
332,7.325,20-06-2021
333,7.396,22-06-2021
334,7.245,26-06-2021
335,7.233,02-07-2021
336,7.142,04-07-2021
337,7.107,08-07-2021
338,6.635,14-07-2021
339,6.026,16-07-2021
340,7.223,20-07-2021
341,6.749,26-07-2021
342,6.605,28-07-2021
343,7.283,01-08-2021
344,6.617,07-08-2021
345,8.297,13-08-2021
346,6.533,21-08-2021
347,6.365,25-08-2021
348,7.054,31-08-2021
349,8.164,06-09-2021
350,8.104,12-09-2021
351,8.064,14-09-2021
