Key*,total,data
1,74.719,2015-02-22
2,54.055,2015-03-30
3,35.449,2015-05-17
4,37.706,2015-07-04
5,40.534,2015-07-28
6,40.942,2015-08-21
7,53.192,2015-09-14
8,64.748,2015-10-08
9,68.924,2015-11-01
10,58.048,2015-11-25
11,75.457,2015-12-19
12,74.989,2016-01-12
13,71.456,2016-02-05
14,68.759,2016-02-29
15,50.563,2016-03-24
16,65.316,2016-04-05
17,57.432,2016-04-17
18,47.541,2016-04-29
19,53.045,2016-05-11
20,40.944,2016-05-23
21,43.199,2016-06-04
22,48.417,2016-06-28
23,49.615,2016-07-10
24,52.405,2016-07-22
25,51.868,2016-08-03
26,53.697,2016-08-15
27,53.131,2016-08-27
28,55.213,2016-09-08
29,56.841,2016-09-20
30,63.383,2016-10-02
31,67.898,2016-10-14
32,67.269,2016-10-26
33,76.392,2016-11-07
34,74.789,2016-11-19
35,77.16,2016-12-13
36,76.653,2016-12-25
37,72.114,2017-01-06
38,73.878,2017-01-18
39,77.416,2017-01-30
40,76.838,2017-02-23
41,74.522,2017-03-07
42,74.5,2017-03-19
43,69.193,2017-03-31
44,71.007,2017-04-12
45,67.861,2017-04-24
46,69.293,2017-05-02
47,68.39,2017-05-06
48,68.649,2017-05-14
49,68.545,2017-05-18
50,69.852,2017-05-26
51,70.589,2017-05-30
52,68.39,2017-06-07
53,70.495,2017-06-11
54,70.196,2017-06-19
55,70.341,2017-06-23
56,70.436,2017-07-01
57,69.726,2017-07-05
58,72.285,2017-07-17
59,72.133,2017-07-29
60,74.628,2017-08-06
61,75.043,2017-08-10
62,77.097,2017-08-18
63,75.37,2017-08-22
64,76.618,2017-08-30
65,76.108,2017-09-03
66,78.632,2017-09-11
67,75.331,2017-09-15
68,76.513,2017-09-27
69,75.766,2017-10-05
70,76.521,2017-10-09
71,76.326,2017-10-21
72,76.202,2017-11-02
73,76.761,2017-11-14
74,75.189,2017-11-26
75,76.295,2017-12-08
76,75.729,2018-01-01
77,78.195,2018-02-06
78,72.706,2018-02-18
