Key*,total,data
1,24.898,2015-02-22
2,16.278,2015-03-30
3,6.888,2015-05-17
4,6.033,2015-07-04
5,7.502,2015-07-28
6,9.399,2015-08-21
7,12.805,2015-09-14
8,13.576,2015-10-08
9,13.696,2015-11-01
10,16.428,2015-11-25
11,17.427,2015-12-19
12,21.745,2016-01-12
13,15.839,2016-02-05
14,13.879,2016-02-29
15,13.231,2016-03-24
16,13.31,2016-04-05
17,12.345,2016-04-17
18,13.988,2016-04-29
19,7.401,2016-05-11
20,3.339,2016-05-23
21,4.2,2016-06-04
22,11.84,2016-06-28
23,13.757,2016-07-10
24,14.016,2016-07-22
25,14.109,2016-08-03
26,18.148,2016-08-15
27,19.981,2016-08-27
28,17.532,2016-09-08
29,19.041,2016-09-20
30,20.607,2016-10-02
31,20.175,2016-10-14
32,20.551,2016-10-26
33,21.332,2016-11-07
34,22.402,2016-11-19
35,21.173,2016-12-01
36,21.822,2016-12-13
37,23.996,2016-12-25
38,24.47,2017-01-06
39,25.912,2017-01-18
40,23.756,2017-01-30
41,22.968,2017-02-11
42,23.33,2017-02-23
43,23.996,2017-03-07
44,24.421,2017-03-19
45,23.208,2017-03-20
46,20.304,2017-03-31
47,22.537,2017-04-01
48,22.224,2017-04-12
49,23.147,2017-04-13
50,21.416,2017-04-24
51,21.273,2017-04-25
52,20.54,2017-05-06
53,17.25,2017-05-14
54,17.618,2017-05-18
55,19.081,2017-05-19
56,17.909,2017-05-30
57,19.769,2017-05-31
58,18.608,2017-06-11
59,19.317,2017-06-12
60,19.644,2017-06-23
61,20.261,2017-06-24
62,19.017,2017-07-01
63,19.48,2017-07-05
64,20.238,2017-07-06
65,18.488,2017-07-13
66,18.891,2017-07-17
67,19.452,2017-07-18
68,18.782,2017-07-25
69,19.356,2017-07-29
70,19.96,2017-07-30
71,19.746,2017-08-10
72,20.844,2017-08-11
73,20.328,2017-08-22
74,23.688,2017-08-23
75,24.245,2017-09-04
76,20.674,2017-09-11
77,22.017,2017-09-15
78,23.051,2017-09-16
79,20.598,2017-09-27
80,21.642,2017-09-28
81,22.27,2017-10-09
82,22.715,2017-10-10
83,22.092,2017-10-21
84,22.927,2017-10-22
85,22.382,2017-11-02
86,22.404,2017-11-03
87,22.027,2017-11-14
88,22.35,2017-11-15
89,21.242,2017-11-26
90,22.859,2017-11-27
91,23.605,2017-12-08
92,23.583,2017-12-09
93,24.597,2017-12-21
94,23.246,2018-01-01
95,24.298,2018-01-02
96,23.748,2018-01-13
97,25.456,2018-01-14
98,24.093,2018-01-25
99,23.857,2018-01-26
100,25.074,2018-02-06
101,25.892,2018-02-07
102,22.703,2018-02-14
103,25.205,2018-02-18
104,25.175,2018-02-19
105,24.89,2018-03-02
106,24.575,2018-03-03
107,24.193,2018-03-14
108,25.054,2018-03-15
109,22.757,2018-03-26
110,24.872,2018-03-27
111,21.404,2018-04-07
112,24.078,2018-04-08
113,24.066,2018-04-19
114,23.706,2018-04-20
115,20.123,2018-05-01
116,21.516,2018-05-02
117,8.126,2018-05-21
118,8.402,2018-05-25
119,5.381,2018-06-02
120,7.219,2018-06-06
121,9.171,2018-06-07
122,5.935,2018-06-14
123,7.687,2018-06-18
124,7.477,2018-06-19
125,5.52,2018-06-26
126,6.768,2018-06-30
127,5.151,2018-07-08
128,6.708,2018-07-12
129,6.143,2018-07-13
130,6.918,2018-07-20
131,7.586,2018-07-24
132,7.851,2018-08-01
133,9.266,2018-08-05
134,10.439,2018-08-17
135,10.934,2018-08-25
136,11.649,2018-08-29
137,11.717,2018-09-06
138,13.811,2018-09-10
139,14.774,2018-09-18
140,15.378,2018-09-22
141,15.85,2018-09-23
142,15.946,2018-09-30
143,16.821,2018-10-04
144,18.262,2018-10-16
145,17.901,2018-10-17
146,18.302,2018-10-28
147,18.338,2018-10-29
148,17.49,2018-11-09
149,18.505,2018-11-10
150,16.853,2018-11-17
151,17.679,2018-11-21
152,19.187,2018-12-03
153,19.341,2018-12-04
154,19.759,2018-12-16
155,16.565,2018-12-23
156,18.136,2018-12-27
157,19.425,2018-12-28
158,17.979,2019-01-08
159,18.699,2019-01-09
160,18.3,2019-01-20
161,19.556,2019-01-21
162,20.924,2019-02-01
163,21.531,2019-02-02
164,17.964,2019-02-13
165,19.104,2019-02-14
166,16.56,2019-02-21
167,17.369,2019-02-25
168,18.471,2019-03-10
169,18.177,2019-03-22
170,17.155,2019-04-03
171,9.814,2019-04-10
172,9.229,2019-04-15
173,10.583,2019-04-22
174,7.922,2019-05-04
175,9.911,2019-05-08
176,9.001,2019-05-09
177,6.977,2019-05-16
178,11.067,2019-05-20
179,7.832,2019-05-28
180,8.933,2019-06-01
181,8.959,2019-06-09
182,9.519,2019-06-13
183,8.196,2019-06-21
184,9.424,2019-06-25
185,8.408,2019-07-03
186,8.896,2019-07-07
187,7.138,2019-07-15
188,9.039,2019-07-19
189,7.806,2019-07-27
190,8.076,2019-07-31
191,9.154,2019-08-01
192,12.63,2019-08-08
193,16.22,2019-08-12
194,14.565,2019-08-20
195,14.688,2019-08-24
196,14.375,2019-09-01
197,14.906,2019-09-05
198,15.034,2019-09-13
199,16.593,2019-09-17
200,19.232,2019-09-29
201,19.564,2019-09-30
202,14.69,2019-10-07
203,19.872,2019-10-11
204,19.895,2019-10-12
205,15.638,2019-10-19
206,18.238,2019-10-23
207,19.785,2019-10-24
208,18.438,2019-10-31
209,19.334,2019-11-04
210,20.18,2019-11-05
211,19.137,2019-11-12
212,20.835,2019-11-16
213,20.905,2019-11-17
214,20.726,2019-11-22
215,21.03,2019-11-28
216,20.708,2019-11-29
217,22.435,2019-12-04
218,20.658,2019-12-10
219,21.695,2019-12-11
220,23.281,2019-12-16
221,20.765,2019-12-22
222,22.316,2019-12-23
223,21.884,2019-12-28
224,20.251,2020-01-03
225,21.605,2020-01-04
226,21.351,2020-01-09
227,21.593,2020-01-15
228,22.206,2020-01-16
229,21.943,2020-01-21
230,21.685,2020-01-27
231,21.726,2020-01-28
232,21.805,2020-02-02
233,19.562,2020-02-08
234,21.766,2020-02-09
235,17.219,2020-02-14
236,18.307,2020-02-20
237,18.428,2020-02-21
238,19.229,2020-02-26
239,18.718,2020-03-03
240,19.813,2020-03-04
241,17.267,2020-03-09
242,17.577,2020-03-15
243,18.498,2020-03-16
244,18.53,2020-03-21
245,18.934,2020-03-27
246,20.045,2020-03-28
247,19.247,2020-04-02
248,15.254,2020-04-08
249,19.498,2020-04-09
250,16.352,2020-04-14
251,16.35,2020-04-20
252,18.482,2020-04-21
253,16.643,2020-04-26
254,14.341,2020-05-02
255,12.479,2020-05-08
256,10.665,2020-05-10
257,11.531,2020-05-14
258,8.973,2020-05-20
259,7.592,2020-05-22
260,7.644,2020-05-26
261,8.614,2020-06-01
262,7.285,2020-06-03
263,9.346,2020-06-13
264,8.049,2020-06-15
265,9.417,2020-06-20
266,8.12,2020-06-25
267,6.529,2020-06-27
268,8.261,2020-07-01
269,8.636,2020-07-07
270,9.71,2020-07-09
271,12.144,2020-07-13
272,11.939,2020-07-19
273,12.034,2020-07-21
274,12.68,2020-07-25
275,14.784,2020-07-26
276,13.416,2020-07-31
277,15.091,2020-08-06
278,13.791,2020-08-07
279,16.219,2020-08-12
280,13.917,2020-08-14
281,15.437,2020-08-18
282,15.82,2020-08-19
283,15.255,2020-08-24
284,15.014,2020-08-26
285,15.667,2020-08-30
286,14.465,2020-08-31
287,14.884,2020-09-05
288,14.77,2020-09-07
289,15.014,2020-09-11
290,16.76,2020-09-12
291,16.368,2020-09-17
292,14.644,2020-09-19
293,15.794,2020-09-23
294,17.079,2020-09-24
295,17.49,2020-09-29
296,15.874,2020-10-01
297,16.619,2020-10-05
298,16.988,2020-10-06
299,15.695,2020-10-11
300,15.792,2020-10-13
301,16.4,2020-10-17
302,17.313,2020-10-18
303,17.356,2020-10-23
304,16.771,2020-10-25
305,16.531,2020-10-29
306,17.547,2020-10-30
307,17.196,2020-11-04
308,17.581,2020-11-06
309,17.609,2020-11-10
310,18.252,2020-11-11
311,17.655,2020-11-16
312,16.601,2020-11-18
313,18.39,2020-11-22
314,16.691,2020-11-23
315,17.28,2020-11-28
316,19.56,2020-12-04
317,20.241,2020-12-05
318,20.239,2020-12-10
319,19.084,2020-12-16
320,20.756,2020-12-17
321,18.718,2020-12-22
322,20.073,2020-12-28
