Key*,total,data
1,5.758825591,2018-12-27
2,5.512287595,2019-02-25
3,5.515264261,2019-03-05
4,2.766799399,2019-05-04
5,5.394854205,2019-05-20
6,5.823259974,2019-06-21
7,5.866151691,2019-07-07
8,5.57883732,2019-08-12
9,4.978198672,2019-09-05
10,6.001838088,2019-09-13
11,6.133881657,2019-10-07
12,6.518652203,2020-02-04
13,6.701772828,2020-02-14
14,6.926493062,2020-02-20
15,7.028727666,2020-02-26
16,6.79190377,2020-03-03
17,5.020268842,2020-04-08
18,5.743001096,2020-04-14
19,4.867270059,2020-04-20
20,2.397658143,2020-05-22
21,2.083590038,2020-05-26
22,6.302705582,2020-09-07
23,6.496481755,2020-09-17
24,6.361657285,2020-10-05
25,7.051838984,2020-11-12
26,6.47760098,2020-12-04
27,6.936520553,2021-01-21
28,6.333257978,2021-02-26
29,7.025437221,2021-03-10
30,7.244400053,2021-03-16
31,5.684833318,2021-04-15
32,3.146359206,2021-05-05
33,5.583537457,2021-07-16
34,6.698129782,2021-08-31
35,6.068074698,2021-09-06
36,6.068074698,2021-09-07
37,6.225970613,2021-09-18
38,6.225970613,2021-09-19
39,6.564402424,2021-09-24
40,6.262751837,2021-09-26
41,6.355585153,2021-09-30
42,6.355585153,2021-10-01
43,6.576897405,2021-10-06
44,6.189502409,2021-10-12
45,6.189502409,2021-10-13
46,6.189502409,2021-10-18
47,6.486570354,2021-10-24
48,6.486570354,2021-10-25
49,6.586219686,2021-11-17
50,6.586219686,2021-11-18
51,6.439017612,2021-11-29
52,6.439017612,2021-11-30
