Key*,total,data
1,167.873,2015-02-18
2,187.385,2015-02-22
3,178.593,2015-03-30
4,162.511,2015-05-17
5,158.265,2015-07-04
6,155.947,2015-07-28
7,153.412,2015-08-21
8,142.434,2015-09-14
9,137.893,2015-09-30
10,147.145,2015-10-08
11,146.426,2015-11-01
12,165.414,2015-11-25
13,180.331,2015-12-19
14,196.527,2016-01-12
15,195.812,2016-02-05
16,206.949,2016-02-29
17,191.825,2016-03-24
18,225.978,2016-04-05
19,235.804,2016-04-17
20,242.629,2016-05-11
21,177.98,2016-06-04
22,159.44,2016-06-28
23,155.618,2016-07-10
24,163.095,2016-07-22
25,159.599,2016-08-03
26,160.171,2016-08-15
27,161.868,2016-08-27
28,159.859,2016-09-08
29,157.44,2016-09-20
30,163.168,2016-10-02
31,158.782,2016-10-14
32,159.397,2016-10-26
33,163.762,2016-11-07
34,166.903,2016-11-19
35,174.827,2016-12-01
36,161.446,2016-12-13
37,172.819,2016-12-25
38,181.652,2017-01-06
39,182.739,2017-01-18
40,195.956,2017-01-30
41,208.304,2017-02-11
42,197.963,2017-02-23
43,212.288,2017-03-07
44,198.147,2017-04-01
45,183.267,2017-04-12
46,166.907,2017-04-20
47,163.539,2017-05-02
48,181.909,2017-05-06
49,184.894,2017-05-07
50,176.589,2017-05-14
51,167.343,2017-05-18
52,176.173,2017-05-19
53,173.904,2017-05-26
54,166.697,2017-05-30
55,184.038,2017-05-31
56,163.966,2017-06-11
57,175.824,2017-06-12
58,161.032,2017-06-19
59,171.591,2017-06-23
60,174.072,2017-06-24
61,161.563,2017-07-01
62,172.938,2017-07-05
63,177.778,2017-07-06
64,188.128,2017-07-13
65,172.415,2017-07-17
66,178.805,2017-07-18
67,166.388,2017-07-25
68,177.178,2017-07-29
69,177.023,2017-07-30
70,181.125,2017-08-10
71,188.679,2017-08-11
72,176.086,2017-08-22
73,184.126,2017-08-23
74,164.563,2017-08-30
75,174.342,2017-09-03
76,183.909,2017-09-04
77,169.009,2017-09-11
78,174.221,2017-09-15
79,177.212,2017-09-16
80,158.074,2017-09-23
81,169.459,2017-09-27
82,180.451,2017-09-28
83,173.193,2017-10-05
84,171.492,2017-10-09
85,184.131,2017-10-10
86,170.513,2017-10-21
87,181.845,2017-10-22
88,174.194,2017-11-02
89,184.058,2017-11-03
90,175.877,2017-11-14
91,187.539,2017-11-15
92,174.986,2017-11-26
93,195.13,2017-11-27
94,207.457,2017-12-09
95,205.25,2017-12-21
96,220.252,2018-01-02
97,229.551,2018-01-14
98,231.519,2018-01-26
99,245.476,2018-02-07
100,246.311,2018-02-19
101,254.806,2018-03-03
102,234.922,2018-03-14
103,249.89,2018-03-15
104,259.342,2018-03-27
105,265.457,2018-04-08
106,275.041,2018-04-20
107,243.841,2018-05-02
108,238.748,2018-05-14
109,233.105,2018-05-26
110,185.506,2018-06-06
111,184.483,2018-06-18
112,179.243,2018-06-26
113,184.37,2018-06-30
114,197.185,2018-07-01
115,189.181,2018-07-12
116,190.213,2018-07-13
117,180.829,2018-07-24
118,186.27,2018-08-05
119,188.612,2018-08-17
120,178.285,2018-08-25
121,184.346,2018-08-29
122,185.793,2018-08-30
123,182.334,2018-09-10
124,181.439,2018-09-18
125,182.685,2018-09-22
126,178.096,2018-10-04
127,179.453,2018-10-16
128,188.047,2018-10-17
129,178.58,2018-10-24
130,185.456,2018-10-28
131,201.277,2018-10-29
132,201.961,2018-11-10
133,202.841,2018-11-22
134,206.759,2018-12-04
135,218.289,2018-12-16
136,226.61,2018-12-28
137,222.539,2019-01-09
138,226.047,2019-01-21
139,230.093,2019-02-02
140,240.07,2019-02-14
141,211.505,2019-02-25
142,222.638,2019-02-26
143,223.736,2019-03-10
144,206.56,2019-04-03
145,171.907,2019-04-15
146,184.953,2019-04-27
147,98.55,2019-05-04
148,97.851,2019-05-08
149,117.132,2019-05-20
150,128.291,2019-06-01
151,97.836,2019-06-09
152,106.529,2019-06-13
153,101.848,2019-06-21
154,133.375,2019-07-03
155,143.585,2019-07-08
156,115.419,2019-07-15
157,87.387,2019-07-19
158,109.554,2019-07-20
159,100.235,2019-07-27
160,130.623,2019-07-31
161,142.504,2019-08-01
162,138.832,2019-08-08
163,103.023,2019-08-20
164,112.295,2019-08-24
165,118.539,2019-08-25
166,132.11,2019-09-01
167,146.895,2019-09-13
168,138.595,2019-09-29
169,143.078,2019-09-30
170,140.364,2019-10-12
171,130.349,2019-10-19
172,144.788,2019-11-10
173,154.246,2019-11-28
174,153.98,2019-12-04
175,141.962,2019-12-10
176,130.142,2019-12-16
177,131.957,2019-12-22
178,135.892,2019-12-28
179,129.259,2020-01-03
180,134.5,2020-01-09
181,132.676,2020-01-11
182,142.649,2020-01-15
183,144.867,2020-01-16
184,129.807,2020-01-21
185,121.688,2020-01-28
186,112.652,2020-02-04
187,116.782,2020-02-28
188,118.358,2020-03-21
189,111.501,2020-03-27
190,121.498,2020-04-02
191,94.201,2020-04-28
192,91.643,2020-05-02
193,75.452,2020-05-08
194,69.027,2020-05-20
195,67.21,2020-05-26
196,76.062,2020-06-01
197,66.837,2020-06-03
198,78.794,2020-06-13
199,68.882,2020-07-02
200,78.166,2020-07-09
201,81.524,2020-07-19
202,79.231,2020-07-21
203,76.81,2020-07-25
204,106.693,2020-07-26
205,110.499,2020-07-31
206,99.018,2020-08-06
207,104.361,2020-08-12
208,104.332,2020-08-14
209,106.471,2020-08-24
210,84.836,2020-08-30
211,85.121,2020-09-05
212,85.516,2020-09-07
213,94.099,2020-09-12
214,90.818,2020-09-17
215,97.194,2020-09-24
216,88.915,2020-10-05
217,100.198,2020-10-13
218,105.743,2020-10-29
219,104.939,2020-10-31
220,110.717,2020-11-04
221,89.169,2020-11-18
222,117.911,2020-11-28
223,112.454,2020-12-24
224,109.335,2020-12-28
225,121.42,2021-01-05
226,111.791,2021-01-15
227,113.166,2021-01-17
228,123.96,2021-02-02
229,94.317,2021-02-10
230,114.012,2021-02-22
231,119.149,2021-02-26
232,115.845,2021-03-04
233,99.718,2021-03-06
234,79.674,2021-03-28
235,76.729,2021-04-09
236,64.756,2021-04-11
237,62.411,2021-04-23
238,59.163,2021-05-03
239,68.423,2021-05-05
240,68.763,2021-05-09
241,50.616,2021-05-29
242,53.498,2021-06-10
243,61.701,2021-06-22
244,64.42,2021-06-26
245,62.825,2021-07-02
246,70.217,2021-07-04
247,53.721,2021-07-08
248,38.985,2021-07-14
249,41.649,2021-07-16
250,68.699,2021-07-20
251,61.182,2021-07-21
252,77.158,2021-07-26
253,70.289,2021-07-28
254,75.781,2021-08-01
255,62.226,2021-08-07
256,69.733,2021-08-09
257,45.917,2021-08-13
258,60.253,2021-08-14
259,60.595,2021-08-21
260,68.075,2021-08-25
261,72.187,2021-08-31
262,63.742,2021-09-02
263,64.196,2021-09-06
264,88.909,2021-09-07
265,89.543,2021-09-12
266,137.349,2021-10-13
267,142.717,2021-10-25
268,163.279,2021-11-18
269,153.553,2021-11-30
270,172.81,2021-12-12
271,161.222,2021-12-24
272,161.235,2022-01-05
273,184.646,2022-01-17
274,91.40974405,2022-01-24
275,165.2548314,2022-01-28
276,165.2548314,2022-01-29
277,266.3282553,2022-02-05
278,166.6724704,2022-02-09
279,166.6724704,2022-02-10
280,104.4968508,2022-02-17
281,195.9087854,2022-02-21
282,98.07777954,2022-03-01
283,108.7814518,2022-03-05
284,108.7814518,2022-03-06
