Key*,total,data
1,1205.22,02/07/2018
2,1159.64,02/14/2018
3,808.98,05/02/2018
4,932.58,05/21/2018
5,1011.66,06/30/2018
6,1117.87,08/29/2018
7,1300.36,11/17/2018
8,1300.36,11/17/2018
9,1313.60,11/22/2018
10,1299.74,12/28/2018
11,1174.376745,01/04/2019
12,1229.336745,01/08/2019
13,1231.477121,01/09/2019
14,1032.696614,01/16/2019
15,1185.390222,01/20/2019
16,1136.757186,01/21/2019
17,163.9964015,01/28/2019
18,1106.959806,02/01/2019
19,1113.652544,02/02/2019
20,953.0469432,02/09/2019
21,1025.18,02/13/2019
22,1030.380195,02/13/2019
23,1054.419101,02/14/2019
24,881.1119812,02/21/2019
25,934.8944056,02/25/2019
26,946.1102988,02/26/2019
27,832.3841544,03/05/2019
28,802.0299303,03/09/2019
29,855.773579,03/10/2019
30,61.63166423,03/17/2019
31,801.6969274,03/21/2019
32,990.86,03/21/2019
33,759.2829467,03/22/2019
34,460.6137203,03/29/2019
35,588.9564859,04/02/2019
36,744.1178374,04/03/2019
37,457.4293714,04/10/2019
38,370.0169959,04/14/2019
39,616.5792221,04/15/2019
40,397.0550149,04/22/2019
41,547.8455322,04/26/2019
42,702.3670809,04/27/2019
43,369.4281401,05/04/2019
44,264.3801844,05/08/2019
45,298.3977986,05/09/2019
46,580.98,05/09/2019
47,369.0192577,05/16/2019
48,529.8506326,05/20/2019
49,606.6051308,05/21/2019
50,390.637821,05/28/2019
51,614.0499979,06/01/2019
52,678.0412564,06/02/2019
53,577.9195552,06/09/2019
54,629.0315096,06/13/2019
55,667.4196893,06/14/2019
56,618.6816142,06/21/2019
57,620.0589563,06/25/2019
58,657.6963836,06/26/2019
59,618.0131865,07/03/2019
60,665.991102,07/07/2019
61,680.6066174,07/08/2019
62,586.5929786,07/15/2019
63,649.5825519,07/19/2019
64,654.8711098,07/20/2019
65,597.9213989,07/27/2019
66,593.8690646,07/31/2019
67,603.8494625,08/01/2019
68,1024.189671,08/08/2019
69,1069.29,08/08/2019
70,1100.583989,08/12/2019
71,1095.09494,08/13/2019
72,1071.689346,08/20/2019
73,1098.318439,08/24/2019
74,1110.997099,08/25/2019
75,1130.83,08/25/2019
76,1075.35252,09/01/2019
77,1102.600393,09/05/2019
78,1115.499093,09/06/2019
79,1160.221502,09/13/2019
80,1282.36,09/13/2019
81,1187.270039,09/17/2019
82,1165.072071,09/18/2019
83,546.7986087,09/25/2019
84,1273.297595,09/29/2019
85,1283.81418,09/30/2019
86,1125.939159,10/07/2019
87,1291.353703,10/11/2019
88,1292.688563,10/12/2019
89,1274.905398,10/19/2019
90,1296.614969,10/23/2019
91,1289.763644,10/24/2019
92,1274.07639,10/31/2019
93,1289.958031,11/04/2019
94,1274.410478,11/05/2019
95,1256.010736,11/10/2019
96,1283.997661,11/12/2019
97,1289.133591,11/16/2019
98,1289.544042,11/17/2019
99,1301.477335,11/22/2019
100,1097.844618,11/24/2019
101,1305.911761,11/28/2019
102,1308.694435,11/29/2019
103,1316.761444,12/04/2019
104,17.65639067,12/06/2019
105,1314.502577,12/10/2019
106,1316.054638,12/11/2019
107,1315.696347,12/16/2019
108,1105.370754,12/18/2019
109,1306.242594,12/22/2019
110,1301.293386,12/23/2019
111,1298.549386,12/28/2019
112,1149.48572,12/30/2019
113,1281.452673,01/03/2020
114,1281.108805,01/04/2020
115,1262.530955,01/09/2020
116,1248.384717,01/11/2020
117,1228.816893,01/15/2020
118,1223.919291,01/16/2020
119,1190.266511,01/21/2020
120,1010.328417,01/23/2020
121,1166.695895,01/27/2020
122,1169.334885,01/28/2020
123,1132.422276,02/02/2020
124,587.673552,02/04/2020
125,1086.865706,02/08/2020
126,1091.246507,02/09/2020
127,1046.193371,02/14/2020
128,248.1752335,02/16/2020
129,988.3487806,02/20/2020
130,983.6059662,02/21/2020
131,930.082164,02/26/2020
132,347.7834467,02/28/2020
133,860.3266646,03/03/2020
134,882.7180111,03/04/2020
135,840.2769781,03/09/2020
136,245.0604938,03/11/2020
137,858.8381267,03/15/2020
138,920.7304189,03/16/2020
139,848.8500911,03/21/2020
140,581.2927676,03/23/2020
141,784.9526633,03/27/2020
142,855.2946706,03/28/2020
143,694.3854126,04/02/2020
144,62.80937407,04/04/2020
145,642.2531855,04/08/2020
146,593.8874156,04/09/2020
147,562.6931712,04/14/2020
148,150.180747,04/16/2020
149,413.6333456,04/20/2020
150,621.8929834,04/21/2020
151,558.0490231,04/26/2020
152,171.7699214,04/28/2020
153,510.5286517,05/02/2020
154,680.496991,05/03/2020
155,525.8877826,05/08/2020
156,329.3456095,05/10/2020
157,471.0604696,05/14/2020
158,633.9215495,05/15/2020
159,221.2733768,05/20/2020
160,168.9244435,05/22/2020
161,160.2706832,05/26/2020
162,278.5418893,05/27/2020
163,268.4024202,06/01/2020
164,235.7354269,06/03/2020
165,566.2351076,06/08/2020
166,397.9036442,06/13/2020
167,202.6791585,06/15/2020
168,471.8481872,06/20/2020
169,280.3195051,06/25/2020
170,275.1895057,06/27/2020
171,299.522648,07/01/2020
172,345.1470062,07/02/2020
173,426.9283703,07/07/2020
174,413.4142809,07/09/2020
175,386.6854687,07/13/2020
176,488.1899231,07/14/2020
177,309.962594,07/19/2020
178,174.9226339,07/21/2020
179,162.2668419,07/25/2020
180,284.3615872,07/26/2020
181,488.6303768,07/31/2020
182,469.5371885,08/02/2020
183,562.0198468,08/06/2020
184,565.655672,08/07/2020
185,591.9525818,08/12/2020
186,589.0382669,08/14/2020
187,623.7417271,08/18/2020
188,558.4378393,08/19/2020
189,713.0010635,08/24/2020
190,685.593442,08/26/2020
191,698.7581394,08/30/2020
192,700.5523313,08/31/2020
193,718.1312757,09/05/2020
194,712.0830881,09/07/2020
195,719.5286108,09/11/2020
196,734.1739558,09/12/2020
197,748.9826123,09/17/2020
198,899.0570948,09/19/2020
199,981.8897303,09/23/2020
200,998.303585,09/24/2020
201,1155.919618,09/29/2020
202,1144.512027,10/01/2020
