Key*,total,data
1,8.969,22-02-2015
2,6.674,30-03-2015
3,5.124,17-05-2015
4,4.794,04-07-2015
5,6.642,28-07-2015
6,6.092,21-08-2015
7,7.780,14-09-2015
8,7.740,08-10-2015
9,7.720,01-11-2015
10,8.240,25-11-2015
11,7.810,19-12-2015
12,8.639,12-01-2016
13,8.080,05-02-2016
14,7.759,29-02-2016
15,7.042,24-03-2016
16,6.897,05-04-2016
17,6.440,17-04-2016
18,6.240,29-04-2016
19,5.454,11-05-2016
20,3.240,23-05-2016
21,4.310,04-06-2016
22,3.446,28-06-2016
23,3.406,10-07-2016
24,3.780,22-07-2016
25,2.996,03-08-2016
26,4.235,15-08-2016
27,3.869,27-08-2016
28,2.597,08-09-2016
29,4.135,20-09-2016
30,5.623,02-10-2016
31,5.993,14-10-2016
32,5.973,26-10-2016
33,8.559,07-11-2016
34,8.370,19-11-2016
35,8.489,01-12-2016
36,9.099,13-12-2016
37,9.089,25-12-2016
38,9.099,06-01-2017
39,8.789,18-01-2017
40,9.158,30-01-2017
41,8.659,11-02-2017
42,9.039,23-02-2017
43,9.169,07-03-2017
44,9.114,19-03-2017
45,8.280,31-03-2017
46,9.267,12-04-2017
47,8.289,20-04-2017
48,9.269,24-04-2017
49,9.227,02-05-2017
50,8.350,06-05-2017
51,8.020,14-05-2017
52,7.740,18-05-2017
53,7.950,30-05-2017
54,8.494,07-06-2017
55,9.109,19-06-2017
56,8.110,23-06-2017
57,7.661,01-07-2017
58,7.181,05-07-2017
59,6.522,13-07-2017
60,5.813,17-07-2017
61,6.562,25-07-2017
62,6.082,29-07-2017
63,7.329,06-08-2017
64,7.361,10-08-2017
65,6.472,18-08-2017
66,7.471,22-08-2017
67,6.702,30-08-2017
68,7.905,03-09-2017
69,7.893,11-09-2017
70,7.331,15-09-2017
71,7.061,23-09-2017
72,7.451,27-09-2017
73,7.621,05-10-2017
74,7.651,09-10-2017
75,7.531,21-10-2017
76,7.051,29-10-2017
77,7.501,02-11-2017
78,7.021,10-11-2017
