Key*,total,data
1,142.147004,2015-02-22
2,137.3996617,2015-03-30
3,108.2383786,2015-05-17
4,89.32795238,2015-07-04
5,74.92432495,2015-07-28
6,83.47634695,2015-08-21
7,95.55811016,2015-09-14
8,109.2318376,2015-10-08
9,118.9671376,2015-11-01
10,134.1946274,2015-11-25
11,123.6952568,2015-12-19
12,133.4200941,2016-01-12
13,128.5544323,2016-02-05
14,131.2050274,2016-02-29
15,138.7508235,2016-03-24
16,104.1609145,2016-04-05
17,79.40277831,2016-04-17
18,73.35087575,2016-04-29
19,76.14939073,2016-05-11
20,53.48789754,2016-05-23
21,52.18911074,2016-06-04
22,78.04261001,2016-06-28
23,81.35070882,2016-07-10
24,67.82942343,2016-07-22
25,80.17635479,2016-08-03
26,114.6583457,2016-08-15
27,70.41032865,2016-08-27
28,94.77145579,2016-09-08
29,79.5324645,2016-09-20
30,84.5932258,2016-10-02
31,86.13449602,2016-10-14
32,115.5902459,2016-10-26
33,156.587853,2016-11-07
34,161.8792282,2016-11-19
35,165.6468176,2016-12-01
36,162.0924758,2016-12-13
37,169.9683663,2016-12-25
38,171.4785561,2017-01-06
39,169.931212,2017-01-18
40,169.9724111,2017-02-23
41,169.6925322,2017-03-07
42,162.6790768,2017-03-27
43,170.1288743,2017-03-31
44,151.1343859,2017-04-08
45,164.8800635,2017-04-12
46,162.2985598,2017-04-20
47,163.7313984,2017-04-24
48,136.2892133,2017-05-02
49,170.2314423,2017-05-06
50,156.4543141,2017-05-14
51,167.1973063,2017-05-18
52,167.2821596,2017-05-30
53,154.4042754,2017-06-07
54,176.9493572,2018-02-02
55,173.275835,2018-02-06
56,174.3748441,2018-02-14
57,172.6196698,2018-02-18
58,174.3151191,2018-02-26
59,164.1020926,2018-03-02
60,174.1715164,2018-03-10
61,3.438030683,2018-03-14
62,171.7488815,2018-03-22
63,169.1639904,2018-03-26
64,168.9908415,2018-04-03
65,163.94565,2018-04-07
66,148.8247365,2018-04-15
67,160.6080618,2018-04-19
68,136.9449854,2018-04-27
69,157.8975171,2018-05-01
70,137.9923755,2018-05-09
71,157.1114688,2018-05-13
72,132.9066496,2018-05-21
73,151.3917275,2018-05-25
74,143.3971443,2018-06-02
75,147.827067,2018-06-06
76,50.63826156,2018-06-14
77,142.3062884,2018-06-18
78,124.6937183,2018-06-26
79,128.0738868,2018-06-30
80,116.9545441,2018-07-08
81,133.1495199,2018-07-12
82,72.495469,2018-07-20
83,135.2980697,2018-07-24
84,104.4416924,2018-08-01
85,114.3408682,2018-08-05
86,117.1866008,2018-08-17
87,47.53868323,2018-08-25
88,121.4140329,2018-08-29
89,72.72327972,2018-09-06
90,92.45241963,2018-09-10
91,84.0369319,2018-09-22
92,4.6773311,2018-09-30
93,90.04138415,2018-10-04
94,79.31700472,2018-10-12
95,88.72357231,2018-10-16
96,69.65208069,2018-10-24
97,94.60362303,2018-10-28
98,124.2506292,2018-11-05
99,91.70525815,2018-11-09
100,68.38088744,2018-11-17
101,175.8672291,2018-12-23
102,180.1049583,2018-12-27
103,180.5345829,2019-01-04
104,180.1748411,2019-01-08
105,169.8375581,2019-01-16
106,180.5183423,2019-01-20
107,183.0953534,2019-01-28
108,180.1418925,2019-02-01
109,167.8270644,2019-02-09
110,179.6330519,2019-02-13
111,171.3956249,2019-02-21
112,178.527378,2019-02-25
113,129.216737,2019-03-05
114,177.5350855,2019-03-09
115,178.2149644,2019-03-17
116,174.7839377,2019-03-21
117,160.0774739,2019-03-29
118,172.081774,2019-04-02
119,105.8795422,2019-04-10
120,169.0287964,2019-04-14
121,121.95619,2019-04-22
122,167.9213337,2019-04-26
123,154.2874473,2019-05-04
124,166.4247861,2019-05-08
125,157.7084914,2019-05-16
126,161.2817587,2019-05-20
127,155.4337081,2019-05-28
128,162.8944238,2019-06-01
129,116.3429207,2019-06-09
130,161.2955443,2019-06-13
131,76.30713063,2019-06-21
132,159.6185606,2019-06-25
133,159.8308289,2019-07-03
134,151.4114029,2019-07-07
135,59.82124104,2019-07-15
