Key*,total,data
1,142.147004,2015-02-22
2,137.3996617,2015-03-30
3,134.1946274,2015-11-25
4,133.4200941,2016-01-12
5,128.5544323,2016-02-05
6,131.2050274,2016-02-29
7,156.587853,2016-11-07
8,161.8792282,2016-11-19
9,165.6468176,2016-12-01
10,162.0924758,2016-12-13
11,169.9683663,2016-12-25
12,171.4785561,2017-01-06
13,169.931212,2017-01-18
14,169.9724111,2017-02-23
15,169.6925322,2017-03-07
16,170.1288743,2017-03-31
17,164.8800635,2017-04-12
18,162.2985598,2017-04-20
19,163.7313984,2017-04-24
20,170.2314423,2017-05-06
21,167.1973063,2017-05-18
22,167.2821596,2017-05-30
23,176.9493572,2018-02-02
24,173.275835,2018-02-06
25,174.3748441,2018-02-14
26,172.6196698,2018-02-18
27,174.3151191,2018-02-26
28,174.1715164,2018-03-10
29,171.7488815,2018-03-22
30,169.1639904,2018-03-26
31,168.9908415,2018-04-03
32,163.94565,2018-04-07
33,160.6080618,2018-04-19
34,157.8975171,2018-05-01
35,157.1114688,2018-05-13
36,151.3917275,2018-05-25
37,147.827067,2018-06-06
38,175.8672291,2018-12-23
39,180.1049583,2018-12-27
40,180.5345829,2019-01-04
41,180.1748411,2019-01-08
42,169.8375581,2019-01-16
43,180.5183423,2019-01-20
44,183.0953534,2019-01-28
45,180.1418925,2019-02-01
46,167.8270644,2019-02-09
47,179.6330519,2019-02-13
48,171.3956249,2019-02-21
49,178.527378,2019-02-25
50,177.5350855,2019-03-09
51,178.2149644,2019-03-17
52,174.7839377,2019-03-21
53,160.0774739,2019-03-29
54,172.081774,2019-04-02
55,169.0287964,2019-04-14
56,167.9213337,2019-04-26
57,154.2874473,2019-05-04
58,166.4247861,2019-05-08
59,157.7084914,2019-05-16
60,161.2817587,2019-05-20
61,155.4337081,2019-05-28
62,162.8944238,2019-06-01
63,161.2955443,2019-06-13
64,159.6185606,2019-06-25
65,159.8308289,2019-07-03
66,151.4114029,2019-07-07
67,153.5559716,2019-08-12
68,150.2225731,2019-09-05
69,145.3312712,2019-09-17
70,161.0548294,2019-09-25
71,159.0251124,2019-09-29
72,156.8586797,2019-10-07
73,159.9844829,2019-10-11
74,155.9538126,2019-10-19
75,154.1505303,2019-10-23
76,138.2877699,2019-10-31
77,149.1934155,2019-11-04
78,146.9442163,2019-11-10
79,150.6587239,2019-11-16
80,153.8444711,2019-11-22
81,164.8950832,2019-11-24
82,154.8187488,2019-11-28
83,152.4642017,2019-12-04
84,161.8835013,2019-12-06
85,149.990159,2019-12-10
86,146.6778772,2019-12-16
87,149.6538404,2019-12-18
88,142.536611,2019-12-22
89,142.5399543,2020-10-17
90,148.1492884,2020-10-23
91,141.9629055,2020-10-25
92,150.6226284,2020-10-29
93,145.9049084,2020-11-04
94,148.6653328,2020-11-06
95,153.2861793,2020-11-10
96,158.9833336,2020-11-12
97,159.4165042,2020-11-16
98,163.7931964,2020-11-22
99,153.7690297,2020-11-28
100,163.3515351,2020-11-30
101,176.3628424,2020-12-04
102,176.1510388,2020-12-10
103,171.701381,2020-12-12
104,176.680808,2020-12-16
105,175.506348,2020-12-22
106,177.3426002,2020-12-24
107,177.6809431,2020-12-28
108,175.8462432,2021-01-03
109,180.7535861,2021-01-05
110,176.2409924,2021-01-15
111,180.2562258,2021-01-17
112,176.5949485,2021-01-21
113,175.1602889,2021-01-27
114,180.4376186,2021-01-29
115,175.6934686,2021-02-02
116,179.9142366,2021-02-10
117,175.0626628,2021-02-14
118,172.7174683,2021-02-20
119,165.3046773,2021-02-22
120,165.4995192,2021-02-26
121,170.3321455,2021-03-04
122,171.2047357,2021-03-10
123,168.4749506,2021-03-16
124,164.1780319,2021-03-22
125,165.2371023,2021-03-28
126,162.8803937,2021-04-03
127,165.2593298,2021-04-09
128,158.3783089,2021-04-15
129,156.9844511,2021-04-21
130,163.0649727,2021-04-27
131,164.6081084,2021-05-03
132,165.0663491,2021-05-05
133,160.2465639,2021-05-09
134,162.0881632,2021-05-15
135,151.6732018,2021-05-17
136,154.5853831,2021-05-27
137,153.0844898,2021-06-02
138,150.9468478,2021-06-08
139,156.1557654,2021-06-14
140,151.2042176,2021-06-20
141,146.7877542,2021-06-26
142,142.1333208,2021-07-28
143,149.7028998,2021-11-17
144,149.068482,2021-11-23
145,155.7391017,2021-11-25
146,157.0914048,2021-11-29
147,156.4151703,2021-12-05
148,166.6279405,2021-12-07
149,159.0145001,2021-12-11
150,150.3901453,2021-12-17
151,159.4820711,2021-12-19
152,154.828489,2021-12-23
153,155.6318844,2021-12-31
154,154.4804532,2022-01-04
155,160.7217645,2022-01-12
156,152.2168112,2022-01-16
157,157.77468,2022-01-24
158,153.1673331,2022-01-28
159,152.3379297,2022-02-09
160,155.2136516,2022-02-17
161,155.2398237,2022-02-21
162,156.6654788,2022-03-01
163,156.099846,2022-03-05
164,154.5290718,2022-03-13
