Key*,total,data
1,25.23768469,2018-09-06
2,22.50656622,2018-09-18
3,28.48021704,2018-09-22
4,27.83954054,2018-10-04
5,31.6488588,2018-10-16
6,31.53028763,2018-10-28
7,32.56777363,2018-11-09
8,25.13781263,2018-11-17
9,42.34190374,2019-05-08
10,36.92932635,2019-05-20
11,25.51370381,2019-07-15
12,33.06104523,2019-07-19
13,26.92330223,2019-08-08
14,38.94974386,2019-08-12
15,26.24199767,2019-09-01
16,40.08048649,2020-06-25
17,24.169992,2020-07-21
18,21.090246,2020-08-14
19,28.05310022,2020-08-18
20,23.68602308,2020-09-07
21,18.37174629,2020-10-01
22,27.55761915,2020-10-05
23,38.68827866,2021-03-22
24,46.70511283,2021-03-28
25,40.76739155,2021-04-15
26,33.13354777,2021-05-09
27,31.50320296,2021-05-15
28,29.5485597,2021-05-27
29,32.723011,2021-06-08
30,38.19822501,2021-06-26
31,39.92143478,2021-07-20
32,44.53533619,2021-07-26
33,48.65696622,2021-08-01
34,39.27256007,2021-08-13
35,35.33030344,2021-09-12
36,27.15823374,2021-09-18
37,30.94065288,2021-09-24
38,25.70165023,2021-09-26
39,29.60061034,2021-09-30
40,30.06228028,2021-10-06
41,31.03462531,2021-10-12
42,31.62195642,2021-10-18
43,30.79379464,2021-10-24
44,32.08758683,2021-10-30
45,32.2358225,2021-11-01
46,30.40030781,2021-11-17
47,31.64544979,2021-11-23
48,35.44897232,2021-11-25
49,30.77619987,2021-11-29
50,34.44852043,2021-12-05
51,40.85057287,2021-12-07
52,38.79550687,2021-12-11
53,30.13607626,2021-12-19
54,31.96615863,2021-12-23
55,31.80335873,2021-12-31
56,29.77907169,2022-01-04
57,36.50965516,2022-01-12
58,36.44848556,2022-01-16
59,33.95368601,2022-01-24
60,34.82864719,2022-01-28
61,38.34498716,2022-02-09
62,35.02498449,2022-02-17
63,44.37255095,2022-02-21
64,43.27785426,2022-03-01
65,44.66121014,2022-03-05
66,44.71997657,2022-03-13
