Key*,total,data
1,46.97727516,2018-09-22
2,43.79052141,2018-10-04
3,52.60025774,2018-10-12
4,63.7818309,2018-11-09
5,59.03359894,2019-05-28
6,68.27835755,2019-10-23
7,58.90539025,2019-11-04
8,48.87127801,2020-03-11
9,48.2994115,2020-03-23
10,49.24735267,2020-06-03
11,53.02953067,2020-07-07
12,58.00756609,2020-07-13
13,55.95280419,2020-09-23
14,57.5795424,2020-09-29
15,67.90509304,2020-11-16
16,52.81401488,2021-03-06
17,46.84109175,2021-03-18
18,49.98498885,2021-03-30
19,53.88377589,2021-04-11
20,56.61774816,2021-04-21
21,57.77531696,2021-04-27
22,71.47662711,2021-05-15
23,48.48469445,2021-05-17
24,50.26891624,2021-05-27
25,53.14007368,2021-06-20
26,68.91166161,2021-06-26
27,44.70274692,2021-07-02
28,48.73539251,2021-07-04
29,47.55711219,2021-07-08
30,45.14626829,2021-07-14
31,51.02743049,2021-08-31
32,51.37351032,2021-09-02
33,43.47406769,2021-09-06
34,60.65416646,2021-09-12
35,61.74940672,2021-09-18
36,46.77025709,2021-09-24
37,41.42661088,2021-09-26
38,45.82339291,2021-09-30
39,46.98240312,2021-10-06
40,61.16620841,2021-10-12
41,47.97395761,2021-10-18
42,48.57068535,2021-10-24
43,46.07007871,2021-10-30
44,55.42728674,2021-11-01
45,41.02301429,2021-11-13
46,55.59061628,2021-11-17
47,51.1898215,2021-11-23
48,60.9011264,2021-11-25
49,53.81026956,2021-11-29
50,58.92926165,2021-12-05
51,50.0065843,2021-12-17
52,54.48790366,2021-12-19
53,58.78217942,2021-12-23
54,63.63926444,2021-12-31
55,64.45371376,2022-01-12
56,60.13918243,2022-01-16
57,62.63341206,2022-01-24
58,63.03927715,2022-01-28
59,70.92383019,2022-02-09
60,62.50123615,2022-02-17
61,70.16124496,2022-02-21
62,82.69449359,2022-03-01
63,83.27325417,2022-03-05
