Key*,total,data
1,33.93346661,2018-11-09
2,47.57083078,2018-11-21
3,44.69139569,2018-11-29
4,50.03035983,2018-12-03
5,51.34242435,2018-12-11
6,48.76369982,2018-12-15
7,43.39164528,2018-12-23
8,47.84341053,2018-12-27
9,50.57613981,2019-01-04
10,52.68185146,2019-01-28
11,46.35107601,2019-02-21
12,52.27917882,2019-02-25
13,51.02514378,2019-03-09
14,51.34007404,2019-03-17
15,47.25591324,2019-03-21
16,46.39356992,2019-04-02
17,40.83213908,2019-04-10
18,39.15246364,2019-04-22
19,37.17284407,2019-05-04
20,42.14717217,2019-05-08
21,40.94708929,2019-05-20
22,36.51297312,2019-05-28
23,33.27359888,2019-06-09
24,40.50552869,2019-06-25
25,42.47801797,2019-07-03
26,38.43259629,2019-07-19
27,39.41005176,2019-07-31
28,36.76891854,2019-09-05
29,36.8607486,2019-09-25
30,36.56433274,2019-10-07
31,31.4889207,2019-10-11
32,34.11327718,2019-10-23
33,30.15420281,2019-10-31
34,35.62294677,2019-11-04
35,35.05325458,2019-11-12
36,36.57296287,2019-12-30
37,44.27539016,2020-01-03
38,44.81450812,2020-01-09
39,44.31962166,2020-02-04
40,35.70191384,2020-02-26
41,40.220011,2020-02-28
42,35.91418671,2020-03-03
43,28.67448203,2020-03-09
44,22.2582224,2020-08-18
45,24.98499765,2020-10-29
46,23.93688415,2020-11-04
47,34.94629271,2020-11-10
48,39.13277533,2020-11-16
49,46.04014073,2020-12-04
50,50.20279384,2020-12-10
51,49.79040578,2021-01-15
52,49.6303583,2021-01-21
53,43.28656611,2021-01-27
54,44.9113547,2021-02-22
55,44.29146757,2021-02-26
56,49.26791858,2021-03-04
57,52.81401488,2021-03-06
58,46.84109175,2021-03-18
59,49.98498885,2021-03-30
60,53.88377589,2021-04-11
61,56.61774816,2021-04-21
62,57.77531696,2021-04-27
63,48.48469445,2021-05-17
64,50.26891624,2021-05-27
65,53.14007368,2021-06-20
66,44.70274692,2021-07-02
67,48.73539251,2021-07-04
68,47.55711219,2021-07-08
69,45.14626829,2021-07-14
70,51.02743049,2021-08-31
71,51.37351032,2021-09-02
72,46.77025709,2021-09-24
73,45.82339291,2021-09-30
74,46.98240312,2021-10-06
75,47.97395761,2021-10-18
76,48.57068535,2021-10-24
77,46.07007871,2021-10-30
78,41.02301429,2021-11-13
79,55.59061628,2021-11-17
80,51.1898215,2021-11-23
81,53.81026956,2021-11-29
82,58.92926165,2021-12-05
83,43.48611875,2021-12-17
84,52.15030509,2021-12-19
85,52.47139203,2021-12-23
86,48.92661283,2021-12-31
87,50.30030808,2022-01-04
88,52.86101884,2022-01-12
89,50.86543934,2022-01-16
90,52.16025498,2022-01-24
91,49.86482851,2022-01-28
92,49.05033869,2022-02-09
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
