Key*,total,data
1,4.693020146,2018-01-01
2,4.373346488,2018-01-13
3,4.526909152,2018-05-01
4,4.07738341,2018-05-13
5,6.468946993,2018-07-12
6,7.838335795,2018-07-24
7,7.803127259,2018-08-29
8,6.792949245,2018-09-10
9,6.81623815,2018-11-21
10,7.127332692,2018-11-29
11,7.07434049,2018-12-23
12,8.473291586,2019-01-16
13,11.39375295,2019-01-20
14,11.22077494,2019-01-28
15,10.93373482,2019-02-01
16,10.81939275,2019-02-13
17,10.47961417,2019-02-25
18,10.11726738,2019-03-09
19,10.60059015,2019-03-17
20,10.97195272,2021-07-28
21,9.654082079,2021-11-17
22,9.50320039,2021-11-23
23,10.92327617,2021-11-25
24,10.7274302,2021-11-29
25,10.83747396,2021-12-05
26,11.57912065,2021-12-11
27,10.32595656,2021-12-23
28,9.576232938,2021-12-31
29,9.543410697,2022-01-04
30,10.59544756,2022-01-12
31,9.385769643,2022-01-24
32,9.495296051,2022-01-28
33,8.692315745,2022-02-09
34,8.344036479,2022-02-17
35,8.749164719,2022-02-21
36,7.684882477,2022-03-01
37,7.614701194,2022-03-05
41,7.684882477,2022-03-01
42,7.614701194,2022-03-05
