Key*,total,data
1,16.05499404,2018-09-10
2,10.4758159,2018-09-18
3,12.93483369,2018-09-22
4,0.119952098,2018-09-30
5,12.20512601,2018-10-04
6,8.036789065,2018-10-12
7,14.73654493,2018-10-16
8,10.69572865,2018-10-24
9,17.22652736,2018-10-28
10,21.346145,2018-11-05
11,16.75813177,2018-11-09
12,14.49421311,2018-11-17
13,20.0449378,2018-11-21
14,15.12396368,2018-11-29
15,19.83290574,2018-12-03
16,21.42646765,2018-12-11
17,18.89245973,2018-12-15
18,15.21647223,2018-12-23
19,19.39225811,2018-12-27
20,19.58567466,2019-01-04
21,11.93477105,2019-01-28
22,10.32085705,2019-02-21
23,20.76264696,2019-02-25
24,14.46422517,2019-03-05
25,20.76625312,2019-03-09
26,20.37625609,2019-03-17
27,18.55505729,2019-03-21
28,14.29429381,2019-03-29
29,17.92060431,2019-04-02
30,11.62535772,2019-04-10
31,11.36546141,2019-04-22
32,11.98521263,2019-05-04
33,15.75864424,2019-05-08
34,13.50460705,2019-05-16
35,14.58543063,2019-05-20
36,14.23807999,2019-05-28
37,12.0152044,2019-06-09
38,19.83784324,2019-06-25
39,21.83783065,2019-07-03
40,14.46422544,2019-07-15
41,17.15910709,2019-07-19
42,20.11839601,2019-07-31
43,14.58417724,2019-08-08
44,19.61146017,2019-08-12
45,14.67414126,2019-08-20
46,14.02440039,2019-09-01
47,21.61810973,2019-09-05
48,15.36386425,2019-09-17
49,17.3483688,2019-09-25
50,12.07690359,2019-10-07
51,14.50839904,2019-10-11
52,11.73836978,2019-10-23
53,7.177133784,2019-10-31
54,8.998015014,2019-11-04
55,7.636949701,2019-11-12
56,10.04724171,2019-11-22
57,10.40145248,2019-11-28
58,10.47957829,2019-12-18
59,2.972304104,2019-12-30
60,9.446146888,2020-01-03
61,9.037643304,2020-01-09
62,16.85386273,2020-02-04
63,11.47768936,2020-02-26
64,12.90900358,2020-02-28
65,10.39835517,2020-03-03
66,7.706215473,2020-03-09
67,2.029190879,2020-03-11
68,1.519394234,2020-03-23
69,5.776083531,2020-03-27
70,9.711568193,2020-04-02
71,9.649437911,2020-04-08
72,12.23883397,2020-04-14
73,11.34997476,2020-04-20
74,5.732609222,2020-05-26
75,4.738068235,2020-06-01
76,3.808478575,2020-06-03
77,6.997203245,2020-06-25
78,10.75840495,2020-07-01
79,5.599487341,2020-07-07
80,6.787288187,2020-07-13
81,3.848464601,2020-07-21
82,10.86565695,2020-08-12
83,9.006403028,2020-08-14
84,11.67407869,2020-08-18
85,9.136350305,2020-08-24
86,8.588607367,2020-09-07
87,15.67514684,2020-09-17
88,8.396644891,2020-09-23
89,6.297484888,2020-10-01
90,9.066376619,2020-10-05
91,15.2082791,2020-10-29
92,14.19983883,2020-11-04
93,16.64006181,2020-11-10
94,17.84287324,2020-11-16
95,20.19860424,2020-12-04
96,18.66254916,2020-12-10
97,18.97363939,2021-01-15
98,19.09786469,2021-01-21
99,18.81001726,2021-01-27
100,4.682167748,2021-02-22
101,15.79369234,2021-02-26
102,17.99563483,2021-03-04
103,14.03439599,2021-03-06
104,18.83490593,2021-03-10
105,16.43974649,2021-03-16
106,4.778089609,2021-03-18
107,12.21758739,2021-03-22
108,13.96814359,2021-03-28
109,10.59576834,2021-03-30
110,13.54709398,2021-04-03
111,13.15827087,2021-04-09
112,2.978810369,2021-04-11
113,11.70626198,2021-04-15
114,10.40584238,2021-04-21
115,9.816079791,2021-04-23
116,14.05438405,2021-04-27
117,14.81407876,2021-05-03
118,17.08917214,2021-05-05
119,12.36584356,2021-05-09
120,11.76153637,2021-05-15
121,9.376255756,2021-05-17
122,10.87565491,2021-05-27
123,9.646146809,2021-05-29
124,12.68457862,2021-06-02
125,12.84984512,2021-06-08
126,8.196726553,2021-06-10
127,14.45524322,2021-06-14
128,13.64015707,2021-06-20
129,19.92502294,2021-06-22
130,13.29739184,2021-06-26
131,9.125099963,2021-07-02
132,10.37060345,2021-07-04
133,9.373196322,2021-07-08
134,9.710473624,2021-07-14
135,5.157938595,2021-07-16
136,16.18247366,2021-07-20
137,14.95386818,2021-07-26
138,24.4353818,2021-07-28
139,17.96470563,2021-08-01
140,9.153793472,2021-08-07
141,8.266697906,2021-08-09
142,13.5923718,2021-08-13
143,8.296685603,2021-08-21
144,12.36062769,2021-08-25
145,10.97020343,2021-08-31
146,10.36832861,2021-09-02
147,9.487464196,2021-09-06
148,14.2582992,2021-09-12
149,9.296206775,2021-09-18
150,9.111340712,2021-09-24
151,8.296686041,2021-09-26
152,9.566177963,2021-09-30
153,9.021376539,2021-10-06
154,8.027460589,2021-10-08
155,9.462886229,2021-10-12
156,12.12515441,2021-10-18
157,9.85606181,2021-10-20
158,13.28006658,2021-10-24
159,14.31428192,2021-10-30
160,16.30725543,2021-11-01
161,14.78409616,2021-11-13
162,18.70625679,2021-11-17
163,18.0187682,2021-11-23
164,19.42240806,2021-11-25
165,18.10277309,2021-11-29
166,18.25028316,2021-12-05
167,21.62106161,2021-12-07
168,20.85594971,2021-12-11
