Key*,total,data
1,81.34334949,2018-09-22
2,106.0138585,2018-10-04
3,108.8578492,2018-10-12
4,128.1823474,2018-10-16
5,139.7650034,2018-10-28
6,152.4511852,2018-11-05
7,130.612439,2018-11-09
8,139.7358781,2018-11-21
9,133.7190187,2018-12-03
10,140.8140475,2018-12-11
11,132.1852156,2018-12-15
12,127.8168415,2018-12-27
13,127.9186586,2019-01-04
14,148.5062813,2019-01-28
15,138.3208876,2019-02-25
16,128.2342701,2019-03-09
17,133.5055846,2019-03-17
18,132.4318164,2019-06-25
19,135.8106397,2019-07-03
20,140.1456412,2019-08-12
21,143.3246385,2019-09-05
22,129.1175392,2019-09-25
23,126.4541019,2019-10-07
24,127.5770604,2019-10-11
25,115.8872991,2019-10-23
26,120.7645111,2019-11-22
27,121.6326951,2019-11-28
28,105.861726,2019-12-18
29,118.5504682,2020-10-29
30,112.0733399,2020-11-04
31,123.194808,2020-11-10
32,145.0763626,2020-11-16
33,161.7527995,2020-12-04
34,129.9585291,2020-12-10
35,157.6388663,2021-01-15
36,166.6020348,2021-01-21
37,151.6032024,2021-01-27
38,141.2613562,2021-03-04
39,155.0251559,2021-03-10
40,135.859079,2021-03-16
41,154.0402902,2021-03-22
42,114.596933,2021-03-28
43,114.2930313,2021-04-03
44,136.1232096,2021-04-09
45,120.4180365,2021-04-27
46,135.477848,2021-05-03
47,145.8633913,2021-05-05
48,116.903031,2021-06-02
49,100.0647416,2021-06-08
50,130.3228974,2021-06-14
51,124.4278164,2021-06-20
52,128.1821806,2021-07-20
53,135.4226827,2021-07-26
54,137.8633726,2021-08-01
55,123.6819924,2021-10-24
56,118.7249223,2021-10-30
57,131.8602706,2021-11-01
58,130.7055708,2021-11-17
59,129.5915288,2021-11-23
60,145.018269,2021-11-25
61,126.8074604,2021-11-29
62,143.6072083,2021-12-05
63,124.5519491,2021-12-17
64,125.1875571,2021-12-19
65,139.3920455,2021-12-23
66,144.5238916,2021-12-31
67,137.7779031,2022-01-04
68,141.8669291,2022-01-12
69,141.2334133,2022-01-16
70,130.1424266,2022-01-24
71,133.6483812,2022-01-28
72,131.4366939,2022-02-09
73,134.5934872,2022-02-17
74,126.3228394,2022-02-21
75,135.6845574,2022-03-01
76,132.8896141,2022-03-05
77,131.5534077,2022-03-13
