Key*,total,data
1,130.3753083,2018-10-16
2,179.0407805,2018-10-28
3,131.0022121,2018-11-09
4,186.7974164,2018-11-21
5,229.5872165,2018-11-29
6,272.5700193,2018-12-03
7,293.3812494,2018-12-11
8,266.2268602,2018-12-15
9,207.9897345,2018-12-15
10,208.0877546,2018-12-27
11,212.9189677,2019-01-04
12,297.430894,2019-01-28
13,271.3728264,2019-02-25
14,271.6019323,2019-03-09
15,299.9280923,2019-03-17
16,242.1946252,2019-03-21
17,228.0647118,2019-04-02
18,235.2846138,2019-05-08
19,231.4128229,2019-05-20
20,135.8633888,2019-05-28
21,209.2626276,2019-07-03
22,143.0992525,2019-07-19
23,195.4021339,2019-07-31
24,151.9207643,2019-08-12
25,142.3139749,2019-09-25
26,162.2856497,2019-10-07
27,161.6829195,2019-10-11
28,155.2251011,2019-10-23
29,153.2965079,2019-11-22
30,194.3515769,2019-11-28
31,92.83874882,2019-12-30
32,86.53996846,2020-06-03
33,84.83354231,2020-07-07
34,86.39924461,2020-08-18
35,82.53696324,2020-08-26
36,181.7203367,2020-10-29
37,172.644175,2020-11-04
38,203.6610879,2020-11-16
39,255.7810854,2020-12-04
40,239.8829689,2020-12-10
41,236.2822954,2021-01-15
42,243.1595553,2021-01-21
43,233.3519246,2021-01-27
44,151.7218162,2021-02-22
45,174.5789764,2021-02-26
46,218.9102581,2021-03-04
47,202.1413273,2021-03-06
48,265.1121492,2021-03-10
49,265.0260936,2021-03-16
50,257.0758704,2021-03-28
51,223.3143599,2021-03-30
52,258.7696257,2021-04-03
53,258.6898668,2021-04-09
54,251.09714,2021-04-15
55,226.0012563,2021-04-21
56,209.5292714,2021-04-23
57,249.2723084,2021-04-27
58,256.2350175,2021-05-03
59,252.6062868,2021-05-05
60,236.4061604,2021-05-09
61,235.8380578,2021-05-15
62,219.3239696,2021-05-27
63,231.5423449,2021-06-02
64,222.3873709,2021-06-08
65,239.3314386,2021-06-14
66,237.306879,2021-06-20
67,247.9375633,2021-06-22
68,233.2632603,2021-06-26
69,232.3758568,2021-07-20
70,231.7899186,2021-07-26
71,250.9630712,2021-07-28
72,240.6774939,2021-08-01
73,179.1150702,2021-09-12
74,179.4361535,2021-09-18
75,165.8596332,2021-09-24
76,166.3896757,2021-09-30
77,167.406998,2021-10-06
78,173.5866978,2021-10-12
79,190.12905,2021-10-18
80,191.1921352,2021-10-24
81,202.3483687,2021-10-30
82,222.1504665,2021-11-01
83,263.3843183,2021-11-17
84,269.2053584,2021-11-25
85,276.1484412,2021-11-29
86,274.1781442,2021-12-05
87,280.1372955,2021-12-07
88,273.8174935,2021-12-11
89,230.9274137,2021-12-19
90,234.0268234,2021-12-23
91,234.2492929,2021-12-31
92,233.9306737,2022-01-12
93,219.9557365,2022-01-16
94,220.5271383,2022-01-24
95,210.1374202,2022-01-28
96,206.8145203,2022-02-09
97,190.7735432,2022-02-17
98,216.8418011,2022-02-21
99,219.2080936,2022-03-01
100,219.1733025,2022-03-05
