Key*,total,data
1,427.6796079,2015-02-22
2,520.7228872,2015-03-30
3,374.6758246,2015-05-17
4,436.5642896,2015-07-04
5,181.694002,2015-07-28
6,284.9122895,2015-08-21
7,270.0258541,2015-09-14
8,320.375532,2015-10-08
9,278.07829,2015-11-01
10,475.7258309,2015-11-25
11,570.7177269,2015-12-19
12,642.1501873,2016-01-12
13,622.7423004,2016-02-05
14,701.8810867,2016-02-29
15,711.3422642,2016-03-24
16,654.8372986,2016-04-05
17,532.16289,2016-04-17
18,547.8968022,2016-04-29
19,553.0845522,2016-05-11
20,329.3774602,2016-05-23
21,341.4682353,2016-06-04
22,348.7794168,2016-06-28
23,445.8459887,2016-07-10
24,366.5164266,2016-07-22
25,344.9032521,2016-08-03
26,556.9781061,2016-08-15
27,330.6665101,2016-08-27
28,390.0494673,2016-09-08
29,423.2305877,2016-09-20
30,538.8850454,2016-10-02
31,625.4959567,2016-10-14
32,749.2993755,2016-10-26
33,537.0636854,2018-02-02
34,708.4628622,2018-02-26
35,48.57684708,2018-03-14
36,399.5570515,2018-04-07
37,305.7637684,2018-04-15
38,275.2329371,2018-04-27
39,299.3506308,2018-05-21
40,319.0915252,2018-06-14
41,452.7271366,2018-06-26
42,611.0195512,2018-08-25
43,636.9464613,2018-09-06
44,1.040762982,2018-09-30
45,422.7385772,2018-10-12
46,654.3909577,2018-10-24
47,709.804085,2018-11-05
48,703.6925154,2018-11-17
49,492.7932353,2018-12-23
50,722.9629776,2019-01-16
51,426.764703,2019-02-09
52,527.325695,2019-02-21
53,272.7014002,2019-03-05
54,642.3899669,2019-03-29
55,389.1080772,2019-04-10
56,399.6555449,2019-04-22
57,457.0102262,2019-06-09
58,232.3887273,2019-06-13
59,504.9837325,2019-06-21
60,671.0309407,2019-11-12
61,490.0659184,2019-11-28
62,724.3566778,2019-12-30
63,515.8289905,2020-01-23
64,616.482018,2020-02-08
65,226.3316663,2020-02-16
66,723.6391225,2020-03-09
67,344.9497148,2020-03-11
68,338.7223418,2020-03-23
69,674.1060908,2020-03-27
70,711.9619116,2020-04-02
71,675.9453888,2020-04-04
72,680.5095999,2020-04-08
73,690.2530749,2020-04-14
74,261.9578448,2020-04-16
75,689.9597656,2020-04-20
76,540.6433542,2020-04-26
77,651.7394564,2020-04-28
78,513.2798185,2020-05-02
79,680.5095999,2020-05-08
80,322.2600274,2020-05-10
81,690.2530749,2020-05-14
82,474.1214611,2020-05-20
83,332.4674709,2020-05-22
84,402.5358893,2020-05-26
85,468.9567639,2020-06-01
86,339.3121903,2020-06-03
87,419.6613255,2020-06-13
88,297.3910357,2020-06-15
89,337.8567512,2020-06-25
90,402.5358893,2020-06-27
91,346.9261947,2020-07-01
92,297.9912604,2020-07-07
93,192.3814578,2020-07-09
94,297.5927338,2020-07-13
95,278.0150693,2020-07-19
96,118.3912303,2020-07-21
97,304.3908984,2020-07-25
98,305.5188524,2020-07-31
99,375.7215166,2020-08-02
100,285.348146,2020-08-06
101,262.0553587,2020-08-12
102,231.4375649,2020-08-14
103,313.9754212,2020-08-18
104,315.8884202,2020-08-24
105,262.9927826,2020-08-26
106,288.0310639,2020-08-30
107,319.2179427,2020-09-05
108,263.6791467,2020-09-07
109,331.2813619,2020-09-11
110,398.3095799,2020-09-17
111,249.8859141,2020-09-19
112,346.7467892,2020-09-23
113,277.7639842,2020-09-29
114,201.7489755,2020-10-01
115,352.2264222,2020-10-05
116,392.0958113,2020-10-11
117,357.2614071,2020-10-13
118,486.7144674,2020-10-17
119,513.5177441,2020-10-23
120,403.0706924,2020-10-25
121,578.9132325,2020-10-29
122,549.4948193,2020-10-31
123,544.2572942,2020-11-04
124,599.7896333,2020-11-06
125,607.5370915,2020-11-10
126,552.3386152,2020-11-12
127,154.2460534,2020-11-16
128,670.3885916,2020-11-18
129,598.3276947,2020-11-22
130,580.3042318,2020-11-28
131,582.244239,2020-11-30
132,488.4463219,2020-12-10
133,545.6140606,2020-12-12
134,727.5665795,2020-12-16
