Key*,total,data,,,
1,135.14,02/22/2015,,,
2,39.04,09/14/2015,,,
3,51.23,10/08/2015,,,
4,203.67,01/12/2016,,,
5,182.3,02/29/2016,,,
6,147.36,03/24/2016,,,
7,59.51,05/23/2016,,,
8,79.93,07/10/2016,,,
9,65.63,08/03/2016,,,
10,66.64,08/27/2016,,,
11,79.66,09/20/2016,,,
12,137.15,10/02/2016,,,
13,161.56,10/14/2016,,,
14,195.7,10/26/2016,,,
15,231.57,11/10/2017,,,
16,241.26,12/04/2017,,,
17,206.32,01/01/2018,,,
18,216.03,01/09/2018,,,
19,191.17,01/13/2018,,,
20,217.02,01/21/2018,,,
21,214.61,01/25/2018,,,
22,215.94,02/02/2018,,,
23,215.24,02/06/2018,,,
24,215.5,02/14/2018,,,
25,215.85,02/18/2018,,,
26,214.18,02/26/2018,,,
27,215.15,03/02/2018,,,
28,215.53,03/10/2018,,,
29,213.99,03/14/2018,,,
30,213.09,03/22/2018,,,
31,212.56,03/26/2018,,,
32,213.79,04/03/2018,,,
33,176.33,04/07/2018,,,
34,213.02,04/15/2018,,,
35,208.97,04/19/2018,,,
36,211.74,04/27/2018,,,
37,210.05,05/01/2018,,,
38,208.51,05/09/2018,,,
39,210.14,05/13/2018,,,
40,211.65,05/21/2018,,,
41,207.2,05/25/2018,,,
42,201.52,06/02/2018,,,
43,190.54,06/06/2018,,,
44,202.08,06/14/2018,,,
45,191.78,06/18/2018,,,
46,196.66,06/26/2018,,,
47,194.59,06/30/2018,,,
48,185.8,07/08/2018,,,
49,172.47,07/12/2018,,,
50,174.05,07/20/2018,,,
51,124.7,07/24/2018,,,
52,157.3,08/01/2018,,,
53,131.89,08/05/2018,,,
54,75.64,08/17/2018,,,
55,81.36,08/25/2018,,,
56,48.99,08/29/2018,,,
57,51.36,06/09/2018,,,
58,92.87,10/09/2018,,,
59,70.18,18/09/2018,,,
60,89.82,22/09/2018,,,
61,100.16,04/10/2018,,,
62,97.63,12/10/2018,,,
63,105.53,16/10/2018,,,
64,90.95,24/10/2018,,,
65,112.61,28/10/2018,,,
66,138.27,05/11/2018,,,
67,173.45,09/11/2018,,,
68,162.63,17/11/2018,,,
69,202.12,21/11/2018,,,
70,214.51,29/11/2018,,,
71,216.55,03/12/2018,,,
72,217.52,11/12/2018,,,
73,216,15/12/2018,,,
74,214.63,23/12/2018,,,
75,217.25,27/12/2018,,,
76,217.65,04/01/2019,,,
77,216.75,08/01/2019,,,
78,217.29,20/01/2019,,,
79,218.12,28/01/2019,,,
80,217.22,01/02/2019,,,
81,204.77,09/02/2019,,,
82,217.02,13/02/2019,,,
83,212.5,21/02/2019,,,
84,215.83,25/02/2019,,,
85,136.61,05/03/2019,,,
86,216.07,09/03/2019,,,
87,215.63,02/04/2019,,,
88,207.41,10/04/2019,,,
89,214.35,14/04/2019,,,
90,171.45,22/04/2019,,,
91,215.27,26/04/2019,,,
92,164.03,04/05/2019,,,
93,211.24,08/05/2019,,,
94,198.47,16/05/2019,,,
95,213.58,20/05/2019,,,
96,209.04,28/05/2019,,,
97,214.89,01/06/2019,,,
98,184.43,09/06/2019,,,
99,134.57,21/06/2019,,,
100,212.15,25/06/2019,,,
101,213.83,03/07/2019,,,
102,210.96,07/07/2019,,,
103,200.54,15/07/2019,,,
104,185.94,27/07/2019,,,
105,209.28,31/07/2019,,,
106,198.27,08/08/2019,,,
107,207.21,12/08/2019,,,
108,185.84,20/08/2019,,,
109,203.39,24/08/2019,,,
110,187.47,01/09/2019,,,
111,178.13,13/09/2019,,,
112,195.49,17/09/2019,,,
113,204.64,25/09/2019,,,
114,200.76,07/10/2019,,,
115,197.02,11/10/2019,,,
116,190.16,19/10/2019,,,
117,191.56,23/10/2019,,,
118,155.46,31/10/2019,,,
119,187.86,04/11/2019,,,
120,194.5,10/11/2019,,,
121,174.73,12/11/2019,,,
122,191.74,16/11/2019,,,
123,194.78,22/11/2019,,,
124,204,24/11/2019,,,
125,188.11,28/11/2019,,,
126,187.65,04/12/2019,,,
127,201.81,06/12/2019,,,
128,181.88,10/12/2019,,,
129,169.19,16/12/2019,,,
130,171.84,18/12/2019,,,
131,167.37,22/12/2019,,,
132,167.23,28/12/2019,,,
133,136.92,30/12/2019,,,
134,168.49,03/01/2020,,,
135,160.62,09/01/2020,,,
136,182.48,11/01/2020,,,
137,162.52,15/01/2020,,,
138,158.12,21/01/2020,,,
139,110.56,23/01/2020,,,
140,157.76,27/01/2020,,,
141,153.92,02/02/2020,,,
142,174.44,04/02/2020,,,
143,159.72,08/02/2020,,,
144,128.69,14/02/2020,,,
145,94.45,16/02/2020,,,
146,155.56,20/02/2020,,,
147,151.25,26/02/2020,,,
148,170.69,28/02/2020,,,
149,116.73,09/03/2020,,,
150,72.48,11/03/2020,,,
151,94.74,27/03/2020,,,
152,129.62,02/04/2020,,,
153,166.95,04/04/2020,,,
154,120.56,08/04/2020,,,
155,135.28,14/04/2020,,,
156,75.65,16/04/2020,,,
157,130.2,20/04/2020,,,
158,128.41,26/04/2020,,,
159,93.64,08/05/2020,,,
160,50.28,10/05/2020,,,
161,64.51,14/05/2020,,,
162,90.56,20/05/2020,,,
163,60.34,22/05/2020,,,
164,53.08,26/05/2020,,,
165,66.75,01/06/2020,,,
166,38.25,03/06/2020,,,
167,85.53,13/06/2020,,,
168,26.67,15/06/2020,,,
169,49.26,25/06/2020,,,
170,39.55,27/06/2020,,,
171,88.49,01/07/2020,,,
172,46.29,07/07/2020,,,
173,25.74,09/07/2020,,,
174,52.16,13/07/2020,,,
175,47.23,19/07/2020,,,
176,25.18,21/07/2020,,,
177,56.25,25/07/2020,,,
178,115.3,31/07/2020,,,
179,164.84,02/08/2020,,,
180,48.8,06/08/2020,,,
181,107.28,12/08/2020,,,
182,63.9,14/08/2020,,,
183,60.72,18/08/2020,,,
184,93.58,24/08/2020,,,
185,60.57,26/08/2020,,,
186,61.56,30/08/2020,,,
187,119.94,05/09/2020,,,
188,77.04,07/09/2020,,,
189,124.78,11/09/2020,,,
190,154.79,17/09/2020,,,
191,55.18,19/09/2020,,,
192,134.83,23/09/2020,,,
193,65.66,29/09/2020,,,
194,36.83,01/10/2020,,,
195,85.8,05/10/2020,,,
196,123.77,25/10/2020,,,
197,215.97,04/12/2020,,,
198,215.74,10/12/2020,,,
199,215.33,15/01/2021,,,
200,212.88,21/01/2021,,,
201,215.95,27/01/2021,,,
202,171.57,22/02/2021,,,
203,208.72,26/02/2021,,,
204,214.51,04/03/2021,,,
205,210.75,22/03/2021,,,
206,211.12,09/04/2021,,,
207,206.71,02/06/2021,,,
208,207.5,14/06/2021,,,
209,187.24,08/07/2021,,,
210,191.47,14/07/2021,,,
211,200.42,20/07/2021,,,
212,199.89,26/07/2021,,,
213,205.49,28/07/2021,,,
214,117.41,09/08/2021,,,
215,165.52,13/08/2021,,,
216,131.23,25/08/2021,,,
217,122.49,06/09/2021,,,
218,33.45988899,20/10/2021,,,
219,105.6796762,08/10/2021,,,
220,143.1685582,12/10/2021,,,
221,147.9793811,06/10/2021,,,
222,148.8205864,30/09/2021,,,
223,153.3388569,18/10/2021,,,
224,174.9437531,24/10/2021,,,
225,201.3944794,30/10/2021,,,
226,208.2779973,01/11/2021,,,
227,209.9878586,13/11/2021,,,
228,211.1835401,17/11/2021,,,
229,214.184551,23/11/2021,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,+
