Key*,total,data,,,
1,51.36322665,2018-09-06,,,
2,92.8721704,2018-09-10,,,
3,70.17885077,2018-09-18,,,
4,89.82312192,2018-09-22,,,
5,100.1632983,2018-10-04,,,
6,97.62731282,2018-10-12,,,
7,105.53481,2018-10-16,,,
8,90.95258356,2018-10-24,,,
9,112.6096892,2018-10-28,,,
10,138.2737136,2018-11-05,,,
11,173.4540917,2018-11-09,,,
12,162.6348241,2018-11-17,,,
13,202.1216312,2018-11-21,,,
14,214.5060449,2018-11-29,,,
15,216.5508048,2018-12-03,,,
16,217.5227126,2018-12-11,,,
17,215.9952845,2018-12-15,,,
18,214.6272654,2018-12-23,,,
19,217.2528295,2018-12-27,,,
20,217.6469883,2019-01-04,,,
21,216.7521168,2019-01-08,,,
22,217.2936809,2019-01-20,,,
23,218.1228453,2019-01-28,,,
24,217.2247606,2019-02-01,,,
25,204.7707114,2019-02-09,,,
26,217.0234481,2019-02-13,,,
27,212.5008863,2019-02-21,,,
28,215.8271443,2019-02-25,,,
29,136.6131544,2019-03-05,,,
30,216.0720074,2019-03-09,,,
31,215.6309661,2019-04-02,,,
32,207.4088124,2019-04-10,,,
33,214.3467249,2019-04-14,,,
34,171.4473134,2019-04-22,,,
35,215.2710368,2019-04-26,,,
36,164.0329706,2019-05-04,,,
37,211.2378601,2019-05-08,,,
38,198.4696198,2019-05-16,,,
39,213.5796254,2019-05-20,,,
40,209.0358334,2019-05-28,,,
41,214.8927978,2019-06-01,,,
42,184.4303346,2019-06-09,,,
43,134.5672441,2019-06-21,,,
44,212.1528044,2019-06-25,,,
45,213.8334001,2019-07-03,,,
46,210.956539,2019-07-07,,,
47,200.5430889,2019-07-15,,,
48,185.93606,2019-07-27,,,
49,209.2811229,2019-07-31,,,
50,198.274685,2019-08-08,,,
51,207.2070149,2019-08-12,,,
52,185.8391658,2019-08-20,,,
53,203.3881381,2019-08-24,,,
54,187.47303,2019-09-01,,,
55,178.1274332,2019-09-13,,,
56,195.4917957,2019-09-17,,,
57,204.640357,2019-09-25,,,
58,200.7603213,2019-10-07,,,
59,197.0236385,2019-10-11,,,
60,190.162683,2019-10-19,,,
61,191.5589594,2019-10-23,,,
62,155.4615017,2019-10-31,,,
63,187.8596419,2019-11-04,,,
64,194.4998585,2019-11-10,,,
65,174.7251567,2019-11-12,,,
66,191.7434143,2019-11-16,,,
67,194.7824059,2019-11-22,,,
68,203.9975277,2019-11-24,,,
69,188.1069331,2019-11-28,,,
70,187.6534864,2019-12-04,,,
71,201.8061793,2019-12-06,,,
72,181.8821245,2019-12-10,,,
73,169.1883508,2019-12-16,,,
74,171.8369374,2019-12-18,,,
75,167.3694689,2019-12-22,,,
76,167.2289617,2019-12-28,,,
77,136.9202895,2019-12-30,,,
78,168.4944478,2020-01-03,,,
79,160.6188358,2020-01-09,,,
80,182.4822807,2020-01-11,,,
81,162.5191443,2020-01-15,,,
82,158.1236909,2020-01-21,,,
83,110.5622638,2020-01-23,,,
84,157.7608453,2020-01-27,,,
85,153.9223986,2020-02-02,,,
86,174.4406176,2020-02-04,,,
87,159.7163726,2020-02-08,,,
88,128.6905781,2020-02-14,,,
89,94.44928569,2020-02-16,,,
90,155.5566791,2020-02-20,,,
91,151.249632,2020-02-26,,,
92,170.6872796,2020-02-28,,,
93,116.7295774,2020-03-09,,,
94,72.48127021,2020-03-11,,,
95,94.74322087,2020-03-27,,,
96,129.6247566,2020-04-02,,,
97,166.9459045,2020-04-04,,,
98,120.562278,2020-04-08,,,
99,135.2813335,2020-04-14,,,
100,75.64939706,2020-04-16,,,
101,130.2003516,2020-04-20,,,
102,128.4055975,2020-04-26,,,
103,93.63974825,2020-05-08,,,
104,50.2791358,2020-05-10,,,
105,64.50795308,2020-05-14,,,
106,90.55626631,2020-05-20,,,
107,60.3428635,2020-05-22,,,
108,53.07571869,2020-05-26,,,
109,66.74545483,2020-06-01,,,
110,38.2525621,2020-06-03,,,
111,85.53100842,2020-06-13,,,
112,26.66977399,2020-06-15,,,
113,49.25758076,2020-06-25,,,
114,39.54625411,2020-06-27,,,
115,88.49196933,2020-07-01,,,
116,46.28842799,2020-07-07,,,
117,25.73928549,2020-07-09,,,
118,52.15829531,2020-07-13,,,
119,47.22814239,2020-07-19,,,
120,25.18290702,2020-07-21,,,
121,56.24656241,2020-07-25,,,
122,115.2965353,2020-07-31,,,
123,164.839226,2020-08-02,,,
124,48.79688614,2020-08-06,,,
125,107.2827351,2020-08-12,,,
126,63.90401302,2020-08-14,,,
127,60.72480085,2020-08-18,,,
128,93.5827553,2020-08-24,,,
129,60.56716574,2020-08-26,,,
130,61.55853935,2020-08-30,,,
131,119.9352061,2020-09-05,,,
132,77.04086365,2020-09-07,,,
133,124.7804689,2020-09-11,,,
134,154.7912258,2020-09-17,,,
135,55.17751074,2020-09-19,,,
136,134.8255036,2020-09-23,,,
137,65.66066836,2020-09-29,,,
138,36.8258912,2020-10-01,,,
139,85.79937495,2020-10-05,,,
140,123.7675571,2020-10-25,,,
141,215.9734908,2020-12-04,,,
142,215.7407489,2020-12-10,,,
143,215.3291856,2021-01-15,,,
144,212.884002,2021-01-21,,,
145,215.9513092,2021-01-27,,,
146,171.5688914,2021-02-22,,,
147,208.7192739,2021-02-26,,,
148,214.5090431,2021-03-04,,,
149,210.7515072,2021-03-22,,,
150,211.1156391,2021-04-09,,,
151,206.7076339,2021-06-02,,,
152,207.5045664,2021-06-14,,,
153,187.2426664,2021-07-08,,,
154,191.4738007,2021-07-14,,,
155,200.4191865,2021-07-20,,,
156,199.8865165,2021-07-26,,,
157,205.4857328,2021-07-28,,,
158,117.4103626,2021-08-09,,,
159,165.5223583,2021-08-13,,,
160,131.2300845,2021-08-25,,,
161,122.4852916,2021-09-06,,,
162,148.8205864,2021-09-30,,,
163,147.9793811,2021-10-06,,,
164,105.6796762,2021-10-08,,,
165,143.1685582,2021-10-12,,,
166,153.3388569,2021-10-18,,,
167,33.45988899,2021-10-20,,,
168,174.9437531,2021-10-24,,,
169,201.3944794,2021-10-30,,,
170,208.2779973,2021-11-01,,,
171,209.9878586,2021-11-13,,,
172,211.1835401,2021-11-17,,,
173,214.184551,2021-11-23,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,+
