Key*,total,data
1,24.83716489,2018-09-06
2,30.29732214,2018-09-10
3,16.78072723,2018-09-18
4,24.6323389,2018-09-22
5,1.948893025,2018-09-30
6,23.94703802,2018-10-04
7,29.12683352,2018-10-12
8,47.36011737,2018-10-16
9,10.73958257,2018-10-24
10,83.00565502,2018-10-28
11,127.5412517,2018-11-05
12,39.23894589,2018-11-09
13,13.01040768,2018-11-17
14,24.01178048,2019-04-10
15,26.39531949,2019-04-22
16,31.51280319,2019-05-04
17,69.04026193,2019-05-08
18,26.63961019,2019-05-16
19,70.88001035,2019-05-20
20,30.29008749,2019-05-28
21,16.16577842,2019-06-09
22,82.92362976,2019-06-25
23,50.01392271,2019-07-03
24,15.08314647,2019-07-15
25,70.02066503,2019-08-12
26,25.30465036,2019-08-20
27,15.28330769,2019-09-01
28,101.1581425,2019-09-05
29,22.76960432,2019-09-17
30,69.27111607,2019-09-25
31,83.85004813,2019-10-07
32,79.62998242,2019-10-11
33,65.7001418,2019-10-23
34,25.96528852,2019-10-31
35,29.17758817,2019-11-04
36,16.84375503,2019-11-12
37,64.42361611,2019-11-22
38,83.95449743,2019-11-28
39,101.9945021,2019-12-18
40,44.34946432,2019-12-30
41,104.3953611,2020-01-03
42,89.75919721,2020-01-09
43,121.3627589,2020-02-04
44,93.37020965,2020-02-26
45,113.9816951,2020-02-28
46,83.88526415,2020-03-03
47,66.16761963,2020-03-09
48,24.94170392,2020-03-11
49,22.78199351,2020-03-23
50,50.37433249,2020-03-27
51,82.30612009,2020-04-02
52,84.60824515,2020-04-08
53,97.87133466,2020-04-14
54,90.95012355,2020-04-20
55,60.31691499,2020-05-26
56,48.61285878,2020-06-01
57,18.89652539,2020-06-25
58,24.24645169,2020-07-01
59,9.248106028,2020-07-07
60,12.4481182,2020-07-13
61,8.167631115,2020-07-21
62,7.735711363,2020-08-12
63,11.49063222,2020-08-14
64,43.20833195,2020-08-18
65,23.84781119,2020-08-24
66,17.75056025,2020-09-07
67,45.99352777,2020-09-17
68,14.20235161,2020-09-23
69,12.69560497,2020-10-01
70,21.86546906,2020-10-05
71,38.51333028,2021-03-04
72,17.49485816,2021-03-06
73,48.8548601,2021-03-10
74,36.68452307,2021-03-16
75,14.34131787,2021-03-18
76,48.42472052,2021-03-22
77,30.55484564,2021-03-28
78,21.47854533,2021-03-30
79,33.63253598,2021-04-03
80,41.00872169,2021-04-09
81,20.55330516,2021-04-11
82,31.1441883,2021-04-15
83,19.23258723,2021-04-21
84,16.83583385,2021-04-23
85,28.54812087,2021-04-27
86,44.25847031,2021-05-03
87,57.58350237,2021-05-05
88,31.62988575,2021-05-09
89,32.55723153,2021-05-15
90,20.05470877,2021-05-17
91,20.58394111,2021-05-27
92,18.54506322,2021-05-29
93,29.58131079,2021-06-02
94,33.81367069,2021-06-08
95,18.440854,2021-06-10
96,35.14443386,2021-06-14
97,34.03737016,2021-06-20
98,61.17771283,2021-06-22
99,26.00243595,2021-06-26
100,16.41810461,2021-07-02
101,23.56645939,2021-07-04
102,15.21681798,2021-07-08
103,17.88512297,2021-07-14
104,13.24556756,2021-07-16
105,34.48018357,2021-07-20
106,37.45184458,2021-07-26
107,62.79243131,2021-07-28
108,40.5839843,2021-08-01
109,13.34486627,2021-08-07
110,16.55582491,2021-08-09
111,22.28562153,2021-08-13
112,13.77874273,2021-08-21
113,25.40328186,2021-08-25
114,18.84928185,2021-08-31
115,23.21890313,2021-09-02
116,15.41123715,2021-09-06
117,26.03961369,2021-09-12
118,28.92154054,2021-09-18
119,18.77277538,2021-09-24
120,17.47093,2021-09-26
121,22.17911227,2021-09-30
122,26.46870329,2021-10-06
123,14.81157853,2021-10-08
124,26.54893041,2021-10-12
125,25.3706314,2021-10-18
126,18.22454187,2021-10-20
127,30.56907152,2021-10-24
128,28.66981287,2021-10-30
129,34.94948183,2021-11-01
130,21.588549,2021-11-13
131,40.2620605,2021-11-17
132,31.26853621,2021-11-23
133,45.35387947,2021-11-25
134,37.07569073,2021-11-29
135,34.08816865,2021-12-05
136,49.37556444,2021-12-07
137,41.38471378,2021-12-11
