Key*,total,data
1,53.06326706,2018-09-10
2,25.42071459,2018-10-04
3,24.80337098,2018-10-12
4,34.41453081,2018-10-16
5,31.76045987,2018-11-09
6,63.31306433,2018-11-21
7,63.08547987,2018-12-03
8,70.58135681,2018-12-11
9,66.6348087,2018-12-15
10,67.89727657,2018-12-27
11,71.2448828,2019-01-04
12,69.99111322,2019-01-28
13,63.59046533,2019-02-25
14,65.00432999,2019-03-09
15,72.26141081,2019-03-17
16,51.82823887,2019-05-08
17,45.13555141,2019-05-20
18,55.84690612,2019-07-19
19,66.06551035,2019-07-31
20,65.86999607,2019-08-12
21,70.05989687,2019-09-05
22,62.26576668,2019-09-17
23,67.0123503,2019-09-25
24,63.36641565,2019-10-07
25,64.58060543,2019-10-11
26,59.23478143,2019-10-23
27,57.18108073,2019-11-04
28,61.75204238,2019-11-22
29,64.3437912,2019-11-28
30,65.95490587,2019-12-18
31,65.44567501,2020-01-03
32,63.67408722,2020-01-09
33,78.80050474,2020-02-04
34,66.39006892,2020-02-26
35,59.86844886,2020-03-03
36,50.89267542,2020-03-09
37,48.46097515,2020-05-26
38,37.55124442,2020-06-01
39,22.54804703,2020-06-25
40,23.7337288,2020-07-07
41,26.00254367,2020-07-19
42,31.12057544,2020-08-18
43,30.44460865,2020-08-24
44,24.88242355,2020-09-07
45,25.54675248,2020-09-23
46,23.29868273,2020-10-05
47,50.15938115,2020-11-04
48,54.03193249,2020-11-10
49,57.60971056,2020-11-16
50,64.76785351,2020-12-04
51,60.63781504,2020-12-10
52,65.56338049,2021-01-15
53,69.67867132,2021-01-21
54,66.91115355,2021-01-27
55,67.17959527,2021-03-10
56,70.06362234,2021-03-22
57,65.99015946,2021-04-09
58,32.83147842,2021-05-09
59,34.35839505,2021-06-02
60,37.48593724,2021-06-08
61,41.05927049,2021-06-14
62,47.55919135,2021-06-20
63,46.67786495,2021-06-26
64,51.40036561,2021-07-20
65,41.64501104,2021-09-12
66,45.7541189,2021-10-30
67,48.69072701,2021-11-01
68,52.90556263,2021-11-13
69,62.57576242,2021-11-17
70,60.01190448,2021-11-23
71,65.00956492,2021-11-25
72,63.58519069,2021-11-29
73,61.26531508,2021-12-05
74,68.06223445,2021-12-07
75,66.6517266,2021-12-11
76,63.66585414,2021-12-19
77,61.21511072,2021-12-23
78,68.08564217,2021-12-31
79,64.1409096,2022-01-04
80,60.38740873,2022-01-12
81,57.99186025,2022-01-16
82,58.5660747,2022-01-24
83,55.70902402,2022-01-28
84,53.92156768,2022-02-09
85,46.35392128,2022-02-17
86,51.34210667,2022-02-21
87,46.44672628,2022-03-01
88,46.65674378,2022-03-05
