Key*,total,data
1,26.33853958,2018-09-10
2,58.67308428,2018-09-18
3,78.59512658,2018-09-22
4,2.042282911,2018-09-30
5,125.1417569,2018-10-04
6,113.5077594,2018-10-12
7,133.0502398,2018-10-16
8,126.4791648,2018-10-24
9,144.7148075,2018-10-28
10,157.6472609,2018-11-05
11,146.8023164,2018-11-09
12,129.8424274,2018-11-17
13,141.7252984,2018-12-11
14,149.8146485,2018-12-15
15,137.5089969,2018-12-23
16,146.7360981,2018-12-27
17,151.1030778,2019-01-28
18,130.7826111,2019-02-21
19,147.8758597,2019-02-25
20,120.7322891,2019-03-05
21,147.2263503,2019-03-09
22,142.3507672,2019-03-17
23,125.1234661,2019-03-21
24,111.577162,2019-03-29
25,130.2960283,2019-04-02
26,96.89147382,2019-04-10
27,88.40066412,2019-04-22
28,109.4081454,2019-05-04
29,120.3375726,2019-05-08
30,96.61854537,2019-05-16
31,117.0510266,2019-05-20
32,102.9108268,2019-05-28
33,60.50454897,2019-06-09
34,107.1776054,2019-06-25
35,97.41966974,2019-07-03
36,2.915319249,2019-07-15
37,86.27906313,2019-07-19
38,104.7354756,2019-07-31
39,80.59999284,2019-08-08
40,91.42228632,2019-08-12
41,63.87590662,2019-08-20
42,59.21762974,2019-09-01
43,86.75656151,2019-09-05
44,77.93411012,2019-09-17
45,103.6396563,2019-09-25
46,91.19205266,2019-10-07
47,90.91144723,2019-10-11
48,76.85443968,2019-10-23
49,53.38571088,2019-10-31
50,62.6094071,2019-11-04
51,64.3904382,2019-11-12
52,82.46865249,2019-11-22
53,89.27034091,2019-11-28
54,80.92939995,2019-12-18
55,32.4037432,2019-12-30
56,85.68539786,2020-01-03
57,80.2142802,2020-01-09
58,90.39382044,2020-02-04
59,75.13048204,2020-02-26
60,82.35766586,2020-02-28
61,65.33178427,2020-03-03
62,53.72918623,2020-03-09
63,35.00090042,2020-03-11
64,28.63874314,2020-03-23
65,46.0217122,2020-03-27
66,66.07577967,2020-04-02
67,67.75799159,2020-04-08
68,83.65612636,2020-04-14
69,71.58192372,2020-04-20
70,199.313814,2020-05-26
71,49.60606512,2020-06-01
72,23.68260481,2020-06-03
73,42.4667129,2020-06-25
74,61.25496916,2020-07-01
75,53.32928477,2020-07-07
76,65.2000713,2020-07-13
77,56.098303,2020-07-21
78,90.16731948,2020-08-12
79,82.51755835,2020-08-14
80,101.8344042,2020-08-18
81,100.0399685,2020-08-24
82,88.75597963,2020-08-26
83,80.94297563,2020-09-07
84,100.7225478,2020-09-17
85,91.32959897,2020-09-23
86,102.1231384,2020-10-01
87,142.4560217,2020-10-05
88,121.5182718,2020-10-23
89,131.2438268,2020-10-29
90,125.062771,2020-11-04
91,134.0965966,2020-11-10
92,146.9851125,2020-11-16
93,145.2074441,2021-01-15
94,149.8749169,2021-01-21
95,142.5699566,2021-01-27
96,109.2386932,2021-02-22
97,104.4162641,2021-02-26
98,118.7999858,2021-03-04
99,89.73649026,2021-03-06
100,117.4296713,2021-03-10
101,102.383189,2021-03-16
102,73.86697609,2021-03-18
103,106.8371521,2021-03-22
104,84.95497011,2021-03-28
105,68.44883277,2021-03-30
106,87.36859935,2021-04-03
107,89.94626614,2021-04-09
108,43.40890333,2021-04-11
109,75.32822739,2021-04-15
110,64.33889834,2021-04-21
111,59.63152506,2021-04-23
112,71.60460305,2021-04-27
113,83.70907538,2021-05-03
114,89.87475477,2021-05-05
115,77.42760503,2021-05-09
116,82.25627442,2021-05-15
117,67.37973026,2021-05-17
118,80.17527729,2021-05-27
119,67.76947902,2021-05-29
120,86.90511828,2021-06-02
121,83.38031892,2021-06-08
122,70.60684641,2021-06-10
123,89.98007823,2021-06-14
124,90.17516222,2021-06-20
125,100.1042611,2021-06-22
126,83.75998471,2021-06-26
127,73.62848065,2021-07-02
128,72.95829745,2021-07-04
129,73.02328205,2021-07-08
130,71.54223718,2021-07-14
131,48.48472909,2021-07-16
132,92.42383669,2021-07-20
133,90.44238326,2021-07-26
134,102.6133695,2021-07-28
135,93.56148587,2021-08-01
136,57.69837806,2021-08-07
137,61.70767996,2021-08-09
138,64.72943819,2021-08-13
139,56.57980809,2021-08-21
140,69.15636298,2021-08-25
141,72.07229621,2021-08-31
142,73.76769062,2021-09-02
143,69.01666643,2021-09-06
144,107.9775581,2021-09-12
145,110.1043342,2021-09-18
146,113.6038708,2021-09-24
147,111.4056878,2021-09-26
148,121.5391349,2021-09-30
149,133.558956,2021-10-06
150,94.5529453,2021-10-08
151,139.4119051,2021-10-12
152,140.9631254,2021-10-18
153,129.7880153,2021-10-20
154,143.1869843,2021-10-24
155,142.6830867,2021-10-30
156,144.5872603,2021-11-01
157,132.5206493,2021-11-13
158,149.5148996,2021-11-17
159,146.7153874,2021-11-23
160,154.1823612,2021-11-25
161,147.7036003,2021-11-29
162,146.5699262,2021-12-05
163,156.9544343,2021-12-07
164,152.4397677,2021-12-11
