Key*,total,data
1,100.7587134,2018-09-22
2,106.6787022,2018-10-04
3,114.9038099,2018-10-16
4,121.4647563,2018-11-09
5,127.8682055,2018-11-21
6,141.5231461,2018-12-11
7,120.5309591,2018-12-27
8,127.141371,2019-01-28
9,131.3874881,2019-02-25
10,115.0295076,2019-03-21
11,113.6573695,2019-04-02
12,83.36209093,2019-05-16
13,102.6522342,2019-10-23
14,107.3492135,2019-11-28
15,122.5897293,2020-03-27
16,113.645127,2020-10-05
17,116.4461781,2020-11-10
18,143.9416838,2021-01-15
19,151.5781525,2021-01-21
20,141.2369607,2021-01-27
21,111.578948,2021-02-26
22,141.7760684,2021-03-04
23,156.1336133,2021-03-10
24,143.1240541,2021-03-16
25,146.0998699,2021-03-22
26,120.0932586,2021-03-28
27,132.6306259,2021-04-03
28,151.5468344,2021-04-09
29,152.991641,2021-05-03
30,158.7683949,2021-05-05
31,132.9652631,2021-05-09
32,126.6051588,2021-05-15
33,98.99864224,2021-05-17
34,105.0158769,2021-05-27
35,134.9344507,2021-06-02
36,110.0423816,2021-06-08
37,140.3431212,2021-06-14
38,139.6868364,2021-06-20
39,158.0134923,2021-06-22
40,128.5074746,2021-06-26
41,103.5288471,2021-07-08
42,94.07286635,2021-07-14
43,144.2506736,2021-07-20
44,154.5631026,2021-07-26
45,169.3045967,2021-07-28
46,154.458583,2021-08-01
47,118.4039383,2021-08-13
48,123.3151071,2021-08-25
49,110.4194875,2021-08-31
50,106.2413432,2021-09-02
51,101.5267899,2021-09-06
52,137.0534612,2021-09-12
53,105.9796231,2021-09-18
54,102.7809017,2021-09-24
55,116.2050767,2021-09-30
56,111.7375458,2021-10-06
57,107.5317305,2021-10-12
58,109.6626758,2021-10-18
59,115.9948413,2021-10-24
60,119.8832586,2021-10-30
61,117.0496867,2021-11-01
62,120.7384506,2021-11-17
63,113.6643727,2021-11-23
64,110.7570496,2021-12-19
65,114.3018246,2021-12-23
66,110.9679082,2022-01-04
67,108.3233366,2022-01-12
68,116.7090397,2022-01-16
69,109.4152846,2022-01-24
70,110.4123402,2022-01-28
71,105.5422916,2022-02-09
