Key*,total,data
1,134.7399705,2018-09-22
2,137.0243557,2018-10-04
3,137.3918191,2018-10-16
4,141.475085,2018-10-28
5,150.3110118,2018-11-05
6,139.3793095,2018-11-09
7,142.2155205,2018-11-21
8,130.9622168,2018-11-29
9,144.1151869,2018-12-03
10,144.9253329,2018-12-11
11,140.8077214,2018-12-15
12,139.4863466,2018-12-27
13,141.2648818,2019-01-04
14,148.3912207,2019-01-28
15,147.5620464,2019-02-25
16,148.748755,2019-03-09
17,143.2379312,2019-03-17
18,138.8539432,2019-03-21
19,138.6767812,2019-04-02
20,113.3626266,2019-04-10
21,113.6661896,2019-04-22
22,122.3373414,2019-05-28
23,135.3691325,2019-06-25
24,134.8639564,2019-07-31
25,133.9191709,2019-09-17
26,135.1946474,2019-09-25
27,137.3536833,2019-10-11
28,136.06429,2019-10-23
29,131.5830586,2019-11-04
30,126.1538289,2019-11-12
31,138.5100171,2019-11-22
32,137.9773877,2019-11-28
33,127.457544,2019-12-18
34,125.56708,2020-10-05
35,124.3786171,2020-10-29
36,124.4314649,2020-11-04
37,131.4843746,2020-11-10
38,136.0321132,2020-11-16
39,141.9781341,2020-12-04
40,138.018781,2020-12-10
41,142.2835334,2021-01-15
42,145.6419045,2021-01-21
43,144.2334767,2021-01-27
44,130.4462479,2021-02-26
45,142.2577984,2021-03-04
46,148.7260033,2021-03-10
47,151.9076544,2021-03-22
48,130.0589541,2021-03-28
49,134.155605,2021-04-03
50,141.6119423,2021-04-09
51,134.8858515,2021-04-27
52,137.8195819,2021-05-03
53,141.095624,2021-05-05
54,129.5030716,2021-05-27
55,121.9875536,2021-05-29
56,132.2001913,2021-06-02
57,130.2536117,2021-06-08
58,120.3647591,2021-06-10
59,133.4374195,2021-06-14
60,132.857208,2021-06-20
61,142.3876756,2021-06-22
62,130.6296631,2021-06-26
63,125.3367914,2021-07-02
64,124.3861332,2021-07-04
65,126.5235781,2021-07-08
66,133.3973204,2021-07-14
67,138.9027022,2021-07-20
68,140.4381754,2021-07-26
69,148.031005,2021-07-28
70,136.3057389,2021-08-01
71,129.8128853,2021-08-31
72,128.8734781,2021-09-02
73,131.911651,2021-09-06
74,129.4992317,2021-09-12
75,129.1281589,2021-09-18
76,124.0363006,2021-09-24
77,121.8376378,2021-09-26
78,127.529182,2021-09-30
79,128.5584946,2021-10-06
80,130.5360252,2021-10-12
81,131.8584937,2021-10-18
82,133.2758195,2021-10-24
83,132.7798827,2021-10-30
84,135.4225962,2021-11-01
85,136.5907712,2021-11-17
86,135.788685,2021-11-23
87,143.0529107,2021-11-25
88,139.6271022,2021-11-29
89,141.7942953,2021-12-05
90,147.4236658,2021-12-07
91,143.2329164,2021-12-11
92,136.7288067,2021-12-17
93,136.1500082,2021-12-19
94,138.0891398,2021-12-23
95,138.2279551,2021-12-31
96,136.9914762,2022-01-04
97,136.2892033,2022-01-12
98,139.8736154,2022-01-16
99,134.9557576,2022-01-24
100,139.8715358,2022-01-28
101,139.8881181,2022-02-09
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
