Key*,total,data
1,96,2015-03-30
2,88.426,2016-01-12
3,83.435,2016-02-05
4,83.934,2016-02-29
5,94.786,2016-03-24
6,61.241,2016-05-23
7,67.462,2016-06-28
8,59.773,2016-07-22
9,67.461,2016-08-03
10,80.134,2016-08-15
11,63.675,2016-09-08
12,67.351,2016-09-20
13,71.534,2016-10-14
14,75.836,2016-10-26
15,143.838,2016-11-07
16,161.842,2016-12-01
17,162.004,2016-12-13
18,164.35,2017-01-06
19,164.355,2017-01-18
20,155.905,2017-03-07
21,86.952,2017-03-27
22,120.838,2017-04-12
23,109.933,2017-04-24
24,135.603,2017-05-30
25,128.724,2017-06-07
26,133.652,2017-06-23
27,136.874,2017-07-05
28,141.126,2017-08-10
29,137.484,2017-08-22
30,141.623,2017-09-15
31,134.107,2017-09-27
32,150.899,2017-11-10
33,154.207,2017-11-14
34,153.459,2017-11-22
35,162.146,2017-12-04
36,164.534,2018-01-25
37,159.777,2018-02-02
38,139.499,2018-02-26
39,140.272,2018-03-22
40,82.738,2018-04-03
41,88.294,2018-05-09
42,83.816,2018-06-14
43,83.299,2018-06-27
44,84.462,2018-07-12
45,74.695,2018-08-01
46,78.629,2018-08-17
47,79.749,2018-08-29
48,66.951,2018-09-06
49,69.658,2018-09-10
50,66.898,2018-09-18
51,72.617,2018-11-05
52,81.007,2018-11-21
53,83.705,2018-12-11
54,91.374,2018-12-27
55,101.697,2019-01-04
56,105.142,2019-01-08
57,91,2019-01-16
58,96.313,2019-01-28
59,95.481,2019-02-13
60,81.55,2019-02-21
61,71.396,2019-03-05
62,52.49,2019-05-16
63,54.413,2019-05-28
64,64.599,2019-06-13
65,54.614,2019-06-21
66,68.451,2019-06-25
67,38.752,2019-07-15
68,40.647,2019-08-08
69,48.917,2019-08-20
70,67.818,2019-09-17
71,95.303,2019-10-11
72,92.927,2019-10-23
73,95.256,2019-10-31
74,152.59,2019-11-12
75,166.526,2019-12-16
76,142.505,2019-12-30
77,161.22,2020-01-03
78,161.245,2020-01-09
79,156.122,2020-01-15
80,149.826,2020-01-21
81,118.733,2020-02-14
82,124.189,2020-02-20
83,117.259,2020-02-26
84,82.098,2020-04-14
85,87.968,2020-04-20
86,74.671,2020-05-20
87,66.185,2020-06-01
88,71.194,2020-06-15
89,70.831,2020-06-25
90,37.469,2020-07-21
91,95.077,2020-08-18
92,101.401,2020-09-23
93,111.697,2020-09-29
94,120.794,2020-10-05
95,124.415,2020-11-04
96,161.735,2020-11-10
97,151.335,2021-01-09
98,152.509,2021-01-15
99,153.462,2021-01-21
100,150.028,2021-01-27
101,151.235,2021-01-29
102,145.164,2021-02-02
103,137.508,2021-02-10
104,101.457,2021-02-26
105,99.509,2021-03-06
106,118.612,2021-03-10
107,106.325,2021-03-22
108,89.876,2021-04-03
109,90.897,2021-04-09
110,79.267,2021-04-15
111,76.118,2021-04-21
112,76.153,2021-05-09
113,52.516,2021-05-17
114,52.135,2021-06-10
115,76.235,2021-06-14
116,67.204,2021-06-22
117,53.021,2021-07-04
118,51.158,2021-07-14
119,52.617,2021-07-20
120,56.363,2021-07-26
121,50.475,2021-08-01
122,40.397,2021-08-31
123,40.449,2021-09-02
124,50.324,2021-09-14
125,49.015,2021-09-18
126,61.458,2021-09-30
127,92.91,2021-10-18
128,83.691,2021-10-20
129,94.143,2021-10-24
130,115.374,2021-10-30
131,146.745,2021-11-13
132,165.577,2021-11-25
133,161.694,2021-11-29
134,163.02,2021-12-07
135,179.0545126,2021-12-23
136,179.7135035,2021-12-31
137,135.5144914,2022-01-24
138,166.8509706,2022-01-28
139,164.502767,2022-02-09
140,89.68965106,2022-02-17
141,159.1320526,2022-02-21
142,97.62366357,2022-03-01
143,123.8243708,2022-03-05
144,123.8243708,2022-03-06
