Key*,total,data
1,84.9893006,2020-04-16
2,72.84915198,2020-04-14
3,75.47552763,2020-08-06
4,63.91699161,2021-06-22
5,71.78099183,2021-07-20
6,43.26471265,2021-05-27
7,52.20252162,2021-06-03
8,87.05852931,2021-06-08
9,67.61480508,2021-06-14
10,54.43183212,2020-03-27
11,56.2018029,2021-04-27
12,58.11922814,2020-03-09
13,58.76755052,2020-02-14
14,50.46291562,2020-02-04
15,56.32039384,2020-11-06
16,56.32039384,2021-07-20
17,59.84611026,2021-07-26
18,44.09252654,2021-07-28
19,55.67253582,2021-08-01
20,43.19794919,2021-08-07
21,41.22911009,2021-08-09
22,41.70259687,2021-08-13
23,48.33431237,2021-08-21
24,56.13938622,2021-08-25
25,57.06805599,2021-08-31
26,52.46467838,2021-09-02
27,59.36476292,2021-09-06
28,69.89051682,2021-09-12
29,59.30489712,2021-09-14
30,70.50137282,2021-09-18
31,71.95423645,2021-09-24
32,67.59590542,2021-09-26
33,73.84650562,2021-09-30
34,78.40749935,2021-10-06
35,80.9480686,2021-10-08
36,83.92058126,2021-10-12
37,88.8736751,2021-10-18
38,76.20962986,2021-10-20
39,91.29029543,2021-10-24
40,91.62107826,2021-10-30
41,84.67103999,2021-11-01
42,94.05564965,2021-11-13
43,92.79336244,2021-11-17
44,93.35284078,2021-11-23
45,58.60992332,2021-11-25
46,94.15991723,2021-11-29
47,93.80003718,2021-12-05
48,86.13876315,2021-12-07
49,95.12669249,2021-12-11
