Key*,total,data
1,72.21597792,2018-09-06
2,20.33500184,2018-09-10
3,34.17097079,2018-09-18
4,15.96088415,2018-09-22
5,39.21289895,2018-09-30
6,13.67320661,2018-10-04
7,44.62395478,2018-10-12
8,33.84331725,2018-10-16
9,15.31227443,2018-10-24
10,38.30206222,2018-10-28
11,57.42322269,2018-11-05
12,19.29612054,2018-11-09
13,16.72621485,2018-11-17
14,37.38957391,2018-11-21
15,36.9482596,2018-11-29
16,39.18251144,2018-12-03
17,48.67990451,2018-12-11
18,32.54354915,2018-12-15
19,47.51278589,2018-12-23
20,32.70134102,2018-12-27
21,38.81394052,2019-01-04
22,57.26550774,2019-01-28
23,57.51869872,2019-02-21
24,47.2947241,2019-02-25
25,54.31080394,2019-03-05
26,43.46102863,2019-03-09
27,47.21871478,2019-03-17
28,41.28433963,2019-03-21
29,51.32955074,2019-03-29
30,39.4489987,2019-04-02
31,55.51465097,2019-04-10
32,61.32553333,2019-04-22
33,60.25756925,2019-05-04
34,45.1442998,2019-05-08
35,51.85173254,2019-05-16
36,43.02790995,2019-05-20
37,44.82536165,2019-05-28
38,49.62437012,2019-06-09
39,41.33843118,2019-06-25
40,24.92071458,2019-07-03
41,32.00306307,2019-07-15
42,29.35317088,2019-07-19
43,31.50986315,2019-07-31
44,49.94307122,2019-08-08
45,38.62779622,2019-08-12
46,57.97407854,2019-08-20
47,26.46606969,2019-09-01
48,43.1656915,2019-09-05
49,19.65870492,2019-09-17
50,35.9979377,2019-09-25
51,44.87403456,2019-10-07
52,36.65075095,2019-10-11
53,33.8191192,2019-10-23
54,55.39044874,2019-10-31
55,19.20895435,2019-11-04
56,24.38115216,2019-11-12
57,32.76411583,2019-11-22
58,34.87795747,2019-11-28
59,65.90045167,2019-12-18
60,67.77541199,2019-12-30
61,52.65493921,2020-01-03
62,52.62279977,2020-01-09
63,70.54538125,2020-02-04
64,48.02383935,2020-02-26
65,68.11722512,2020-02-28
66,49.56937881,2020-03-03
67,47.75386937,2020-03-09
68,65.33382915,2020-03-11
69,64.33090648,2020-03-23
70,47.2869178,2020-03-27
71,44.28416236,2020-04-02
72,44.47624805,2020-04-08
73,42.98819057,2020-04-14
74,41.73455269,2020-04-20
75,36.69593169,2020-05-26
76,33.62729358,2020-06-01
77,26.22586751,2020-06-25
78,9.851095268,2020-07-01
79,16.72160387,2020-07-07
80,18.78822589,2020-07-13
81,30.92205728,2020-07-21
82,3.422757224,2020-08-12
83,27.96620676,2020-08-14
84,19.24914546,2020-08-18
85,14.79337062,2020-08-24
86,36.01378807,2020-09-07
87,19.4100744,2020-09-17
88,8.570540449,2020-09-23
89,26.90135762,2020-10-01
90,14.18004977,2020-10-05
91,23.70650973,2020-10-29
92,23.13193346,2020-11-04
93,19.48891282,2020-11-10
94,21.61962244,2020-11-16
95,23.77956904,2020-12-04
96,23.68393728,2020-12-10
97,26.15561964,2021-01-15
98,25.49403006,2021-01-21
99,24.64968913,2021-01-27
100,34.22667313,2021-02-22
101,26.00148975,2021-02-26
102,24.25265248,2021-03-04
