Key*,total,data
1,134.9441847,2020-10-11
2,131.6185866,2020-10-01
3,135.1641847,2020-09-11
4,120.1408674,2020-07-09
5,79.1454715,2020-07-07
6,131.6587818,2020-07-01
7,131.6721801,2020-06-01
8,132.0473347,2020-05-10
9,102.5418047,2020-05-08
10,118.9130258,2020-05-02
11,102.7464449,2020-04-08
12,119.4246264,2020-04-02
13,134.7841847,2020-03-11
14,118.8107057,2020-03-09
15,106.2253294,2020-03-03
16,93.23067267,2020-02-04
17,116.8666231,2020-01-09
18,134.7241847,2019-11-12
19,135.4041847,2019-11-10
20,131.9044187,2019-11-04
21,131.6364511,2019-10-07
22,130.1682403,2019-09-05
23,131.81063,2019-08-08
24,134.9441847,2019-07-03
25,131.6141205,2019-06-09
26,131.8374268,2019-05-08
27,132.0116057,2019-05-04
28,131.6007221,2019-03-09
29,135.4041847,2019-02-01
30,131.882088,2019-01-08
31,132.0875298,2019-01-04
32,135.2241847,2018-12-11
33,145,2018-10-12
34,137,2018-09-10
