Key*, total, data
1,0.07,2018-09-06
2,0.07,2018-09-10
3,0.08,2018-10-04
4,0.08,2018-10-12
5,0.08,2018-11-05
6,0.08,2018-11-09
7,0.15,2018-12-03
8,0.15,2018-12-11
9,0.16,2019-01-04
10,0.15,2019-03-05
11,0.15,2019-03-09
12,0.14,2019-04-02
13,0.14,2019-04-10
14,0.13,2019-05-04
15,0.13,2019-05-08
16,0.12,2019-06-09
17,0.12,2019-07-03
18,0.11,2019-08-08
19,0.11,2019-08-12
20,0.1,2019-09-01
21,0.1,2019-09-05
22,0.12,2019-10-07
23,0.12,2019-10-11
24,0.13,2019-11-04
25,0.13,2019-11-12
26,0.12,2020-01-03
27,0.12,2020-01-09
28,0.12,2020-02-04
29,0.11,2020-03-03
30,0.1,2020-03-09
31,0.1,2020-03-11
32,0.07,2020-04-02
33,0.09,2020-04-08
34,0.08,2020-06-01
35,0.08,2020-06-03
36,0.08,2020-07-01
37,0.07,2020-07-07
38,0.07,2020-08-12
39,0.07,2020-09-07
40,0.07,2020-10-01
41,0.07,2020-10-05
42,0.11,2020-11-04
43,0.11,2020-11-10
44,0.16,2020-12-04
45,0.15,2020-12-10
46,0.15,2021-01-15
47,0.15,2021-01-21
48,0.15,2021-01-27
49,0.15,2021-02-22
50,0.15,2021-02-26
51,0.14,2021-03-04
