Key*,total,data
1,0.27366028,2018-09-10
2,0.299760743,2018-11-05
3,0.29510574,2018-11-09
4,0.360589073,2018-12-03
5,0.333969623,2018-12-11
6,0.331527001,2019-01-04
7,0.366305329,2019-03-09
8,0.349501293,2019-07-03
9,0.332849803,2019-08-12
10,0.360993713,2019-09-05
11,0.311259966,2019-10-07
12,0.335577151,2019-10-11
13,0.325502867,2019-11-04
14,0.338931163,2020-01-03
15,0.354667141,2020-01-09
16,0.328411422,2020-02-04
17,0.367718057,2020-03-03
18,0.319042824,2020-03-09
19,0.352719028,2020-04-02
20,0.335660257,2020-04-08
21,0.3053707,2020-06-01
22,0.309122526,2020-07-01
23,0.303270019,2020-11-10
24,0.371705506,2020-12-04
25,0.34947267,2020-12-10
26,0.354336111,2021-01-15
27,0.369715174,2021-01-21
28,0.36562965,2021-01-27
29,0.292153601,2021-02-22
30,0.337661462,2021-02-26
31,0.365235909,2021-03-04
32,0.381688497,2021-03-10
33,0.369106248,2021-03-16
34,0.348430481,2021-03-22
35,0.335924531,2021-03-28
36,0.342278323,2021-04-03
37,0.370679701,2021-04-09
38,0.329524404,2021-04-15
39,0.306049137,2021-04-21
40,0.336615214,2021-04-27
41,0.346504199,2021-05-03
42,0.32883781,2021-05-05
43,0.319944679,2021-05-09
44,0.325036967,2021-05-15
45,0.306743914,2021-05-27
46,0.32098682,2021-06-02
47,0.296322264,2021-06-08
48,0.328930435,2021-06-14
49,0.332168637,2021-06-20
50,0.326561394,2021-06-22
51,0.324113315,2021-06-26
52,0.262972991,2021-07-02
53,0.282077985,2021-07-08
54,0.289740958,2021-07-14
55,0.331303576,2021-07-20
56,0.368282026,2021-07-26
57,0.353840204,2021-07-28
58,0.360805707,2021-08-01
59,0.266099489,2021-08-07
60,0.293195779,2021-08-13
61,0.275131579,2021-08-25
62,0.263320385,2021-08-31
63,0.242477094,2021-09-02
64,0.259933683,2021-09-06
65,0.363715568,2021-09-12
66,0.347881486,2021-09-18
67,0.337530685,2021-09-24
68,0.344956621,2021-09-30
69,0.337401266,2021-10-06
70,0.344434861,2021-10-12
71,0.352251772,2021-10-18
72,0.351860782,2021-10-24
73,0.336619293,2021-10-30
74,0.332272202,2021-11-01
75,0.340093184,2021-11-17
76,0.343526199,2021-11-23
77,0.345651412,2021-11-25
78,0.345304001,2021-11-29
79,0.349820053,2021-12-05
80,0.347327034,2021-12-07
81,0.37969544,2021-12-11
82,0.331408481,2021-12-17
83,0.302575259,2021-12-19
84,0.338356242,2021-12-23
85,0.320639443,2021-12-31
86,0.340093192,2022-01-04
87,0.324113345,2022-01-12
88,0.337066131,2022-01-16
89,0.314386463,2022-01-24
90,0.353988713,2022-01-28
91,0.340787948,2022-02-09
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
