Key*, total, data
1,2.85,2018-09-10
2,2.85,2018-09-10
3,5.35,2018-10-12
4,1.37,2018-11-09
5,1.37,2018-11-09
6,3.98,2018-12-11
7,3.49,2019-01-04
8,3.39,2019-01-08
9,5.11,2019-02-01
10,2.95,2019-03-09
11,3.27,2019-05-04
12,3.41,2019-05-08
13,2.89,2019-06-09
14,4.41,2019-07-03
15,3.41,2019-08-08
16,2.44,2019-09-05
17,3.1,2019-10-07
18,3.08,2019-11-04
19,3.34,2019-11-10
20,3.28,2019-11-12
21,0.58,2020-01-09
22,1.4,2020-02-04
23,2.01,2020-03-03
24,0.56,2020-03-09
25,2.37,2020-03-11
26,2.43,2020-04-02
27,0.49,2020-04-08
28,2.42,2020-05-02
29,0.49,2020-05-08
30,0.48,2020-05-10
31,2.97,2020-06-01
32,2.96,2020-07-01
33,0.38,2020-07-07
34,0.53,2020-07-09
35,2.34,2020-09-11
36,2.94,2020-10-01
