Key*,total,data
1,2.049483677,2018-11-09
2,2.049483677,2018-11-09
3,2.491815291,2018-12-11
4,2.484223635,2019-01-04
5,2.482935865,2019-01-08
6,2.45520041,2019-02-01
7,2.36775318,2019-03-09
8,1.5960104,2019-05-08
9,2.068225805,2019-09-05
10,2.075353307,2019-10-07
11,1.74540224,2019-11-04
12,2.014752794,2020-01-09
13,2.106376706,2020-03-03
14,1.80893872,2020-03-09
15,2.109613552,2020-04-02
16,1.413345462,2020-05-02
17,1.814844178,2020-05-08
18,1.714455124,2020-06-01
19,2.383712213,2021-03-10
20,2.299693122,2021-03-16
21,1.929880067,2021-03-28
22,1.944699652,2021-04-03
23,2.132923198,2021-04-09
24,1.63357097,2021-04-15
25,1.417918109,2021-04-21
26,1.718408212,2021-04-27
27,1.986689565,2021-05-03
28,2.291734944,2021-05-05
29,1.386872163,2021-05-09
30,1.31718489,2021-05-15
31,1.410696625,2021-05-27
32,1.50782201,2021-06-02
33,1.513344311,2021-06-08
34,1.634006266,2021-06-14
35,1.880084483,2021-06-22
36,1.80428608,2021-07-26
37,2.281897742,2021-07-28
38,1.987793905,2021-08-01
39,2.002794513,2021-10-30
40,2.073156804,2021-11-01
41,1.991305903,2021-11-13
42,2.234013539,2021-11-17
43,2.309987213,2021-11-23
44,2.396503234,2021-11-25
45,2.457287147,2021-11-29
46,2.430997505,2021-12-05
47,2.660309082,2021-12-07
48,2.506151239,2021-12-11
49,2.057812773,2021-12-17
50,2.391257633,2021-12-19
51,2.221904342,2021-12-23
52,2.129457699,2021-12-31
53,2.380320241,2022-01-04
54,2.454661639,2022-01-12
55,2.316915891,2022-01-16
56,2.289240045,2022-01-24
57,2.387454986,2022-01-28
58,2.278253459,2022-02-09
59,2.076017951,2022-02-17
60,2.008597136,2022-02-21
61,2.104669918,2022-03-01
62,2.059928444,2022-03-05
63,2.067227814,2022-03-13
