Key*, total, data
1,0.33,2018-09-06
2,0.33,2018-09-10
3,0.33,2018-09-18
4,0.34,2018-09-22
5,0.34,2018-09-30
6,0.34,2018-10-04
7,0.35,2018-10-12
8,0.35,2018-10-16
9,0.35,2018-10-24
10,0.35,2018-10-28
11,0.34,2018-11-05
12,0.35,2018-11-09
13,0.36,2018-11-17
14,0.87,2018-11-21
15,1.25,2018-11-29
16,1.25,2018-12-03
17,1.25,2018-12-11
18,1.25,2018-12-15
19,1.25,2018-12-23
20,1.25,2018-12-27
21,1.25,2019-01-04
22,1.25,2019-01-28
23,1.11,2019-02-21
24,1.08,2019-02-25
25,1.04,2019-03-05
26,0.95,2019-03-17
27,0.91,2019-03-21
28,0.9,2019-03-29
29,0.9,2019-04-02
30,0.89,2019-04-10
31,0.89,2019-04-22
32,0.88,2019-05-04
33,0.88,2019-05-08
34,0.87,2019-05-16
35,0.87,2019-05-20
36,0.86,2019-05-28
37,0.85,2019-06-09
38,0.84,2019-06-25
39,0.82,2019-07-03
40,0.82,2019-07-15
41,0.85,2019-07-19
42,0.85,2019-07-31
43,0.84,2019-08-08
44,0.84,2019-08-12
45,0.84,2019-08-20
46,0.81,2019-09-01
47,0.81,2019-09-05
48,0.8,2019-09-17
49,0.83,2019-09-25
50,0.83,2019-10-07
51,0.83,2019-10-11
52,0.82,2019-10-23
53,0.82,2019-10-31
54,0.82,2019-11-04
55,0.86,2019-11-12
56,0.87,2019-11-22
57,0.87,2019-11-28
58,0.85,2019-12-18
59,0.85,2019-12-30
60,0.83,2020-01-03
61,0.83,2020-01-09
62,0.79,2020-02-04
63,0.73,2020-02-26
64,0.72,2020-02-28
65,0.72,2020-03-03
66,0.72,2020-03-09
67,0.69,2020-03-11
68,0.67,2020-03-23
69,0.67,2020-03-27
70,0.63,2020-04-02
71,0.63,2020-04-08
72,0.56,2020-04-14
73,0.56,2020-04-20
74,0.46,2020-05-26
75,0.44,2020-06-01
76,0.44,2020-06-03
77,0.43,2020-06-25
78,0.47,2020-07-01
79,0.47,2020-07-07
80,0.46,2020-07-13
81,0.44,2020-07-21
82,0.43,2020-08-12
83,0.43,2020-08-14
84,0.43,2020-08-18
85,0.42,2020-08-24
86,0.42,2020-08-26
87,0.41,2020-09-07
88,0.4,2020-09-17
89,0.38,2020-09-23
90,0.42,2020-10-01
91,0.42,2020-10-05
92,0.9,2020-10-29
93,0.97,2020-11-04
94,0.98,2020-11-10
95,1,2020-11-16
96,1.26,2020-12-04
97,1.25,2020-12-10
98,1.21,2021-01-15
99,1.13,2021-01-21
100,1.09,2021-01-27
101,0.89,2021-02-22
102,0.83,2021-02-26
103,0.78,2021-03-04
