Key*,total,data
1,0.684094988,2018-09-06
2,0.684094988,2018-09-10
3,0.684094988,2018-09-18
4,0.693946721,2018-09-22
5,0.695497166,2018-09-30
6,0.695497166,2018-10-04
7,0.70060143,2018-10-12
8,0.70060143,2018-10-16
9,0.70060143,2018-10-24
10,0.70060143,2018-10-28
11,0.693946721,2018-11-05
12,0.708653892,2018-11-09
13,0.711709634,2018-11-17
14,1.224554457,2018-11-21
15,1.60045369,2018-11-29
16,1.60045369,2018-12-03
17,1.60045369,2018-12-11
18,1.60045369,2018-12-15
19,1.60045369,2018-12-23
20,1.60045369,2018-12-27
21,1.60045369,2019-01-04
22,1.60045369,2019-01-28
23,1.466164266,2019-02-21
24,1.432811306,2019-02-25
25,1.396770057,2019-03-05
26,1.308508771,2019-03-17
27,1.263952213,2019-03-21
28,1.253099416,2019-03-29
29,1.253099416,2019-04-02
30,1.241452111,2019-04-10
31,1.241452111,2019-04-22
32,1.233134761,2019-05-04
33,1.233134761,2019-05-08
34,1.224554457,2019-05-16
35,1.224554457,2019-05-20
36,1.214445231,2019-05-28
37,1.201771899,2019-06-09
38,1.200061466,2019-06-25
39,1.174809139,2019-07-03
40,1.174809139,2019-07-15
41,1.201771899,2019-07-19
42,1.201771899,2019-07-31
43,1.200061466,2019-08-08
44,1.200061466,2019-08-12
45,1.200061466,2019-08-20
46,1.165300653,2019-09-01
47,1.165300653,2019-09-05
48,1.155119401,2019-09-17
49,1.184789677,2019-09-25
50,1.184789677,2019-10-07
51,1.184789677,2019-10-11
52,1.174809139,2019-10-23
53,1.174809139,2019-10-31
54,1.174809139,2019-11-04
55,1.214445231,2019-11-12
56,1.224554457,2019-11-22
57,1.224554457,2019-11-28
58,1.201771899,2019-12-18
59,1.201771899,2019-12-30
60,1.184789677,2020-01-03
61,1.184789677,2020-01-09
62,1.145813609,2020-02-04
63,1.08830882,2020-02-26
64,1.073919817,2020-02-28
65,1.073919817,2020-03-03
66,1.073919817,2020-03-09
67,1.044295859,2020-03-11
68,1.02796729,2020-03-23
69,1.02259316,2020-03-27
70,0.987240617,2020-04-02
71,0.987240617,2020-04-08
72,0.915650519,2020-04-14
73,0.915650519,2020-04-20
74,0.815323285,2020-05-26
75,0.793252856,2020-06-01
76,0.793252856,2020-06-03
77,0.781045372,2020-06-25
78,0.828583016,2020-07-01
79,0.828583016,2020-07-07
80,0.815323285,2020-07-13
81,0.797575945,2020-07-21
82,0.785298564,2020-08-12
83,0.785298564,2020-08-14
84,0.785298564,2020-08-18
85,0.774584822,2020-08-24
86,0.774584822,2020-08-26
87,0.770225517,2020-09-07
88,0.75536941,2020-09-17
89,0.731027339,2020-09-23
90,0.774584822,2020-10-01
91,0.774584822,2020-10-05
92,1.253099416,2020-10-29
93,1.328852041,2020-11-04
94,1.337138073,2020-11-10
95,1.358720436,2020-11-16
96,1.61298806,2020-12-04
97,1.60045369,2020-12-10
98,1.566871224,2021-01-15
99,1.490070784,2021-01-21
100,1.448050672,2021-01-27
101,1.241452111,2021-02-22
102,1.184789677,2021-02-26
103,1.131780344,2021-03-04
104,0.551189555,2021-03-06
105,1.462427031,2021-03-10
106,1.376004969,2021-03-16
107,0.389267574,2021-03-18
108,1.126196175,2021-03-22
109,1.135260926,2021-03-28
110,0.541193893,2021-03-30
111,1.280440556,2021-04-03
112,1.462668017,2021-04-09
113,0.625500409,2021-04-11
114,1.201642611,2021-04-15
115,0.934382305,2021-04-21
116,0.475038895,2021-04-23
117,0.994394012,2021-04-27
118,1.517626438,2021-05-03
119,1.418924493,2021-05-05
120,1.15165877,2021-05-09
121,0.989420464,2021-05-15
122,0.546921245,2021-05-17
123,0.682315959,2021-05-27
124,0.559459506,2021-05-29
125,1.08350507,2021-06-02
126,1.11540183,2021-06-08
127,0.393834266,2021-06-10
128,1.235114076,2021-06-14
129,1.264247641,2021-06-20
130,1.340669751,2021-06-22
131,1.101278896,2021-06-26
132,0.732999032,2021-07-02
133,0.59759313,2021-07-04
134,0.694596275,2021-07-08
135,0.563460975,2021-07-14
136,0.379685104,2021-07-16
137,1.297006555,2021-07-20
138,1.39542918,2021-07-26
139,1.398682862,2021-07-28
140,1.433358324,2021-08-01
141,0.437031295,2021-08-07
142,0.155129952,2021-08-09
143,1.153430734,2021-08-13
144,0.396713304,2021-08-21
145,0.980105803,2021-08-25
146,0.690855673,2021-08-31
147,0.566171737,2021-09-02
148,0.485467793,2021-09-06
149,0.938222703,2021-09-12
150,0.56545566,2021-09-18
151,0.626192835,2021-09-24
152,0.336013574,2021-09-26
153,0.778546326,2021-09-30
154,0.605465193,2021-10-06
155,0.252523943,2021-10-08
156,0.696546717,2021-10-12
157,0.828366137,2021-10-18
158,0.340637609,2021-10-20
159,0.686731432,2021-10-24
160,0.673768047,2021-10-30
161,0.729964631,2021-11-01
162,0.602409722,2021-11-13
163,1.053018966,2021-11-17
164,0.945946653,2021-11-23
165,0.965309086,2021-11-25
166,1.115874519,2021-11-29
167,1.199999784,2021-12-05
168,1.256265797,2021-12-07
169,1.361036093,2021-12-11
