Key*, total, data
1,0.08,2018-09-18
2,0.08,2018-09-22
3,0.09,2018-09-30
4,0.09,2018-10-04
5,0.1,2018-10-12
6,0.1,2018-10-16
7,0.1,2018-10-24
8,0.1,2018-10-28
9,0.1,2018-11-05
10,0.12,2018-11-09
11,0.12,2018-11-17
12,1.01,2018-11-21
13,1.01,2018-11-29
14,0.99,2018-12-03
15,0.99,2018-12-11
16,0.97,2018-12-15
17,0.92,2018-12-23
18,0.9,2018-12-27
19,1.03,2019-01-04
20,0.9,2019-01-28
21,0.81,2019-02-21
22,0.76,2019-02-25
23,0.69,2019-03-05
24,0.65,2019-03-09
25,0.56,2019-03-17
26,0.54,2019-03-21
27,0.49,2019-03-29
28,0.46,2019-04-10
29,0.46,2019-04-22
30,0.45,2019-05-04
31,0.45,2019-05-08
32,0.45,2019-05-16
33,0.45,2019-05-20
34,0.44,2019-05-28
35,0.6,2019-06-09
36,0.45,2019-06-25
37,0.44,2019-07-03
38,0.46,2019-07-15
39,0.86,2019-07-19
40,0.97,2019-07-31
41,0.97,2019-08-08
42,0.97,2019-08-12
43,0.92,2019-08-20
44,0.82,2019-09-01
45,0.79,2019-09-05
46,0.71,2019-09-17
47,0.92,2019-09-25
48,0.84,2019-10-07
49,0.6,2019-10-11
50,0.74,2019-10-23
51,0.69,2019-10-31
52,0.69,2019-11-04
53,0.69,2019-11-12
54,0.67,2019-11-22
55,0.67,2019-11-28
56,0.6,2019-12-18
57,0.59,2019-12-30
58,0.58,2020-01-03
59,0.56,2020-01-09
60,0.46,2020-02-04
61,0.41,2020-02-26
62,0.39,2020-02-28
63,0.36,2020-03-03
64,0.32,2020-03-09
65,0.32,2020-03-11
66,0.3,2020-03-23
67,0.29,2020-03-27
68,0.27,2020-04-02
69,0.21,2020-04-08
70,0.21,2020-04-14
71,0.21,2020-04-20
72,0.19,2020-05-26
73,0.17,2020-06-01
74,0.17,2020-06-03
75,0.16,2020-06-25
76,0.51,2020-07-01
77,0.51,2020-07-07
78,0.51,2020-07-13
79,0.51,2020-07-21
80,0.51,2020-08-12
81,0.51,2020-08-14
82,0.51,2020-08-18
83,0.54,2020-08-24
84,0.54,2020-08-26
85,0.54,2020-09-07
86,0.54,2020-09-17
87,0.54,2020-09-23
88,0.54,2020-10-01
89,0.54,2020-10-05
90,0.99,2020-10-29
91,0.99,2020-11-04
92,0.97,2020-11-10
93,0.99,2020-11-16
94,1.01,2020-12-04
95,0.99,2020-12-10
96,0.9,2021-01-15
97,0.88,2021-01-21
98,0.84,2021-01-27
99,0.65,2021-02-22
100,0.62,2021-02-26
101,0.6,2021-03-04
