Key*,total,data
1,1.648175847,2018-12-03
2,1.758909858,2018-12-11
3,1.921586998,2018-12-15
4,1.815808099,2018-12-27
5,2.022027225,2019-01-04
6,1.845776125,2019-01-28
7,1.233063812,2019-02-21
8,1.588565824,2019-02-25
9,1.558991041,2019-03-09
10,1.353841334,2019-03-21
11,1.48231241,2019-06-25
12,1.264318545,2019-07-19
13,1.446628547,2019-07-31
14,1.368721977,2019-08-12
15,1.321922071,2019-08-20
16,1.77003994,2019-09-05
17,1.443825076,2019-09-17
18,1.386610015,2019-09-25
19,1.361309862,2019-10-07
20,1.31488875,2019-10-11
21,1.332907903,2019-10-23
22,1.263776603,2019-11-04
23,1.518311205,2019-11-22
24,1.340854977,2019-11-28
25,1.495463297,2020-01-03
26,1.429658226,2020-01-09
27,1.164232364,2020-03-27
28,1.185304162,2020-06-01
29,1.149952797,2020-07-01
30,1.144900684,2020-07-13
31,1.327264804,2020-09-17
32,1.353435332,2020-11-10
33,1.34813192,2021-01-15
34,1.318038219,2021-01-21
35,1.56790141,2021-01-27
36,1.407299292,2021-02-22
37,1.205883042,2021-02-26
38,1.40297938,2021-03-04
39,1.322414034,2021-03-10
40,1.229435323,2021-03-16
41,1.316475256,2021-03-22
42,1.34234431,2021-04-09
43,1.355347062,2021-05-05
44,1.590844405,2021-06-22
45,1.306314855,2021-07-26
46,1.383534985,2021-08-01
47,1.352604454,2021-10-30
48,1.208135102,2021-11-01
49,1.205859408,2021-11-13
50,1.500200303,2021-11-17
51,1.480674083,2021-11-23
52,1.680201075,2021-11-25
53,1.741466318,2021-11-29
54,1.520940289,2021-12-05
55,1.762506734,2021-12-07
56,1.631864398,2021-12-11
57,1.359167438,2021-12-17
58,1.430326886,2021-12-19
59,1.256758424,2021-12-23
60,1.298886313,2021-12-31
61,1.207663129,2022-01-04
62,1.143862051,2022-01-12
63,1.143680775,2022-01-16
64,1.241026111,2022-01-24
65,1.176561921,2022-01-28
66,1.144204446,2022-02-09
