Key*,total,data
1,0.21,2020-02-14
2,0.21,2020-02-21
3,0.19,2020-03-04
4,0.2,2020-03-16
5,0.19,2020-03-23
6,0.21,2020-04-09
7,0.18,2020-04-20
8,0.22,2020-05-10
9,0.17,2020-05-15
10,0.17,2020-05-22
11,0.22,2020-07-09
12,0.21,2020-08-31
13,0.22,2020-10-30
14,0.22,2021-01-15
15,0.22,2021-01-22
16,0.21,2021-03-16
17,0.21,2021-03-30
18,0.2,2021-04-16
19,0.21,2021-05-03
20,0.2,2021-05-17
21,0.21,2021-07-16
22,0.22,2021-07-20
23,0.24,2021-07-21
24,0.22,2021-07-26
25,0.19,2021-07-28
26,0.2,2021-08-01
27,0.23,2021-08-02
28,0.14,2021-08-07
29,0.18,2021-08-09
30,0.17,2021-08-13
31,0.22,2021-08-14
32,0.18,2021-08-21
33,0.17,2021-08-25
34,0.22,2021-08-26
35,0.16,2021-08-31
36,0.16,2021-09-02
37,0.16,2021-09-06
38,0.23,2021-09-07
39,0.18,2021-09-12
40,0.18,2021-09-14
41,0.18,2021-09-18
42,0.21,2021-09-19
43,0.16,2021-09-24
44,0.15,2021-09-26
45,0.16,2021-09-30
46,0.25,2021-10-01
47,0.16,2021-10-06
48,0.21,2021-10-08
49,0.17,2021-10-12
50,0.19,2021-10-13
51,0.16,2021-10-18
52,0.16,2021-10-20
53,0.17,2021-10-24
54,0.19,2021-10-25
55,0.15,2021-10-30
56,0.15,2021-11-01
57,0.19,2021-11-13
58,0.18,2021-11-17
59,0.17,2021-11-18
60,0.18,2021-11-23
61,0.18,2021-11-25
62,0.18,2021-11-29
63,0.18,2021-11-30
64,0.18,2021-12-05
65,0.18,2021-12-07
66,0.2,2021-12-11
67,0.2,2021-12-12
