Key*, total, data
1,3.89,03/30/2015
2,3.80,07/04/2015
3,3.68,07/28/2015
4,3.85,08/21/2015
5,3.97,09/14/2015
6,3.82,10/08/2015
7,4.24,11/25/2015
8,4.83,01/12/2016
9,3.56,02/29/2016
10,3.29,03/24/2016
11,3.22,04/05/2016
12,4.74,05/11/2016
13,3.24,05/23/2016
14,3.24,06/04/2016
15,3.44,06/28/2016
16,4.36,07/10/2016
17,3.66,07/22/2016
18,3.51,08/03/2016
19,3.79,08/15/2016
20,3.75,09/08/2016
21,4.14,09/20/2016
22,4.40,10/14/2016
23,4.52,10/26/2016
24,3.50,11/07/2016
25,4.00,12/01/2016
26,4.84,12/13/2016
27,4.48,01/06/2017
28,4.82,01/18/2017
29,4.84,02/11/2017
30,4.58,02/23/2017
31,4.59,03/07/2017
32,4.41,03/20/2017
33,4.34,03/27/2017
34,4.83,04/01/2017
35,4.83,04/08/2017
36,4.85,04/12/2017
37,4.26,04/13/2017
38,4.22,04/20/2017
39,4.22,04/24/2017
40,4.22,04/25/2017
41,4.47,05/06/2017
42,4.62,05/07/2017
43,4.25,05/18/2017
44,4.26,05/19/2017
45,4.37,05/26/2017
46,4.47,05/30/2017
47,4.48,05/31/2017
48,4.62,06/07/2017
49,4.84,06/12/2017
50,4.48,06/19/2017
51,4.48,06/23/2017
52,4.47,07/06/2017
53,4.66,07/13/2017
54,4.73,07/17/2017
55,4.73,07/18/2017
56,4.83,07/25/2017
57,4.47,08/06/2017
58,4.84,08/11/2017
59,4.84,08/22/2017
60,4.83,08/23/2017
61,4.84,08/30/2017
62,4.49,09/03/2017
63,4.84,09/11/2017
64,4.83,09/15/2017
65,4.84,09/27/2017
66,4.25,10/05/2017
67,4.84,10/10/2017
68,4.84,11/10/2017
69,4.84,11/14/2017
70,4.84,11/15/2017
71,4.84,11/22/2017
72,4.84,11/27/2017
73,4.26,12/04/2017
74,4.83,12/09/2017
75,4.83,12/21/2017
76,4.83,12/28/2017
77,4.67,01/02/2018
78,4.73,01/25/2018
79,4.73,01/26/2018
80,4.66,02/02/2018
81,3.89,02/07/2018
82,4.54,02/26/2018
83,4.50,03/10/2018
84,4.33,03/14/2018
85,4.31,03/15/2018
86,4.29,03/22/2018
87,4.26,03/26/2018
88,4.25,03/27/2018
89,3.89,04/07/2018
90,4.02,04/19/2018
91,4.01,04/20/2018
92,3.97,04/27/2018
93,4.82,05/01/2018
94,4.64,05/02/2018
95,4.23,05/09/2018
96,3.99,05/14/2018
97,3.97,05/21/2018
98,3.95,05/25/2018
99,4.62,06/02/2018
100,3.89,06/07/2018
101,3.95,06/14/2018
102,3.93,06/18/2018
103,3.93,06/19/2018
104,4.08,07/08/2018
105,4.60,07/12/2018
106,3.79,07/13/2018
107,3.95,07/24/2018
108,3.95,07/25/2018
109,4.82,08/01/2018
110,3.99,08/05/2018
111,4.14,08/17/2018
112,4.21,08/29/2018
113,4.53,09/10/2018
114,4.58,09/11/2018
115,4.40,09/18/2018
116,4.10,10/04/2018
117,3.99,10/05/2018
118,4.60,10/12/2018
119,4.57,10/16/2018
120,4.57,10/17/2018
121,4.57,10/24/2018
122,4.58,10/29/2018
123,4.28,11/09/2018
124,4.54,11/10/2018
125,4.58,11/21/2018
126,4.58,11/22/2018
127,4.59,11/29/2018
128,4.35,12/03/2018
129,4.08,12/04/2018
130,4.58,12/11/2018
131,4.55,12/27/2018
132,4.56,12/28/2018
133,3.88,01/04/2019
134,3.85,01/08/2019
135,4.53,01/16/2019
136,4.50,01/21/2019
137,4.45,01/28/2019
138,4.56,02/01/2019
139,4.36,02/13/2019
140,4.36,02/14/2019
141,4.25,02/21/2019
142,4.19,02/25/2019
143,4.18,02/26/2019
144,3.71,03/05/2019
145,4.17,03/09/2019
146,4.49,03/10/2019
147,3.96,03/21/2019
148,3.95,03/22/2019
149,3.89,03/29/2019
150,4.11,04/03/2019
151,4.50,04/10/2019
152,3.71,04/22/2019
153,3.71,04/26/2019
154,3.83,05/04/2019
155,3.86,05/08/2019
156,4.19,05/09/2019
157,3.72,05/16/2019
158,3.72,05/20/2019
159,3.72,05/21/2019
160,3.70,05/28/2019
161,4.20,06/09/2019
162,3.72,06/13/2019
163,3.72,06/14/2019
164,3.75,06/21/2019
165,3.82,06/25/2019
166,3.82,06/26/2019
167,4.08,07/03/2019
168,3.89,07/08/2019
169,3.83,07/15/2019
170,3.83,07/19/2019
171,3.85,07/31/2019
172,4.55,08/01/2019
173,3.96,08/08/2019
174,4.07,08/13/2019
175,4.09,08/20/2019
176,4.55,09/01/2019
177,3.71,09/05/2019
178,4.24,09/13/2019
179,4.27,09/17/2019
180,4.29,09/18/2019
181,4.43,09/25/2019
182,4.47,09/30/2019
183,3.84,10/07/2019
184,4.83,10/12/2019
185,4.55,10/23/2019
186,4.55,10/24/2019
187,4.56,10/31/2019
188,3.74,11/04/2019
189,4.55,11/10/2019
190,4.83,11/12/2019
191,4.83,11/22/2019
192,4.83,11/28/2019
193,4.83,11/29/2019
194,3.72,12/04/2019
195,3.72,12/06/2019
196,4.83,12/11/2019
197,4.83,12/16/2019
198,4.83,12/18/2019
199,4.74,12/23/2019
200,4.69,12/30/2019
201,3.72,01/04/2020
202,4.19,01/09/2020
203,4.59,01/15/2020
204,4.59,01/16/2020
205,4.53,01/21/2020
206,4.20,02/09/2020
207,4.35,02/14/2020
208,4.26,02/20/2020
209,4.25,02/21/2020
210,4.20,02/26/2020
211,4.17,02/28/2020
212,4.13,03/03/2020
213,3.70,03/04/2020
214,4.22,03/09/2020
215,4.83,03/11/2020
216,3.96,03/16/2020
217,3.85,03/23/2020
218,3.79,03/27/2020
219,4.44,04/02/2020
220,3.62,04/08/2020
221,4.23,04/09/2020
222,3.63,04/14/2020
223,3.63,04/16/2020
224,3.63,04/20/2020
225,3.63,04/21/2020
226,4.43,05/02/2020
227,4.10,05/03/2020
228,3.62,05/08/2020
229,4.45,05/10/2020
230,3.52,05/14/2020
231,3.50,05/15/2020
232,3.44,05/20/2020
233,3.43,05/22/2020
234,3.42,05/26/2020
235,3.42,05/27/2020
236,4.64,06/01/2020
237,4.09,06/03/2020
238,3.65,06/08/2020
239,3.46,06/15/2020
240,3.47,06/25/2020
241,4.64,07/01/2020
242,4.42,07/02/2020
243,3.52,07/07/2020
244,4.27,07/09/2020
245,3.54,07/13/2020
246,3.54,07/14/2020
247,3.55,07/21/2020
248,3.56,07/31/2020
249,2.96,08/06/2020
250,3.52,08/07/2020
251,4.83,08/12/2020
252,3.76,08/14/2020
253,3.97,08/18/2020
254,4.03,08/19/2020
255,4.14,08/24/2020
256,4.15,08/26/2020
257,4.15,08/31/2020
258,3.51,09/07/2020
259,4.83,09/11/2020
260,4.83,09/12/2020
261,4.35,09/17/2020
262,4.36,09/23/2020
263,4.36,09/24/2020
264,4.37,09/29/2020
265,4.62,10/01/2020
266,3.44,10/06/2020
267,4.85,10/11/2020
268,4.50,10/13/2020
269,4.65,10/23/2020
270,4.83,10/29/2020
271,4.83,10/30/2020
272,3.44,11/06/2020
273,4.85,11/11/2020
274,4.83,11/12/2020
275,4.83,11/18/2020
276,4.83,11/23/2020
277,4.84,11/30/2020
278,3.56,12/05/2020
279,4.49,12/10/2020
280,4.83,12/16/2020
281,4.83,12/17/2020
282,4.83,12/22/2020
283,4.83,12/24/2020
284,4.83,12/28/2020
285,4.83,12/29/2020
286,3.83,01/09/2021
287,4.79,01/15/2021
288,4.75,01/21/2021
289,4.75,01/22/2021
290,4.71,01/27/2021
291,4.67,02/02/2021
292,4.42,02/03/2021
293,4.48,02/22/2021
294,3.84,03/06/2021
295,4.30,03/16/2021
296,4.28,03/18/2021
297,4.23,03/22/2021
298,4.22,03/23/2021
299,4.14,03/30/2021
300,4.40,04/03/2021
301,3.93,04/15/2021
302,3.92,04/16/2021
303,3.86,04/21/2021
304,3.85,04/23/2021
305,3.84,04/27/2021
306,3.84,04/28/2021
307,4.39,05/03/2021
308,3.84,05/05/2021
309,3.84,05/17/2021
310,3.84,05/27/2021
311,3.79,06/08/2021
312,3.84,06/14/2021
313,3.84,06/15/2021
314,3.85,06/22/2021
315,4.04,07/04/2021
316,3.88,07/09/2021
317,3.81,07/14/2021
318,3.80,07/16/2021
319,3.82,07/20/2021
320,3.83,07/21/2021
321,3.82,07/26/2021
322,3.82,07/28/2021
323,4.82,08/01/2021
324,4.61,08/02/2021
325,3.80,08/07/2021
326,3.89,08/09/2021
327,3.75,08/13/2021
328,3.79,08/25/2021
329,3.80,08/26/2021
330,3.82,08/31/2021
