Key*,total,data
1,4.643228605,30-03-2015
2,2.937818158,04-07-2015
3,2.076998449,28-07-2015
4,2.768344124,21-08-2015
5,2.808565512,14-09-2015
6,2.911351014,08-10-2015
7,4.323407733,25-11-2015
8,4.040404289,12-01-2016
9,4.29953465,29-02-2016
10,4.355483259,24-03-2016
11,2.818568608,05-04-2016
12,1.724361132,11-05-2016
13,1.771038698,23-05-2016
14,1.628717787,04-06-2016
15,2.413622391,28-06-2016
16,2.26523524,10-07-2016
17,1.878302684,22-07-2016
18,2.583113592,03-08-2016
19,3.374079618,15-08-2016
20,2.826165018,08-09-2016
21,2.806967417,20-09-2016
22,3.313160959,14-10-2016
23,3.815330644,26-10-2016
24,3.689385475,07-11-2016
25,4.754516382,01-12-2016
26,3.806443367,13-12-2016
27,4.58006073,06-01-2017
28,4.814821986,18-01-2017
29,4.809541827,11-02-2017
30,3.8867231,23-02-2017
31,4.088215842,07-03-2017
32,3.703698162,20-03-2017
33,3.939935641,27-03-2017
34,3.320269652,08-04-2017
35,3.228593325,12-04-2017
36,3.094733436,20-04-2017
37,2.932006223,24-04-2017
38,3.712402705,25-04-2017
39,3.743006547,06-05-2017
40,3.274875505,07-05-2017
41,3.18615295,18-05-2017
42,3.443117805,26-05-2017
43,3.322601537,30-05-2017
44,3.463220658,31-05-2017
45,3.413971478,07-06-2017
46,3.524820645,12-06-2017
47,3.336847667,19-06-2017
48,3.432180968,23-06-2017
49,3.822376689,06-07-2017
50,3.96141882,17-07-2017
51,3.923671244,18-07-2017
52,4.042054422,25-07-2017
53,3.980952478,11-08-2017
54,3.962924857,22-08-2017
55,3.883742309,23-08-2017
56,3.405223814,30-08-2017
57,3.52970776,11-09-2017
58,3.678943399,27-09-2017
59,3.829752709,05-10-2017
60,3.053821094,10-10-2017
61,4.512595974,10-11-2017
62,4.133923112,14-11-2017
63,3.68759168,15-11-2017
64,4.132300541,22-11-2017
65,4.200074703,27-11-2017
66,5.44568456,04-12-2017
67,4.052815061,09-12-2017
68,4.353409414,21-12-2017
69,4.610439776,28-12-2017
70,3.92232793,02-01-2018
71,4.631914862,25-01-2018
72,3.947895745,26-01-2018
73,3.699799636,07-02-2018
74,4.502018025,26-02-2018
75,5.188025241,10-03-2018
76,4.547161982,22-03-2018
77,4.536627929,27-03-2018
78,4.999486499,07-04-2018
79,4.159775313,19-04-2018
80,4.166516295,20-04-2018
81,3.640255299,27-04-2018
82,3.573853599,01-05-2018
83,3.154469883,09-05-2018
84,3.350335384,25-05-2018
85,3.519172995,02-06-2018
86,3.814965197,07-06-2018
87,3.096269558,14-06-2018
88,3.863533004,18-06-2018
89,3.647565915,19-06-2018
90,2.759334082,08-07-2018
91,3.226170794,12-07-2018
92,3.514875564,13-07-2018
93,3.566589683,24-07-2018
94,3.651502033,25-07-2018
95,3.134670811,01-08-2018
96,3.343502331,05-08-2018
97,3.430262319,17-08-2018
98,3.644711725,29-08-2018
99,3.138838539,10-09-2018
100,3.195941426,11-09-2018
101,2.831577661,18-09-2018
102,4.053771842,04-10-2018
103,3.536403256,05-10-2018
104,3.690175898,12-10-2018
105,3.566263922,17-10-2018
106,3.274600797,24-10-2018
107,3.591671872,29-10-2018
108,3.955232477,09-11-2018
109,3.386554224,10-11-2018
110,4.460985509,21-11-2018
111,3.347681054,22-11-2018
112,3.488125481,29-11-2018
113,3.413898012,04-12-2018
114,4.89716225,11-12-2018
115,4.284515547,27-12-2018
116,4.529528341,04-01-2019
117,3.950968247,08-01-2019
118,3.680695745,16-01-2019
119,3.337539348,21-01-2019
120,4.20823208,28-01-2019
121,4.088707724,01-02-2019
122,3.976830059,13-02-2019
123,3.305578705,14-02-2019
124,3.719961993,21-02-2019
125,3.903063932,25-02-2019
126,3.726664322,26-02-2019
127,3.490274247,10-03-2019
128,3.678281412,21-03-2019
129,3.563927466,22-03-2019
130,3.515783861,29-03-2019
131,3.751557531,03-04-2019
132,3.249649209,10-04-2019
133,4.02268566,26-04-2019
134,3.661440497,08-05-2019
135,3.661440497,09-05-2019
136,3.642566911,20-05-2019
137,3.642566911,21-05-2019
138,2.788611216,28-05-2019
139,2.794173642,09-06-2019
140,3.17182226,13-06-2019
141,3.17182226,14-06-2019
142,3.422255829,25-06-2019
143,3.422255829,26-06-2019
144,2.835405183,08-07-2019
145,2.82010751,15-07-2019
146,3.038816615,19-07-2019
147,3.401169868,31-07-2019
148,3.401169868,01-08-2019
149,3.333117975,13-08-2019
150,2.786300401,20-08-2019
151,2.659247718,01-09-2019
152,3.232066161,05-09-2019
153,3.254020658,13-09-2019
154,3.170201105,17-09-2019
155,3.170201105,18-09-2019
156,3.567648463,30-09-2019
157,3.853680279,07-10-2019
158,3.742660074,12-10-2019
159,3.610242613,23-10-2019
160,3.610242613,24-10-2019
161,3.886472903,31-10-2019
162,3.875535398,04-11-2019
163,4.084757843,10-11-2019
164,4.160966706,12-11-2019
165,4.180998724,22-11-2019
166,4.58781931,28-11-2019
167,4.58781931,29-11-2019
168,4.602455554,04-12-2019
169,4.583474887,04-01-2020
170,4.594904742,09-02-2020
171,4.726010979,20-02-2020
172,4.726010979,21-02-2020
173,4.486568012,26-02-2020
174,4.00236583,03-03-2020
175,4.00236583,04-03-2020
176,3.949188021,16-03-2020
177,3.865359068,02-04-2020
