Key*,total,data
1,2015-03-06,14.370
2,2015-03-30,9.994
3,2015-07-04,8.680
4,2015-07-28,11.173
5,2015-08-13,9.639
6,2015-08-21,13.024
7,2015-09-14,15.096
8,2015-10-08,15.203
9,2015-10-16,16.00160904
10,2015-11-17,16.04401636
11,2015-11-25,16.31703438
12,2016-01-04,16.373
13,2016-01-12,16.26911396
14,2016-01-20,16.28159247
15,2016-02-29,14.543
16,2016-03-08,14.221
17,2016-03-14,10.415
18,2016-04-03,9.472
19,2016-04-05,11.711
20,2016-05-23,7.161
21,2016-06-04,8.619
22,2016-06-28,7.528
23,2016-07-10,7.863
24,2016-08-03,7.770
25,2016-08-15,8.240
26,2016-08-31,7.518
27,2016-09-08,9.341
28,2016-09-20,8.037
29,2016-10-10,13.989
30,2016-10-14,15.368
31,2016-10-26,15.71129829
32,2016-11-07,15.932
33,2016-12-01,15.99717621
34,2016-12-13,16.03043015
35,2017-02-11,16.063
36,2017-02-23,15.692
37,2017-02-27,16.181
38,2017-03-20,14.524
39,2017-04-01,13.94149118
40,2017-04-12,13.25162835
41,2017-06-11,13.155
42,2017-06-12,13.71748389
43,2017-08-21,12.014
44,2017-08-22,13.053
45,2017-08-23,13.512
46,2017-08-30,13.055
47,2017-09-03,13.420
48,2017-09-11,14.277
49,2017-09-15,14.783
50,2017-09-27,15.84584837
51,2017-09-28,16.23804831
52,2017-10-10,14.594
53,2017-11-15,16.25040968
54,2017-11-27,16.50370613
55,2017-12-21,16.72474225
56,2018-01-02,16.62707284
57,2018-01-03,17.141
58,2018-01-08,15.425
59,2018-01-25,16.23448721
60,2018-01-26,16.67783464
61,2018-02-02,17.07882336
62,2018-02-07,17.091
63,2018-02-26,8.416251948
64,2018-02-27,8.20331616
65,2018-03-10,8.022
66,2018-03-14,8.235
67,2018-03-19,11.356
68,2018-03-26,14.193
69,2018-03-27,15.371
70,2018-04-07,14.021
71,2018-04-19,13.780
72,2018-04-20,14.803
73,2018-05-01,13.38796463
74,2018-05-02,14.21705227
75,2018-05-21,12.808
76,2018-05-25,12.567
77,2018-06-07,12.564
78,2018-06-14,10.790
79,2018-06-18,12.635
80,2018-06-19,13.383
81,2018-07-08,12.204
82,2018-07-12,12.83349341
83,2018-07-24,12.307
84,2018-07-25,12.673
85,2018-08-01,11.35336116
86,2018-08-05,11.863
87,2018-09-10,13.908
88,2018-09-11,14.52217265
89,2018-10-04,15.240
90,2018-10-05,15.545
91,2018-10-16,15.92496453
92,2018-10-17,16.22700401
93,2018-10-29,16.07923641
94,2018-11-10,16.359
95,2018-11-21,15.78422851
96,2018-11-22,16.16628475
97,2018-12-03,16.010
98,2018-12-04,16.286
99,2018-12-28,16.23308827
100,2019-01-08,14.743
101,2019-01-21,16.4610596
102,2019-02-01,15.40784197
103,2019-02-09,13.088
104,2019-02-14,15.157
105,2019-02-21,12.644
106,2019-02-25,12.764
107,2019-03-05,13.847
108,2019-03-09,13.297
109,2019-03-21,12.450
110,2019-03-29,11.116
111,2019-04-03,13.203
112,2019-04-10,11.382
113,2019-04-22,10.613
114,2019-04-26,10.027
115,2019-05-08,8.229
116,2019-05-09,9.264
117,2019-05-16,8.642
118,2019-05-20,9.388
119,2019-05-21,11.548
120,2019-05-28,9.549
121,2019-06-09,9.985
122,2019-06-13,9.686
123,2019-06-14,10.801
124,2019-06-21,9.698
125,2019-06-25,9.480
126,2019-06-26,10.182
127,2019-07-03,8.285
128,2019-07-08,10.109
129,2019-07-15,9.419
130,2019-07-19,9.487
131,2019-08-01,8.929127693
132,2019-08-08,10.268
133,2019-08-13,12.252
134,2019-08-20,12.552
135,2019-09-01,12.43464111
136,2019-09-05,12.038
137,2019-09-13,13.131
138,2019-09-17,13.815
139,2019-09-18,14.366
140,2019-09-30,15.96810508
141,2019-10-12,15.61939529
142,2019-10-23,15.359
143,2019-10-24,15.791
144,2019-10-31,15.60676692
145,2019-11-04,15.007
146,2019-11-12,15.59831526
147,2019-11-28,15.49948868
148,2019-11-29,15.97663424
149,2019-12-11,16.08311481
150,2019-12-23,16.09235219
151,2020-01-03,15.85923907
152,2020-01-04,16.22831965
153,2020-01-15,15.90785794
154,2020-01-16,16.29760528
155,2020-01-21,15.85635815
156,2020-01-27,16.16380859
157,2020-01-28,16.51943025
158,2020-02-02,15.89501116
159,2020-02-08,15.52008931
160,2020-02-09,16.18831113
161,2020-02-14,16.18916185
162,2020-02-20,16.15832328
163,2020-02-21,16.34160388
164,2020-03-04,15.65434752
165,2020-03-09,15.9569426
166,2020-03-15,15.55560752
167,2020-03-16,16.0928899
168,2020-03-21,15.59015728
169,2020-03-27,15.57109321
170,2020-03-28,16.04453289
171,2020-04-02,15.14551237
172,2020-04-08,15.16468189
173,2020-04-09,15.08265843
174,2020-04-14,14.94656149
175,2020-04-20,15.03261043
176,2020-04-21,15.64023279
177,2020-04-26,14.92078368
178,2020-05-02,14.82334687
179,2020-05-03,15.42049841
180,2020-05-08,14.51741155
181,2020-05-10,14.47773444
182,2020-05-14,14.16246356
183,2020-05-15,14.77993115
184,2020-05-20,13.64337903
185,2020-05-22,13.56319031
186,2020-05-26,13.35313249
187,2020-05-27,14.5636703
188,2020-06-01,14.0150384
189,2020-06-03,14.05509682
190,2020-06-08,15.06816425
191,2020-06-13,14.24422192
192,2020-06-20,14.78821589
193,2020-06-25,13.97004995
194,2020-06-27,14.02298148
195,2020-07-01,14.11686005
196,2020-07-02,14.57336075
197,2020-07-07,14.10497107
198,2020-07-09,14.48893386
199,2020-07-13,14.17240806
200,2020-07-19,14.18618156
201,2020-07-21,13.63367022
202,2020-07-25,14.05035316
203,2020-07-26,14.63529014
204,2020-07-31,14.63628996
205,2020-08-02,13.13716828
206,2020-08-06,13.95398717
207,2020-08-07,14.33384742
208,2020-08-12,12.56137309
209,2020-08-14,12.06874665
210,2020-08-18,12.30476851
211,2020-08-19,13.549446
212,2020-08-24,12.62971853
213,2020-08-26,12.38037319
214,2020-08-30,12.59567979
215,2020-08-31,13.39225108
216,2020-09-05,12.79646911
217,2020-09-07,13.21752211
218,2020-09-11,13.26985133
219,2020-09-12,13.87263326
220,2020-09-19,14.0432243
221,2020-09-23,14.21211929
222,2020-09-24,14.82822153
223,2020-09-29,14.83551856
224,2020-10-01,14.06894403
225,2020-10-05,15.17254176
226,2020-10-06,15.55793441
227,2020-10-11,14.26823053
228,2020-10-13,14.413
229,2020-10-17,14.795
230,2020-10-18,15.197
231,2020-10-23,14.873
232,2020-10-25,14.784
233,2020-10-29,15.102
234,2020-10-30,14.956
235,2020-11-04,15.216
236,2020-11-06,14.661
237,2020-11-10,14.952
238,2020-11-16,15.438
239,2020-11-22,15.550
240,2020-11-23,16.000
241,2020-11-28,15.579
242,2020-11-30,15.663
243,2020-12-04,15.519
244,2020-12-05,16.034
245,2020-12-10,15.738
246,2020-12-16,15.963
247,2020-12-17,16.371
248,2020-12-22,15.895
249,2020-12-28,15.925
250,2020-12-29,16.229
251,2021-01-03,16.014
252,2021-01-10,16.426
253,2021-01-15,15.659
254,2021-01-22,16.213
255,2021-01-27,15.864
256,2021-02-02,15.860
257,2021-02-03,16.390
258,2021-02-10,15.700
259,2021-02-14,15.546
260,2021-02-15,16.278
261,2021-02-20,15.517
262,2021-02-26,15.704
263,2021-02-27,16.054
264,2021-03-04,15.522
265,2021-03-10,15.315
266,2021-03-11,15.485
267,2021-03-16,15.211
268,2021-03-22,15.075
