Key*, total, data
1,0.11,2018-09-06
2,0.11,2018-09-10
3,0.11,2018-09-18
4,0.11,2018-09-22
5,0.11,2018-09-30
6,0.11,2018-10-04
7,0.11,2018-10-12
8,0.11,2018-10-16
9,0.11,2018-10-24
10,0.11,2018-10-28
11,0.11,2018-11-05
12,0.12,2018-11-09
13,0.12,2018-11-17
14,0.54,2018-11-21
15,0.78,2018-11-29
16,0.77,2018-12-03
17,0.76,2018-12-11
18,0.76,2018-12-15
19,0.76,2018-12-23
20,0.76,2018-12-27
21,0.77,2019-01-04
22,0.74,2019-01-28
23,0.67,2019-02-21
24,0.65,2019-02-25
25,0.61,2019-03-05
26,0.58,2019-03-09
27,0.4,2019-03-17
28,0.38,2019-03-21
29,0.35,2019-03-29
30,0.3,2019-04-02
31,0.3,2019-04-10
32,0.28,2019-04-22
33,0.28,2019-05-04
34,0.28,2019-05-08
35,0.28,2019-05-16
36,0.28,2019-05-20
37,0.28,2019-05-28
38,0.28,2019-06-09
39,0.21,2019-06-25
40,0.21,2019-07-03
41,0.21,2019-07-15
42,0.22,2019-07-19
43,0.28,2019-07-31
44,0.29,2019-08-08
45,0.21,2019-08-12
46,0.28,2019-08-20
47,0.28,2019-09-01
48,0.28,2019-09-05
49,0.29,2019-09-17
50,0.52,2019-09-25
51,0.52,2019-10-07
52,0.52,2019-10-11
53,0.52,2019-10-23
54,0.57,2019-10-31
55,0.57,2019-11-04
56,0.75,2019-11-12
57,0.75,2019-11-22
58,0.75,2019-11-28
59,0.73,2019-12-18
60,0.7,2019-12-30
61,0.7,2020-01-03
62,0.7,2020-01-09
63,0.6,2020-02-04
64,0.49,2020-02-26
65,0.49,2020-02-28
66,0.42,2020-03-03
67,0.42,2020-03-09
68,0.41,2020-03-11
69,0.37,2020-03-23
70,0.34,2020-04-02
71,0.33,2020-04-08
72,0.32,2020-04-14
73,0.29,2020-04-20
74,0.13,2020-05-26
75,0.12,2020-06-01
76,0.12,2020-06-03
77,0.1,2020-06-25
78,0.14,2020-07-01
79,0.14,2020-07-07
80,0.14,2020-07-13
81,0.14,2020-07-21
82,0.14,2020-08-12
83,0.14,2020-08-14
84,0.14,2020-08-18
85,0.16,2020-08-24
86,0.16,2020-09-07
87,0.13,2020-09-17
88,0.12,2020-09-23
89,0.13,2020-10-01
90,0.17,2020-10-05
91,0.77,2020-10-29
92,0.77,2020-11-04
93,0.76,2020-11-10
94,0.76,2020-11-16
95,0.78,2020-12-04
96,0.77,2020-12-10
97,0.69,2021-01-15
98,0.63,2021-01-21
99,0.6,2021-01-27
100,0.3,2021-02-22
101,0.29,2021-02-26
102,0.27,2021-03-04
