Key*,total,data
1,0.964148372,2018-11-21
2,1.189678801,2018-11-29
3,1.103405814,2018-12-03
4,1.116723799,2018-12-11
5,1.176233983,2018-12-15
6,1.094192897,2018-12-23
7,1.089151613,2018-12-27
8,0.937430376,2019-01-04
9,0.903396063,2019-01-28
10,1.240406643,2019-02-21
11,1.193095156,2019-03-05
12,0.927341163,2019-03-21
13,0.92683066,2019-04-10
14,0.818844424,2019-04-22
15,0.791558376,2019-07-19
16,0.800105807,2019-08-08
17,0.859431382,2019-09-01
18,1.130381747,2019-09-25
19,1.155493921,2019-10-07
20,1.078977543,2019-10-11
21,0.962098516,2019-10-23
22,1.058602179,2019-10-31
23,1.094730586,2019-11-04
24,1.16878068,2019-11-12
25,1.26469537,2019-11-22
26,1.342425862,2019-12-18
27,1.332283931,2019-12-30
28,1.394151251,2020-01-03
29,1.380048287,2020-01-09
30,1.187267329,2020-02-04
31,1.34216228,2020-02-28
32,1.336110121,2020-03-09
33,1.198745708,2020-03-11
34,0.76242158,2020-03-23
35,0.836315421,2020-04-08
36,0.863229272,2020-04-14
37,0.98714855,2020-10-29
38,1.098864828,2020-11-04
39,1.273877271,2020-11-10
40,1.123060534,2020-11-16
41,1.158809269,2020-12-10
42,0.946258685,2021-01-15
43,1.179237143,2021-01-21
44,0.898258994,2021-03-10
45,0.799992969,2021-03-16
46,0.900155127,2021-03-22
47,0.889526924,2021-04-09
48,0.806071943,2021-05-03
49,0.88116566,2021-05-05
50,0.884251944,2021-06-22
51,0.837502652,2021-07-26
52,1.046032161,2021-07-28
53,0.952365984,2021-08-01
54,0.779623476,2021-11-01
55,0.815790832,2021-11-13
56,0.998467568,2021-11-17
57,0.999547517,2021-11-23
58,1.043825463,2021-11-25
59,0.982093198,2021-11-29
60,0.986146205,2021-12-05
61,1.019731139,2021-12-07
62,0.96386352,2021-12-11
63,0.962896481,2021-12-17
64,0.937591384,2021-12-19
65,0.959670886,2021-12-23
66,1.028532425,2021-12-31
67,0.944242509,2022-01-04
68,1.004446661,2022-01-12
69,0.982622033,2022-01-16
70,0.960797711,2022-01-24
71,0.923296394,2022-01-28
72,0.813841097,2022-02-09
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
