h ,total,data
1,6.596858934,2015-11-25
2,6.929225028,2015-12-19
3,7.469185182,2016-01-12
4,6.914142005,2016-02-05
5,6.127781784,2016-02-29
6,6.496523813,2016-03-24
7,6.777830263,2016-10-02
8,6.694093812,2016-10-14
9,7.231963523,2016-10-26
10,7.126374647,2016-11-07
11,7.131533191,2016-11-19
12,7.484662561,2016-12-01
13,7.165082407,2016-12-13
14,7.801476899,2016-12-25
15,7.792484229,2017-01-06
16,7.599887481,2017-01-18
17,7.384367374,2017-02-23
18,7.335920301,2017-03-07
19,5.893992531,2017-03-27
20,7.205607858,2017-03-31
21,5.045229013,2017-04-08
22,6.204922306,2017-04-12
23,6.20181139,2017-05-06
24,6.771300741,2017-05-30
25,6.832042088,2017-06-11
26,5.114350438,2017-06-19
27,6.504603727,2017-06-23
28,5.979373629,2017-07-01
29,6.277902405,2017-07-05
30,6.525767111,2017-07-13
31,7.653461959,2017-07-17
32,6.023004628,2017-08-18
33,6.863887418,2017-08-22
34,6.3701173,2017-08-30
35,6.682186134,2017-09-15
36,6.623968998,2017-09-23
37,6.61283152,2017-09-27
38,6.240291232,2017-10-05
39,7.045402699,2017-10-09
40,7.352004885,2017-10-21
41,7.588744689,2017-10-29
42,7.630122331,2017-11-02
43,7.584895353,2017-11-14
44,6.840479112,2017-11-22
45,8.036202431,2017-11-26
46,7.794354816,2017-12-04
47,7.868413158,2017-12-08
48,7.05565261,2017-12-28
49,7.827370572,2018-01-01
50,8.097268772,2018-01-09
51,7.826052769,2018-01-13
52,7.660723002,2018-01-21
53,7.764584495,2018-01-25
54,7.713933549,2018-02-02
55,7.417425525,2018-02-06
56,7.44154441,2018-02-14
57,7.546090717,2018-02-18
58,7.320453724,2018-02-26
59,6.55785964,2018-03-02
60,7.173573661,2018-03-10
61,6.890687534,2018-03-22
62,6.514276034,2018-03-26
63,6.103838138,2018-04-03
64,6.494996003,2018-04-07
65,6.235709182,2018-09-18
66,7.034221229,2018-09-22
67,7.288646594,2018-10-04
68,6.844675345,2018-10-12
69,7.402665421,2018-10-16
70,6.557982557,2018-10-24
71,7.673324725,2018-10-28
72,7.782895281,2018-11-05
73,8.14019614,2018-11-09
74,6.937696041,2018-11-17
75,8.215718384,2018-11-21
76,7.138776651,2018-11-29
77,8.136469713,2018-12-03
78,7.983164513,2018-12-11
79,8.049030415,2018-12-15
80,7.412053849,2018-12-23
81,8.053905515,2018-12-27
82,8.025796143,2019-01-04
83,7.978646836,2019-01-08
84,7.202561649,2019-01-16
85,7.8674254,2019-01-20
86,7.813907095,2019-01-28
87,7.742926325,2019-02-01
88,7.466876057,2019-02-13
89,7.645862829,2019-02-25
90,7.561033686,2019-03-09
91,7.452274327,2019-03-17
92,7.069080688,2019-03-21
93,6.998251976,2019-04-02
94,6.555214654,2019-04-14
95,6.759112229,2019-04-26
96,6.471680671,2019-05-08
97,6.139111534,2019-05-20
98,6.856944439,2019-06-01
99,6.678601696,2019-06-13
100,7.023989328,2019-06-25
101,7.016047102,2019-07-03
