Key*, total, data
1,4.51,30/03/2015
2,4.48,04/07/2015
3,7.67,28/07/2015
4,7.77,21/08/2015
5,7.96,14/09/2015
6,7.48,08/10/2015
7,7.27,25/11/2015
8,7.57,12/01/2016
9,5.15,29/02/2016
10,4.32,24/03/2016
11,3.40,05/04/2016
12,8.12,11/05/2016
13,3.43,23/05/2016
14,4.00,04/06/2016
15,7.71,28/06/2016
16,8.02,10/07/2016
17,7.75,22/07/2016
18,4.93,03/08/2016
19,7.71,15/08/2016
20,7.84,08/09/2016
21,8.12,20/09/2016
22,8.12,14/10/2016
23,7.87,26/10/2016
24,7.83,07/11/2016
25,6.04,01/12/2016
26,7.28,13/12/2016
27,7.80,06/01/2017
28,6.65,18/01/2017
29,7.72,11/02/2017
30,5.81,23/02/2017
31,8.09,07/03/2017
32,5.07,20/03/2017
33,6.93,01/04/2017
34,7.35,12/04/2017
35,4.57,13/04/2017
36,4.67,24/04/2017
37,4.94,25/04/2017
38,7.96,06/05/2017
39,8.00,07/05/2017
40,5.22,18/05/2017
41,5.25,19/05/2017
42,7.84,30/05/2017
43,7.83,31/05/2017
44,7.79,11/06/2017
45,7.34,12/06/2017
46,7.87,23/06/2017
47,7.80,06/07/2017
48,8.28,17/07/2017
49,8.15,18/07/2017
50,7.79,11/08/2017
51,7.97,22/08/2017
52,8.15,23/08/2017
53,5.41,03/09/2017
54,7.68,15/09/2017
55,8.09,27/09/2017
56,7.96,28/09/2017
57,8.07,10/10/2017
58,7.70,14/11/2017
59,7.70,15/11/2017
60,7.48,27/11/2017
61,7.71,09/12/2017
62,7.09,21/12/2017
63,6.15,02/01/2018
64,6.34,25/01/2018
65,6.31,26/01/2018
66,6.43,07/02/2018
67,5.10,14/03/2018
68,5.07,15/03/2018
69,4.61,26/03/2018
70,4.57,27/03/2018
71,6.72,07/04/2018
72,4.01,19/04/2018
73,3.97,20/04/2018
74,6.78,01/05/2018
75,6.02,02/05/2018
76,4.39,14/05/2018
77,4.20,25/05/2018
78,6.66,07/06/2018
79,5.37,18/06/2018
80,5.53,19/06/2018
81,6.64,12/07/2018
82,5.49,13/07/2018
83,7.87,24/07/2018
84,7.95,25/07/2018
85,4.46,05/08/2018
86,8.15,17/08/2018
87,7.96,29/08/2018
88,7.77,10/09/2018
89,7.17,11/09/2018
90,4.36,04/10/2018
91,4.42,05/10/2018
92,7.66,16/10/2018
93,7.63,17/10/2018
94,7.43,29/10/2018
95,8.42,09/11/2018
96,7.75,10/11/2018
97,6.92,21/11/2018
98,6.91,22/11/2018
99,5.15,03/12/2018
100,4.27,04/12/2018
101,6.19,27/12/2018
102,6.18,28/12/2018
103,4.77,08/01/2019
104,5.73,21/01/2019
105,6.12,01/02/2019
106,5.18,13/02/2019
107,5.15,14/02/2019
108,4.83,25/02/2019
109,4.83,26/02/2019
110,8.92,09/03/2019
111,8.71,10/03/2019
112,4.07,21/03/2019
113,4.03,22/03/2019
114,4.61,03/04/2019
115,3.43,26/04/2019
116,4.57,08/05/2019
117,8.79,09/05/2019
118,3.55,20/05/2019
119,3.55,21/05/2019
120,3.54,13/06/2019
121,3.50,14/06/2019
122,4.01,25/06/2019
123,3.99,26/06/2019
124,11.42,08/07/2019
125,4.23,19/07/2019
126,4.77,31/07/2019
127,5.99,01/08/2019
128,8.83,13/08/2019
129,3.21,05/09/2019
130,9.82,17/09/2019
131,9.27,18/09/2019
132,8.74,30/09/2019
133,8.28,12/10/2019
134,8.55,23/10/2019
135,8.55,24/10/2019
136,3.60,04/11/2019
137,8.71,10/11/2019
138,8.65,22/11/2019
139,8.55,28/11/2019
140,8.53,29/11/2019
141,3.62,04/12/2019
142,8.73,11/12/2019
143,8.14,16/12/2019
144,7.99,23/12/2019
145,4.86,04/01/2020
146,8.69,09/01/2020
147,7.39,15/01/2020
148,7.37,16/01/2020
149,7.23,21/01/2020
150,8.69,09/02/2020
151,6.68,14/02/2020
152,6.52,20/02/2020
153,6.52,21/02/2020
154,6.32,26/02/2020
155,6.12,03/03/2020
156,4.75,04/03/2020
157,8.83,09/03/2020
158,5.62,16/03/2020
159,5.08,27/03/2020
160,6.92,02/04/2020
161,8.73,08/04/2020
162,9.24,09/04/2020
163,4.34,14/04/2020
164,4.20,20/04/2020
165,4.20,21/04/2020
166,6.87,02/05/2020
167,6.07,03/05/2020
168,8.73,08/05/2020
169,3.73,14/05/2020
170,3.43,15/05/2020
171,3.57,20/05/2020
172,3.57,26/05/2020
173,3.58,27/05/2020
174,7.71,01/06/2020
175,8.74,08/06/2020
176,4.73,25/06/2020
177,7.68,01/07/2020
178,6.87,02/07/2020
179,6.83,07/07/2020
180,6.97,13/07/2020
181,7.01,14/07/2020
182,7.03,31/07/2020
183,3.70,06/08/2020
184,6.84,07/08/2020
185,8.68,12/08/2020
186,8.97,18/08/2020
187,8.93,19/08/2020
188,8.83,24/08/2020
189,8.70,31/08/2020
190,8.74,11/09/2020
191,8.66,12/09/2020
192,8.97,17/09/2020
193,8.80,23/09/2020
194,8.77,24/09/2020
195,8.90,29/09/2020
196,3.79,06/10/2020
197,8.79,11/10/2020
198,9.18,23/10/2020
199,8.77,29/10/2020
200,8.73,30/10/2020
201,8.83,11/11/2020
202,8.71,23/11/2020
203,3.78,05/12/2020
204,8.97,10/12/2020
205,8.60,16/12/2020
206,8.59,17/12/2020
207,8.55,22/12/2020
208,8.49,28/12/2020
209,8.49,29/12/2020
210,6.97,03/01/2021
211,7.89,09/01/2021
212,8.12,15/01/2021
213,7.97,21/01/2021
214,7.95,22/01/2021
215,7.81,27/01/2021
216,7.66,02/02/2021
217,6.94,03/02/2021
218,7.05,26/02/2021
219,6.56,16/03/2021
220,6.26,22/03/2021
221,6.22,23/03/2021
222,6.88,03/04/2021
223,5.32,15/04/2021
224,5.27,16/04/2021
225,5.11,21/04/2021
226,4.95,27/04/2021
227,4.92,28/04/2021
228,6.84,03/05/2021
229,8.02,09/05/2021
230,4.01,27/05/2021
231,6.84,08/06/2021
232,8.70,09/07/2021
233,3.44,14/07/2021
234,4.51,20/07/2021
235,4.72,21/07/2021
236,17.41,26/07/2021
237,8.28,01/08/2021
238,7.51,02/08/2021
239,3.42,07/08/2021
240,6.77,13/08/2021
241,6.77,14/08/2021
242,7.89,25/08/2021
243,7.91,26/08/2021
244,7.85,31/08/2021
