Key*,total,data
1,5.834022197,2015-03-30
2,4.685387816,2015-07-04
3,4.339468766,2015-07-28
4,4.971784083,2015-08-21
5,4.964748004,2015-09-14
6,5.055033449,2015-10-08
7,5.753010961,2015-11-25
8,5.491709194,2016-04-05
9,4.026367089,2016-05-11
10,3.821764136,2016-05-23
11,4.288379289,2016-06-04
12,5.819878412,2016-06-28
13,5.567098932,2016-07-10
14,5.128107268,2016-07-22
15,5.622543663,2016-08-03
16,5.711449887,2016-09-08
17,5.885298497,2016-10-26
18,5.603425502,2016-11-07
19,5.962504307,2016-12-01
20,5.508497889,2016-12-13
21,5.821046492,2017-01-06
22,5.928277987,2017-01-18
23,5.793213526,2017-02-23
24,5.321889304,2017-04-13
25,5.842259131,2017-04-25
26,5.218451022,2017-05-19
27,5.813052246,2017-06-11
28,5.827916593,2017-06-12
29,5.919586649,2017-07-17
30,5.989520825,2017-07-18
31,5.926078027,2017-08-22
32,5.889866003,2017-09-03
33,5.960553144,2017-09-15
34,5.854153403,2017-10-10
35,5.99067637,2017-11-14
36,6.179958148,2017-12-21
37,6.214047442,2018-01-02
38,6.553084498,2018-01-25
39,6.746958339,2018-02-07
40,6.889391221,2018-03-26
41,5.559644785,2018-04-19
42,5.60379817,2018-04-20
43,4.883972151,2018-05-02
44,4.89837128,2018-05-14
45,5.15734517,2018-06-18
46,4.83777306,2018-06-19
47,5.755249558,2018-07-12
48,5.844611408,2018-07-13
49,6.039516307,2018-07-25
50,5.86939776,2018-08-05
51,5.854687938,2018-09-11
52,6.061279673,2018-10-04
53,5.833477761,2018-10-05
54,5.759633416,2018-10-16
55,5.855069665,2018-10-17
56,5.849965658,2018-10-29
57,6.073646391,2018-11-09
58,6.072798726,2018-11-21
59,5.680958145,2018-11-22
60,5.710637315,2018-12-04
61,5.796014534,2018-12-27
62,5.756442352,2018-12-28
63,6.501723204,2019-01-08
64,5.623140613,2019-01-21
65,6.539534578,2019-02-01
66,7.000895914,2019-02-13
67,6.796929432,2019-02-25
68,6.599005447,2019-03-09
69,5.740431538,2019-03-10
70,5.88669643,2019-03-21
71,5.810372786,2019-03-22
72,5.239223896,2019-05-20
73,5.492393667,2019-06-13
74,5.750752878,2019-06-14
75,5.734012404,2019-06-26
76,5.924361206,2019-08-13
77,6.007914388,2019-09-05
78,5.918167279,2019-09-17
79,6.032430326,2019-09-18
80,6.000628481,2019-09-30
81,5.869793195,2019-10-23
82,5.955886258,2019-11-04
83,5.949765074,2019-11-22
84,6.019669015,2019-11-29
85,6.047643925,2019-12-04
86,5.790588052,2019-12-11
87,6.08390887,2019-12-16
88,5.655367345,2019-12-23
89,6.216038599,2020-01-04
90,6.172555927,2020-01-09
91,6.348634945,2020-01-15
92,6.226564785,2020-01-21
93,6.939035363,2020-02-20
94,6.719830669,2020-02-26
95,6.517965163,2020-03-04
96,6.083657041,2020-03-16
97,5.298543834,2020-03-27
98,5.643579483,2020-04-09
99,4.637534334,2020-05-02
100,5.670682311,2020-05-03
101,4.577109992,2020-05-14
102,5.196408499,2020-05-27
103,4.313250876,2020-06-25
104,4.466961272,2020-07-07
105,4.591582991,2020-07-13
106,5.939550646,2020-07-14
107,5.713946448,2020-07-31
108,5.811828962,2020-08-06
110,5.796673118,2020-08-07
111,5.875023973,2020-08-12
112,5.888217842,2020-08-18
113,6.049877692,2020-08-19
114,6.125005721,2020-08-31
115,6.009426015,2020-09-12
116,5.817906246,2020-09-23
117,5.979364429,2020-09-24
118,5.857283279,2020-09-29
119,5.760869261,2020-10-06
120,5.984199612,2020-10-23
121,6.024970016,2020-12-05
122,6.160113483,2020-12-16
124,6.177547032,2020-12-17
125,6.19673525,2020-12-28
126,6.282893512,2021-01-09
128,6.410169351,2021-01-27
131,6.270818158,2021-02-03
132,5.203433085,2021-02-26
133,6.638410714,2021-03-16
134,7.341302412,2021-03-22
135,7.266531282,2021-03-23
136,6.046457524,2021-04-03
137,5.77540356,2021-04-15
138,5.168202544,2021-04-16
139,3.987277812,2021-04-21
140,5.576286574,2021-04-27
141,6.043016627,2021-04-28
142,3.105064882,2021-05-27
143,3.736303247,2021-06-08
144,4.099030576,2021-07-14
145,5.207605363,2021-07-21
146,5.520518008,2021-08-02
147,4.353470229,2021-08-07
148,4.700520482,2021-08-13
149,5.74718371,2021-08-26
150,5.259176953,2021-08-31
