Key*,total,data
1,1.592203073,22/2/2015
2,2.636531224,30/3/2015
3,2.601988787,17/5/2015
4,2.555852408,4/7/2015
5,2.42796166,28/7/2015
6,2.306802994,21/8/2015
7,2.140372793,14/9/2015
8,2.230172687,8/10/2015
9,2.217957822,1/11/2015
10,2.210024271,25/11/2015
11,2.33259857,19/12/2015
12,2.409590794,12/1/2016
13,2.571875543,5/2/2016
14,2.642030956,29/2/2016
15,2.417497071,24/3/2016
16,2.680965653,5/4/2016
17,2.320943672,17/4/2016
18,2.509501081,29/4/2016
19,2.227385495,11/5/2016
20,2.12233882,23/5/2016
21,2.08872338,4/6/2016
22,2.130569624,28/6/2016
23,2.165878986,10/7/2016
24,2.236834656,22/7/2016
25,2.087409734,3/8/2016
26,2.299648733,15/8/2016
27,2.476575509,27/8/2016
28,2.333959203,8/9/2016
29,2.073235207,20/9/2016
30,2.253196361,2/10/2016
31,2.295085755,14/10/2016
32,2.389123444,26/10/2016
33,2.62060811,7/11/2016
34,2.448101624,19/11/2016
35,2.36287614,1/12/2016
36,2.533175959,13/12/2016
37,2.508177284,25/12/2016
38,2.653957696,6/1/2017
39,2.652013572,18/1/2017
40,2.727793662,30/1/2017
41,2.716471903,11/2/2017
42,2.810682566,23/2/2017
43,2.827697717,7/3/2017
44,2.788054878,27/3/2017
45,2.753753242,31/3/2017
46,2.732739302,8/4/2017
47,2.768947243,24/4/2017
48,2.735947097,2/5/2017
49,2.691072148,18/5/2017
50,2.743584503,30/5/2017
51,3.011692733,7/6/2017
52,2.975369936,19/6/2017
53,2.920727469,23/6/2017
54,2.966601114,1/7/2017
55,2.945916973,13/7/2017
56,2.820081634,17/7/2017
57,2.761307302,29/7/2017
58,2.884753474,6/8/2017
59,2.879996886,10/8/2017
60,2.872705812,22/8/2017
61,2.994940259,11/9/2017
62,2.953415467,15/9/2017
63,2.824727173,23/9/2017
64,2.863615533,27/9/2017
65,2.841615311,5/10/2017
66,2.909211011,9/10/2017
67,2.854754248,21/10/2017
68,2.872984041,29/10/2017
69,2.761288532,2/11/2017
70,2.657348368,10/11/2017
71,2.694808858,14/11/2017
72,2.809307363,22/11/2017
73,2.766864395,26/11/2017
74,2.863337259,8/12/2017
75,2.941586903,16/12/2017
76,2.771747807,1/1/2018
77,2.914063371,9/1/2018
78,3.01875796,13/1/2018
79,2.902194823,21/1/2018
80,2.807168226,25/1/2018
81,2.900046601,2/2/2018
82,3.118599624,6/2/2018
83,3.103578098,14/2/2018
84,3.084937788,2/3/2018
85,3.006125613,22/3/2018
86,3.134331685,26/3/2018
87,2.802365215,3/4/2018
88,2.879693785,15/4/2018
89,3.09111028,19/4/2018
90,2.806377498,27/4/2018
91,2.883151877,1/5/2018
92,2.961031197,13/5/2018
93,3.087401159,21/5/2018
94,2.866604065,25/5/2018
95,2.953916526,6/6/2018
96,2.940944141,18/6/2018
97,2.995564464,30/6/2018
98,2.923209164,8/7/2018
99,3.004360663,12/7/2018
100,3.008023484,24/7/2018
101,2.951928421,1/8/2018
102,2.897691122,17/8/2018
103,2.953563168,25/8/2018
104,3.02847868,29/8/2018
105,3.113174995,6/9/2018
106,2.799663817,10/9/2018
107,2.803771564,18/9/2018
108,2.757307782,22/9/2018
109,3.083992182,30/9/2018
110,3.064269496,12/10/2018
111,2.952555872,16/10/2018
112,2.907829069,28/10/2018
113,3.07123035,5/11/2018
114,2.909152222,17/11/2018
115,2.909130952,21/11/2018
116,3.065320899,29/11/2018
117,2.909177042,3/12/2018
118,2.922356196,11/12/2018
119,2.71764115,15/12/2018
120,2.698783387,27/12/2018
121,2.605645447,4/1/2019
122,2.748656313,8/1/2019
123,2.98839046,20/1/2019
124,2.970532132,28/1/2019
125,2.905662691,9/2/2019
126,2.935306242,13/2/2019
127,2.998132679,9/3/2019
128,2.954323816,17/3/2019
129,2.953368743,2/4/2019
130,2.978558695,26/4/2019
131,3.019716206,4/5/2019
132,3.011914594,16/5/2019
133,2.971882813,20/5/2019
134,3.037052432,28/5/2019
135,3.101479583,9/6/2019
136,3.105092731,21/6/2019
137,3.069595177,7/7/2019
138,3.048462891,15/7/2019
139,3.070404761,19/7/2019
140,2.93498764,27/7/2019
141,2.634399264,31/7/2019
142,2.696456281,8/8/2019
143,2.829987854,12/8/2019
144,2.755076362,1/9/2019
145,2.681953909,13/9/2019
146,2.740465959,17/9/2019
147,2.81974169,25/9/2019
148,2.808822058,29/9/2019
149,2.569536125,19/10/2019
150,2.723237947,23/10/2019
151,2.751812323,31/10/2019
152,2.792079115,4/11/2019
153,2.747302862,12/11/2019
154,2.803277167,16/11/2019
155,2.906265467,22/11/2019
156,2.870365878,24/11/2019
157,2.898269544,6/12/2019
158,2.843921013,10/12/2019
159,2.782612173,16/12/2019
160,3.059293877,18/12/2019
161,3.095035735,28/12/2019
162,3.011741467,30/12/2019
163,2.991741118,11/1/2020
164,3.026753347,15/1/2020
165,3.068204011,21/1/2020
166,3.048490843,27/1/2020
167,3.065159631,2/2/2020
168,2.966541284,4/2/2020
169,2.92942769,8/2/2020
170,3.154091135,14/2/2020
171,3.110807719,26/2/2020
172,3.068045891,28/2/2020
173,3.074206298,3/3/2020
174,3.133268268,9/3/2020
175,3.065060977,15/3/2020
176,3.040584878,21/3/2020
177,3.073748736,27/3/2020
178,3.1865629,2/4/2020
179,3.19686137,8/4/2020
180,3.149989616,26/4/2020
181,3.080542467,8/5/2020
182,3.042336467,10/5/2020
183,3.009711076,14/5/2020
184,3.010728038,20/5/2020
185,2.989431429,22/5/2020
186,2.428295737,26/5/2020
187,2.47164407,1/6/2020
188,2.564646083,13/6/2020
189,2.59410408,15/6/2020
190,2.538636964,25/6/2020
191,2.617180209,27/6/2020
192,2.567399851,1/7/2020
193,2.735857623,7/7/2020
194,2.728312567,9/7/2020
195,2.69567402,13/7/2020
196,2.551346467,19/7/2020
197,2.622966311,25/7/2020
198,2.481101985,31/7/2020
199,2.453711509,2/8/2020
200,2.622796618,6/8/2020
201,2.603355445,14/8/2020
202,2.687570448,18/8/2020
203,2.750016865,24/8/2020
204,2.699868527,5/9/2020
205,2.776470515,7/9/2020
206,2.829085193,11/9/2020
207,2.597356119,17/9/2020
