Key*,total,data
1,2.357,22/2/2015
2,1.774,30/3/2015
3,1.386,17/5/2015
4,1.347,4/7/2015
5,1.42,28/7/2015
6,1.423,21/8/2015
7,1.609,14/9/2015
8,1.901,8/10/2015
9,1.891,1/11/2015
10,2.26,25/11/2015
11,2.349,19/12/2015
12,2.243,12/1/2016
13,2.113,5/2/2016
14,1.799,29/2/2016
15,1.131,24/3/2016
16,1.186,5/4/2016
17,0.978,17/4/2016
18,0.846,29/4/2016
19,0.542,11/5/2016
20,0.67,23/5/2016
21,0.783,4/6/2016
22,0.853,28/6/2016
23,0.88,10/7/2016
24,0.984,22/7/2016
25,1.062,3/8/2016
26,1.127,15/8/2016
27,1.162,27/8/2016
28,1.366,8/9/2016
29,1.665,20/9/2016
30,1.905,2/10/2016
31,2.012,14/10/2016
32,2.088,26/10/2016
33,2.282,7/11/2016
34,2.321,19/11/2016
35,2.337,1/12/2016
36,2.444,13/12/2016
37,2.425,25/12/2016
38,2.375,6/1/2017
39,2.383,18/1/2017
40,2.427,30/1/2017
41,2.449,11/2/2017
42,2.366,23/2/2017
43,2.335,7/3/2017
44,2.275,19/3/2017
45,2.127,31/3/2017
46,1.896,8/4/2017
47,2.158,12/4/2017
48,2.009,20/4/2017
49,2.137,24/4/2017
50,1.875,2/5/2017
51,1.959,6/5/2017
52,1.856,14/5/2017
53,1.95,18/5/2017
54,1.754,26/5/2017
55,2.008,30/5/2017
56,2.036,7/6/2017
57,2.03,11/6/2017
58,1.946,19/6/2017
59,2.043,23/6/2017
60,2.11,1/7/2017
61,2.051,5/7/2017
62,1.998,13/7/2017
63,2.174,17/7/2017
64,1.979,25/7/2017
65,2.238,29/7/2017
66,2.243,6/8/2017
67,2.351,10/8/2017
68,2.359,18/8/2017
69,2.389,22/8/2017
70,2.456,3/9/2017
71,2.491,11/9/2017
72,2.469,15/9/2017
73,2.477,23/9/2017
74,2.448,27/9/2017
75,2.458,5/10/2017
76,2.457,9/10/2017
77,2.447,21/10/2017
78,2.362,29/10/2017
79,2.461,2/11/2017
80,2.456,14/11/2017
81,2.48,26/11/2017
82,2.485,8/12/2017
83,2.453,1/1/2018
84,2.47,13/1/2018
85,2.5,25/1/2018
86,2.527,6/2/2018
87,2.491,14/2/2018
88,2.498,2/3/2018
89,2.352,26/3/2018
90,2.037,3/4/2018
91,2.178,7/4/2018
92,2.128,19/4/2018
93,2.051,1/5/2018
94,2.053,13/5/2018
95,1.99,21/5/2018
96,2.044,25/5/2018
97,1.954,2/6/2018
98,2.009,6/6/2018
99,1.884,14/6/2018
100,2.074,18/6/2018
101,1.964,26/6/2018
102,2.076,30/6/2018
103,1.966,8/7/2018
104,2.085,12/7/2018
105,1.966,20/7/2018
106,2.238,24/7/2018
107,2.312,1/8/2018
108,2.342,5/8/2018
109,2.485,17/8/2018
110,2.433,25/8/2018
111,2.464,29/8/2018
112,2.508,6/9/2018
113,2.484,10/9/2018
114,2.479,18/9/2018
115,2.465,22/9/2018
116,2.468,4/10/2018
117,2.493,16/10/2018
118,2.474,28/10/2018
119,2.479,9/11/2018
120,2.346,17/11/2018
121,2.48,21/11/2018
122,2.506,3/12/2018
123,2.498,15/12/2018
124,2.468,27/12/2018
125,2.382,8/1/2019
126,2.422,20/1/2019
127,2.464,1/2/2019
128,2.303,9/2/2019
129,2.253,13/2/2019
130,2.096,21/2/2019
131,1.95,25/2/2019
132,2.271,5/3/2019
133,2.208,9/3/2019
134,2.071,21/3/2019
135,1.962,29/3/2019
136,2.085,2/4/2019
137,1.963,10/4/2019
138,1.84,14/4/2019
139,1.948,22/4/2019
140,1.89,26/4/2019
141,1.764,4/5/2019
142,1.632,8/5/2019
143,1.639,16/5/2019
144,1.809,20/5/2019
145,1.863,28/5/2019
146,1.779,1/6/2019
147,1.738,9/6/2019
148,1.742,13/6/2019
149,1.682,25/6/2019
150,1.454,3/7/2019
151,1.68,7/7/2019
152,1.606,15/7/2019
153,1.685,19/7/2019
154,1.608,27/7/2019
155,1.746,8/8/2019
156,1.958,12/8/2019
157,1.977,20/8/2019
158,2.059,24/8/2019
159,1.878,1/9/2019
160,2.067,5/9/2019
161,2.206,13/9/2019
162,2.387,17/9/2019
163,2.439,29/9/2019
164,2.455,11/10/2019
165,2.411,23/10/2019
166,2.489,31/10/2019
167,2.469,4/11/2019
168,2.401,10/11/2019
169,2.497,12/11/2019
