Key*, total, data
1,2.104875502,11/25/2015
2,2.431970811,01/12/2016
3,1.942449033,02/29/2016
4,1.769597795,03/24/2016
5,1.269328453,04/05/2016
6,1.747623647,07/22/2016
7,1.877482731,08/03/2016
8,1.90446372,08/15/2016
9,1.886098716,09/08/2016
10,2.038625638,09/20/2016
11,2.230057681,10/14/2016
12,2.252218801,10/26/2016
13,1.70317258,11/07/2016
14,2.073447545,12/01/2016
15,2.46124605,12/13/2016
16,2.06520307,01/06/2017
17,2.523675765,01/18/2017
18,2.527574342,02/11/2017
19,2.393355625,02/23/2017
20,2.203838944,03/07/2017
21,2.213386865,03/20/2017
22,2.171970788,03/27/2017
23,2.530712865,04/01/2017
24,2.276170751,04/08/2017
25,2.533385563,04/12/2017
26,2.051136233,04/13/2017
27,2.013219961,04/20/2017
28,2.005450799,04/24/2017
29,2.005450799,04/25/2017
30,2.0763793,05/06/2017
31,2.015894986,05/18/2017
32,2.026516807,05/19/2017
33,2.036506485,05/26/2017
34,2.041304883,05/30/2017
35,2.063444383,05/31/2017
36,2.539089304,06/11/2017
37,2.533385563,06/12/2017
38,2.1291934,06/19/2017
39,2.159973974,06/23/2017
40,2.0763793,07/06/2017
41,2.226622423,07/13/2017
42,2.249187749,07/17/2017
43,2.252218801,07/18/2017
44,2.268784057,07/25/2017
45,2.086844197,08/06/2017
46,2.533385563,08/11/2017
47,2.360238566,08/22/2017
48,2.362217212,08/23/2017
49,2.435131622,08/30/2017
50,2.310233759,09/03/2017
51,2.533385563,09/11/2017
52,2.493184472,09/15/2017
53,2.491241393,09/27/2017
54,2.493184472,09/28/2017
55,2.005450799,10/05/2017
56,2.535043665,10/10/2017
57,2.535043665,11/10/2017
58,2.530712865,11/14/2017
59,2.530712865,11/15/2017
60,2.530712865,11/22/2017
61,2.533385563,11/27/2017
62,2.051136233,12/04/2017
63,2.490079999,12/09/2017
64,2.529230245,12/21/2017
65,2.527574342,12/28/2017
66,2.435131622,01/02/2018
67,2.468609726,01/25/2018
68,2.46124605,01/26/2018
69,2.435131622,02/02/2018
70,1.981461026,02/07/2018
71,2.274120354,02/26/2018
72,2.471753173,03/10/2018
73,2.13450471,03/14/2018
74,2.12616029,03/15/2018
75,2.084492757,03/22/2018
76,2.066543862,03/26/2018
77,2.060391698,03/27/2018
78,1.981461026,04/07/2018
79,1.986904902,04/19/2018
80,1.975665957,04/20/2018
81,1.961273982,04/27/2018
82,2.526139253,05/01/2018
83,2.419784825,05/02/2018
84,2.173167507,05/09/2018
85,1.941323492,05/14/2018
86,1.94487844,05/21/2018
87,1.947450515,05/25/2018
88,2.414356674,06/02/2018
89,1.981461026,06/07/2018
90,1.965927789,06/14/2018
91,1.965927789,06/18/2018
92,1.965927789,06/19/2018
93,2.120480577,07/08/2018
94,2.472840643,07/12/2018
95,2.027663456,07/13/2018
96,2.091656451,07/24/2018
97,2.091656451,07/25/2018
98,2.520482301,08/01/2018
99,1.941323492,08/05/2018
100,2.138715337,08/17/2018
101,2.159973974,08/29/2018
102,2.475153462,09/10/2018
103,2.472840643,09/11/2018
104,2.364125892,09/18/2018
105,1.992928596,10/04/2018
106,1.941323492,10/05/2018
107,2.472840643,10/12/2018
108,2.475153462,10/16/2018
109,2.475153462,10/17/2018
110,2.475153462,10/24/2018
111,2.475153462,10/29/2018
112,2.237122219,11/09/2018
113,2.475153462,11/10/2018
114,2.475153462,11/21/2018
115,2.475153462,11/22/2018
116,2.475153462,11/29/2018
117,2.147553638,12/03/2018
118,1.986904902,12/04/2018
119,2.472840643,12/11/2018
120,2.470595074,12/27/2018
121,2.470595074,12/28/2018
122,2.12616029,01/04/2019
123,2.081091012,01/08/2019
124,2.469850212,01/16/2019
125,2.46679266,01/21/2019
126,2.46124605,01/28/2019
127,2.470595074,02/01/2019
128,2.440013914,02/13/2019
129,2.440013914,02/14/2019
130,2.416666885,02/21/2019
131,2.406469802,02/25/2019
132,2.400396688,02/26/2019
133,1.986904902,03/05/2019
134,2.216205995,03/21/2019
135,2.20227358,03/22/2019
136,2.150290145,03/29/2019
137,2.340881609,04/03/2019
138,2.016876626,04/22/2019
139,2.016876626,04/26/2019
